date,open,close
2003-01-02,14.36,14.8
2003-01-03,14.8,14.9
2003-01-06,15.03,14.9
2003-01-07,14.79,14.85
2003-01-08,14.58,14.55
2003-01-09,14.62,14.68
2003-01-10,14.58,14.72
2003-01-13,14.9,14.63
2003-01-14,14.69,14.61
2003-01-15,14.59,14.43
2003-01-16,14.21,14.62
2003-01-17,14.56,14.1
2003-01-21,14.21,14.02
2003-01-22,13.98,13.88
2003-01-23,14.05,14.17
2003-01-24,14.24,13.8
2003-01-27,13.68,14.13
2003-01-28,14.24,14.58
2003-01-29,14.24,14.58
2003-01-30,14.98,14.32
2003-01-31,14.19,14.36
2003-02-03,14.41,14.66
2003-02-04,14.45,14.6
2003-02-05,14.71,14.45
2003-02-06,14.36,14.43
2003-02-07,14.55,14.15
2003-02-10,14.26,14.35
2003-02-11,14.5,14.35
2003-02-12,14.27,14.39
2003-02-13,14.41,14.54
2003-02-14,14.61,14.67
2003-02-18,14.75,15.27
2003-02-19,15.07,14.85
2003-02-20,14.85,14.77
2003-02-21,14.82,15.0
2003-02-24,14.86,14.74
2003-02-25,14.68,15.02
2003-02-26,14.99,14.5
2003-02-27,14.57,14.86
2003-02-28,14.86,15.01
2003-03-03,15.01,14.65
2003-03-04,14.74,14.56
2003-03-05,14.61,14.62
2003-03-06,14.58,14.56
2003-03-07,14.47,14.53
2003-03-10,14.51,14.37
2003-03-11,14.36,14.23
2003-03-12,14.17,14.22
2003-03-13,14.47,14.72
2003-03-14,14.68,14.78
2003-03-17,14.89,15.01
2003-03-18,15.0,15.0
2003-03-19,15.07,14.95
2003-03-20,14.93,14.91
2003-03-21,15.09,15.0
2003-03-24,14.67,14.37
2003-03-25,14.41,14.55
2003-03-26,14.55,14.41
2003-03-27,14.32,14.49
2003-03-28,14.4,14.57
2003-03-31,14.34,14.14
2003-04-01,14.2,14.16
2003-04-02,14.36,14.6
2003-04-03,14.55,14.46
2003-04-04,14.52,14.41
2003-04-07,14.85,14.49
2003-04-08,14.51,14.45
2003-04-09,14.52,14.19
2003-04-10,14.2,14.37
2003-04-11,14.05,13.2
2003-04-14,13.71,13.58
2003-04-15,13.59,13.39
2003-04-16,12.99,13.24
2003-04-17,13.2,13.12
2003-04-21,13.13,13.14
2003-04-22,13.18,13.51
2003-04-23,13.53,13.58
2003-04-24,13.52,13.44
2003-04-25,13.46,13.35
2003-04-28,13.48,13.86
2003-04-29,13.98,14.06
2003-04-30,13.93,14.22
2003-05-01,14.25,14.36
2003-05-02,14.46,14.45
2003-05-05,14.77,16.09
2003-05-06,16.12,17.5
2003-05-07,17.33,17.65
2003-05-08,17.7,18.0
2003-05-09,18.33,18.3
2003-05-12,18.15,18.56
2003-05-13,18.43,18.67
2003-05-14,18.83,18.55
2003-05-15,18.6,18.73
2003-05-16,18.59,18.8
2003-05-19,18.53,18.1
2003-05-20,18.1,17.79
2003-05-21,17.79,17.85
2003-05-22,17.89,18.24
2003-05-23,18.21,18.32
2003-05-27,17.96,18.88
2003-05-28,18.5,18.28
2003-05-29,18.29,18.1
2003-05-30,18.12,17.95
2003-06-02,18.1,17.45
2003-06-03,17.44,17.31
2003-06-04,17.3,17.6
2003-06-05,17.45,17.64
2003-06-06,17.74,17.15
2003-06-09,16.94,16.79
2003-06-10,16.89,17.18
2003-06-11,17.15,17.45
2003-06-12,17.55,17.77
2003-06-13,17.75,17.42
2003-06-16,17.6,18.27
2003-06-17,18.41,18.19
2003-06-18,18.45,19.12
2003-06-19,19.35,19.14
2003-06-20,19.35,19.2
2003-06-23,19.301,19.06
2003-06-24,19.47,18.78
2003-06-25,18.86,19.09
2003-06-26,18.7,19.29
2003-06-27,19.3,18.73
2003-06-30,18.68,19.06
2003-07-01,18.87,19.09
