date,open,close
2003-01-02,58.1,60.3
2003-01-03,60.05,60.12
2003-01-06,60.12,62.14
2003-01-07,62.14,60.93
2003-01-08,60.93,60.17
2003-01-09,60.5,62.4
2003-01-10,62.15,61.81
2003-01-13,62.05,62.82
2003-01-14,62.57,63.5
2003-01-15,63.5,62.99
2003-01-16,62.99,62.74
2003-01-17,62.75,61.92
2003-01-21,62.8,61.4
2003-01-22,61.41,60.4
2003-01-23,60.25,60.93
2003-01-24,58.75,56.04
2003-01-27,56.05,55.22
2003-01-28,55.47,56.0
2003-01-29,55.47,56.0
2003-01-30,55.3,53.25
2003-01-31,53.25,54.12
2003-02-03,54.55,55.33
2003-02-04,50.47,51.7
2003-02-05,51.4,50.82
2003-02-06,50.1,48.2
2003-02-07,48.45,46.7
2003-02-10,46.7,47.0
2003-02-11,47.0,47.44
2003-02-12,47.59,46.5
2003-02-13,47.75,47.97
2003-02-14,47.97,49.39
2003-02-18,50.3,50.92
2003-02-19,51.0,50.18
2003-02-20,50.43,49.76
2003-02-21,50.25,50.81
2003-02-24,50.69,49.65
2003-02-25,49.66,50.32
2003-02-26,50.32,49.46
2003-02-27,49.71,50.46
2003-02-28,50.4,49.29
2003-03-03,49.47,48.35
2003-03-04,47.65,47.56
2003-03-05,47.76,48.97
2003-03-06,48.27,47.72
2003-03-07,46.81,47.88
2003-03-10,47.3,45.33
2003-03-11,45.34,44.47
2003-03-12,44.48,44.7
2003-03-13,45.7,47.7
2003-03-14,47.74,48.96
2003-03-17,48.97,51.46
2003-03-18,51.74,50.98
2003-03-19,50.98,51.87
2003-03-20,51.63,52.1
2003-03-21,53.25,54.48
2003-03-24,54.27,51.97
2003-03-25,52.1,51.86
2003-03-26,52.0,51.46
2003-03-27,50.75,50.4
2003-03-28,50.1,49.85
2003-03-31,48.85,49.45
2003-04-01,49.46,50.6
2003-04-02,52.35,53.02
2003-04-03,53.8,52.5
2003-04-04,52.98,53.66
2003-04-07,55.53,54.09
2003-04-08,54.09,53.65
2003-04-09,53.88,53.09
2003-04-10,53.09,53.14
2003-04-11,53.4,53.03
2003-04-14,53.04,53.71
2003-04-15,53.71,53.98
2003-04-16,54.5,52.87
2003-04-17,52.87,53.64
2003-04-21,54.15,54.5
2003-04-22,54.5,56.91
2003-04-23,57.0,58.27
2003-04-24,58.27,55.37
2003-04-25,55.75,54.75
2003-04-28,55.15,56.72
2003-04-29,56.72,56.57
2003-04-30,56.58,57.95
2003-05-01,57.95,57.29
2003-05-02,57.29,57.76
2003-05-05,57.76,57.58
2003-05-06,57.58,57.5
2003-05-07,57.3,56.55
2003-05-08,56.56,55.46
2003-05-09,55.95,56.25
2003-05-12,56.25,56.35
2003-05-13,56.36,55.62
2003-05-14,56.15,56.46
2003-05-15,56.9,57.31
2003-05-16,57.2,57.95
2003-05-19,57.3,55.86
2003-05-20,55.8,55.42
2003-05-21,55.0,55.43
2003-05-22,55.35,55.8
2003-05-23,55.81,54.99
2003-05-27,54.65,56.51
2003-05-28,56.94,56.72
2003-05-29,56.6,56.25
2003-05-30,56.25,57.88
2003-06-02,58.0,58.5
2003-06-03,58.6,57.9
2003-06-04,57.6,58.72
2003-06-05,58.71,58.93
2003-06-06,59.3,58.27
2003-06-09,58.05,57.4
2003-06-10,57.6,57.93
2003-06-11,58.35,59.32
2003-06-12,59.32,58.3
2003-06-13,58.35,58.2
2003-06-16,58.8,60.2
2003-06-17,60.5,59.97
2003-06-18,59.97,59.39
2003-06-19,59.39,57.9
2003-06-20,58.2,57.8
2003-06-23,57.79,57.22
2003-06-24,57.0,56.89
2003-06-25,56.85,55.65
2003-06-26,55.66,56.2
2003-06-27,56.25,55.69
2003-06-30,55.55,55.18
2003-07-01,54.9,55.54
2003-07-02,54.96,57.0
2003-07-03,56.75,56.48
2003-07-07,57.25,57.8
2003-07-08,57.65,58.0
2003-07-09,57.88,57.01
2003-07-10,56.5,55.85
2003-07-11,56.0,57.16
2003-07-14,57.68,58.44
2003-07-15,58.65,59.3
2003-07-16,60.2,59.8
2003-07-17,59.79,59.8
2003-07-18,60.35,60.02
2003-07-21,60.0,60.0
2003-07-22,60.25,60.58
2003-07-23,60.58,60.25
2003-07-24,60.95,62.2
2003-07-25,62.9,64.65
2003-07-28,65.24,64.7
2003-07-29,64.69,63.28
2003-07-30,63.55,63.57
2003-07-31,63.98,64.2
2003-08-01,64.0,62.86
2003-08-04,62.8,62.22
2003-08-05,62.1,61.5
2003-08-06,61.55,62.09
2003-08-07,62.05,62.0
2003-08-08,62.3,62.2
2003-08-11,62.2,62.51
2003-08-12,62.35,63.2
2003-08-13,63.21,61.88
2003-08-14,61.85,62.74
2003-08-15,62.75,62.4
2003-08-18,62.85,62.65
2003-08-19,63.05,63.0
2003-08-20,62.9,61.66
2003-08-21,61.9,60.68
2003-08-22,60.65,59.59
2003-08-25,59.6,59.57
2003-08-26,59.53,60.37
2003-08-27,60.05,59.45
2003-08-28,59.46,59.46
2003-08-29,59.46,59.57
2003-09-02,59.4,59.01
2003-09-03,59.5,60.1
2003-09-04,60.5,59.7
2003-09-05,59.67,58.95
2003-09-08,59.25,59.58
2003-09-09,59.55,60.31
2003-09-10,60.5,60.58
2003-09-11,60.75,60.15
2003-09-12,60.1,60.05
2003-09-15,60.0,58.85
2003-09-16,58.9,60.2
2003-09-17,60.1,59.72
2003-09-18,59.5,60.71
2003-09-19,60.6,60.35
2003-09-22,59.9,59.65
2003-09-23,59.85,59.78
2003-09-24,59.55,58.0
2003-09-25,58.2,58.0
2003-09-26,58.0,57.5
2003-09-29,57.55,58.21
2003-09-30,58.2,57.7
2003-10-01,57.9,59.9
2003-10-02,59.9,60.37
2003-10-03,60.95,60.55
2003-10-06,60.56,60.82
2003-10-07,60.6,61.08
2003-10-08,61.08,60.88
2003-10-09,60.88,60.86
2003-10-10,60.86,60.29
2003-10-13,60.45,61.44
2003-10-14,61.65,62.5
2003-10-15,62.85,62.49
2003-10-16,62.1,62.2
2003-10-17,62.2,61.08
2003-10-20,61.4,61.95
2003-10-21,61.0,61.27
2003-10-22,61.27,60.25
2003-10-23,60.0,60.56
2003-10-24,60.35,60.18
2003-10-27,60.7,59.98
2003-10-28,60.23,60.36
2003-10-29,60.36,60.9
2003-10-30,61.25,60.6
2003-10-31,60.85,60.83
2003-11-03,60.85,61.8
2003-11-04,61.95,61.23
2003-11-05,60.75,60.03
2003-11-06,59.9,59.87
2003-11-07,60.0,58.28
2003-11-10,58.28,59.38
2003-11-11,59.2,59.57
2003-11-12,59.5,59.58
2003-11-13,59.1,59.17
2003-11-14,59.04,58.31
2003-11-17,58.0,58.29
2003-11-18,58.55,57.85
2003-11-19,57.95,58.09
2003-11-20,57.65,56.76
2003-11-21,57.0,56.59
2003-11-24,57.0,57.4
2003-11-25,57.25,57.18
2003-11-26,57.3,58.45
2003-11-28,58.35,57.95
2003-12-01,57.95,59.16
2003-12-02,58.95,58.31
2003-12-03,58.24,58.04
2003-12-04,57.85,58.92
2003-12-05,58.7,58.63
2003-12-08,58.55,59.05
2003-12-09,59.0,59.91
2003-12-10,59.5,59.68
2003-12-11,59.75,60.84
2003-12-12,61.5,62.12
2003-12-15,62.85,62.9
2003-12-16,62.95,64.18
2003-12-17,64.16,63.95
2003-12-18,63.95,64.8
2003-12-19,64.8,64.57
2003-12-22,64.35,64.64
2003-12-23,64.4,64.9
2003-12-24,64.82,64.83
2003-12-26,64.9,64.71
2003-12-29,64.6,65.8
2003-12-30,65.5,66.02
2003-12-31,66.0,66.28
2004-01-02,66.5,66.79
2004-01-05,67.3,67.82
2004-01-06,67.8,67.66
2004-01-07,67.4,68.49
2004-01-08,68.6,69.09
2004-01-09,68.8,69.13
2004-01-12,69.3,70.5
2004-01-13,70.5,69.49
2004-01-14,69.49,69.61
2004-01-15,69.61,69.55
2004-01-16,69.8,69.81
2004-01-20,69.56,69.1
2004-01-21,69.0,70.03
2004-01-22,70.75,69.61
2004-01-23,69.75,68.84
2004-01-26,68.8,69.63
2004-01-27,69.15,68.45
2004-01-28,68.95,68.1
2004-01-29,68.5,69.27
2004-01-30,69.27,69.45
2004-02-02,69.6,70.88
2004-02-03,70.88,70.74
2004-02-04,70.05,70.15
2004-02-05,70.2,71.33
2004-02-06,71.24,72.18
2004-02-09,72.45,71.83
2004-02-10,71.83,73.5
2004-02-11,73.05,74.35
2004-02-12,74.11,74.91
2004-02-13,74.98,74.72
2004-02-17,75.0,75.12
2004-02-18,75.13,74.36
2004-02-19,74.56,73.46
2004-02-20,73.75,73.64
2004-02-23,74.0,74.03
2004-02-24,73.9,73.8
2004-02-25,72.46,74.4
2004-02-26,74.35,74.42
2004-02-27,74.3,74.0
2004-03-01,74.35,74.09
2004-03-02,74.09,73.92
2004-03-03,73.6,74.7
2004-03-04,74.57,74.98
2004-03-05,74.45,74.28
2004-03-08,74.2,73.61
2004-03-09,73.4,73.0
2004-03-10,72.75,71.91
2004-03-11,71.5,70.85
2004-03-12,70.95,71.61
2004-03-15,71.1,70.06
2004-03-16,70.65,71.18
2004-03-17,71.2,73.01
2004-03-18,72.95,73.41
2004-03-19,73.05,72.1
2004-03-22,71.95,70.69
2004-03-23,70.8,70.0
2004-03-24,69.9,69.32
2004-03-25,69.6,70.41
2004-03-26,70.05,70.19
2004-03-29,70.28,71.56
2004-03-30,71.25,71.72
2004-03-31,71.72,71.35
