date,open,close
2003-01-02,19.19,19.57
2003-01-03,19.59,20.52
2003-01-06,20.4,20.7
2003-01-07,20.83,21.55
2003-01-08,21.44,21.02
2003-01-09,21.08,21.45
2003-01-10,20.96,21.32
2003-01-13,21.33,22.04
2003-01-14,21.85,22.74
2003-01-15,22.59,22.27
2003-01-16,21.69,21.8
2003-01-17,21.46,21.4
2003-01-21,21.25,21.08
2003-01-22,20.77,21.17
2003-01-23,21.54,21.79
2003-01-24,22.59,22.11
2003-01-27,21.68,21.78
2003-01-28,21.91,21.62
2003-01-29,21.91,21.62
2003-01-30,22.2,21.82
2003-01-31,21.64,21.85
2003-02-03,21.94,22.16
2003-02-04,21.94,22.05
2003-02-05,22.18,22.17
2003-02-06,22.16,22.09
2003-02-07,22.1,21.44
2003-02-10,21.4,21.4
2003-02-11,21.56,20.78
2003-02-12,20.79,21.03
2003-02-13,20.95,20.06
2003-02-14,19.99,20.06
2003-02-18,20.15,21.39
2003-02-19,21.15,21.19
2003-02-20,21.19,21.36
2003-02-21,21.35,21.78
2003-02-24,21.64,21.78
2003-02-25,21.5,21.88
2003-02-26,21.63,21.64
2003-02-27,21.66,21.62
2003-02-28,21.57,22.01
2003-03-03,22.15,21.81
2003-03-04,21.7,22.27
2003-03-05,22.08,22.42
2003-03-06,22.32,22.69
2003-03-07,22.32,22.97
2003-03-10,22.6,22.88
2003-03-11,22.75,22.78
2003-03-12,22.51,23.36
2003-03-13,23.68,24.42
2003-03-14,24.54,24.71
2003-03-17,24.47,26.55
2003-03-18,26.46,26.78
2003-03-19,26.33,26.54
2003-03-20,26.31,27.45
2003-03-21,27.71,27.93
2003-03-24,27.08,26.23
2003-03-25,26.25,26.9
2003-03-26,26.88,27.76
2003-03-27,27.59,27.77
2003-03-28,27.59,27.18
2003-03-31,26.57,26.03
2003-04-01,25.55,25.54
2003-04-02,25.98,26.38
2003-04-03,26.51,26.65
2003-04-04,26.71,26.22
2003-04-07,27.21,26.82
2003-04-08,26.79,26.52
2003-04-09,26.351,25.06
2003-04-10,25.43,25.67
2003-04-11,25.85,25.75
2003-04-14,24.8,25.05
2003-04-15,24.89,25.13
2003-04-16,25.3,24.38
2003-04-17,24.47,24.99
2003-04-21,25.03,25.25
2003-04-22,25.09,25.58
2003-04-23,26.4,25.43
2003-04-24,25.4,25.12
2003-04-25,28.0,28.97
2003-04-28,28.64,29.11
2003-04-29,28.91,28.89
2003-04-30,28.6,28.69
2003-05-01,28.68,28.66
2003-05-02,28.63,29.43
2003-05-05,29.47,29.96
2003-05-06,29.83,30.88
2003-05-07,30.66,30.7
2003-05-08,30.36,30.45
2003-05-09,30.46,30.965
2003-05-12,30.83,31.7
2003-05-13,31.55,32.95
2003-05-14,33.14,32.6
2003-05-15,32.64,32.63
2003-05-16,32.51,33.05
2003-05-19,32.7,31.56
2003-05-20,31.56,31.48
2003-05-21,31.34,31.75
2003-05-22,31.75,33.0
2003-05-23,33.03,32.72
2003-05-27,32.55,34.85
2003-05-28,34.88,34.86
2003-05-29,34.89,35.55
2003-05-30,35.61,35.89
2003-06-02,36.5,35.4
2003-06-03,34.94,35.23
2003-06-04,35.0,35.39
2003-06-05,35.16,35.52
2003-06-06,36.04,33.35
2003-06-09,34.47,33.68
2003-06-10,34.02,34.07
2003-06-11,33.97,34.65
2003-06-12,35.4,35.201
2003-06-13,35.4,34.13
2003-06-16,34.57,35.84
2003-06-17,35.93,35.84
2003-06-18,35.5,35.85
2003-06-19,35.8,35.5
2003-06-20,35.8,35.04
2003-06-23,35.48,35.58
2003-06-24,35.37,35.4
2003-06-25,35.3,35.39
2003-06-26,35.21,36.72
2003-06-27,36.69,36.3
2003-06-30,36.63,36.32
2003-07-01,36.33,37.25
2003-07-02,37.66,37.85
2003-07-03,37.02,37.68
2003-07-07,38.3,39.05
2003-07-08,38.76,40.51
2003-07-09,40.54,40.5
2003-07-10,39.12,38.25
2003-07-11,38.3,37.65
2003-07-14,38.5,39.27
2003-07-15,39.61,38.43
2003-07-16,38.52,37.68
2003-07-17,37.15,36.32
2003-07-18,36.32,34.9798
2003-07-21,34.71,35.33
2003-07-22,35.7,34.87
2003-07-23,37.75,40.11
2003-07-24,41.0,41.31
2003-07-25,40.74,41.6
2003-07-28,41.49,42.08
2003-07-29,41.99,41.39
2003-07-30,41.15,40.66
2003-07-31,41.35,41.64
2003-08-01,41.41,40.03
2003-08-04,39.7,39.65
2003-08-05,39.24,38.67
2003-08-06,38.63,38.94
2003-08-07,39.0,39.01
2003-08-08,39.13,39.15
2003-08-11,38.99,38.93
2003-08-12,38.95,39.85
2003-08-13,40.25,40.21
2003-08-14,39.92,40.3
2003-08-15,40.23,40.1
2003-08-18,40.5,43.02
2003-08-19,43.43,43.57
2003-08-20,43.06,43.76
2003-08-21,44.22,45.7
2003-08-22,46.4,45.22
2003-08-25,44.85,45.85
2003-08-26,45.65,45.93
2003-08-27,45.77,45.88
2003-08-28,45.94,45.94
2003-08-29,45.82,46.32
2003-09-02,46.52,47.33
2003-09-03,47.58,46.19
2003-09-04,46.12,47.29
2003-09-05,46.95,46.52
2003-09-08,46.5,47.28
2003-09-09,47.1,46.68
2003-09-10,46.26,46.22
2003-09-11,46.2,45.19
2003-09-12,44.85,45.68
2003-09-15,45.36,45.51
2003-09-16,45.4,46.24
2003-09-17,46.21,46.16
2003-09-18,46.16,47.89
2003-09-19,47.87,47.58
2003-09-22,46.56,47.468
2003-09-23,47.41,50.44
2003-09-24,50.35,49.61
2003-09-25,49.66,50.05
2003-09-26,49.9,48.56
2003-09-29,48.88,49.86
2003-09-30,49.65,48.43
2003-10-01,48.37,49.12
2003-10-02,48.94,50.09
2003-10-03,51.13,52.89
2003-10-06,52.89,54.15
2003-10-07,54.0,54.91
2003-10-08,55.44,55.7
2003-10-09,57.41,57.86
2003-10-10,57.7,58.06
2003-10-13,57.94,58.3
2003-10-14,58.1,59.91
2003-10-15,60.39,58.54
2003-10-16,58.16,59.91
2003-10-17,59.3,59.69
2003-10-20,59.56,59.59
2003-10-21,59.73,59.35
2003-10-22,56.05,54.03
2003-10-23,52.98,54.32
2003-10-24,54.55,54.509
2003-10-27,54.9,54.82
2003-10-28,55.19,56.73
2003-10-29,56.65,56.69
2003-10-30,57.4,55.84
2003-10-31,55.9,54.43
2003-11-03,54.8,56.74
2003-11-04,56.7,56.86
2003-11-05,56.13,56.74
2003-11-06,56.81,54.99
2003-11-07,55.61,54.31
2003-11-10,53.95,51.98
2003-11-11,51.84,52.23
2003-11-12,52.57,54.13
2003-11-13,54.04,54.8
2003-11-14,54.43,52.45
2003-11-17,51.93,50.36
2003-11-18,50.73,48.5
2003-11-19,48.71,49.53
2003-11-20,49.1,48.85
2003-11-21,49.002,48.58
2003-11-24,49.28,51.33
2003-11-25,51.35,52.47
2003-11-26,52.83,52.96
2003-11-28,52.84,53.97
2003-12-01,54.4,54.65
2003-12-02,54.5,53.93
2003-12-03,54.1,51.51
2003-12-04,51.45,51.8
2003-12-05,51.2,51.56
2003-12-08,51.55,51.08
2003-12-09,51.17,49.34
2003-12-10,49.45,49.2
2003-12-11,49.26,50.8
2003-12-12,50.99,50.99
2003-12-15,52.05,50.41
2003-12-16,49.6,49.5
2003-12-17,49.47,47.58
2003-12-18,47.61,48.75
2003-12-19,48.8,49.24
2003-12-22,48.98,49.89
2003-12-23,50.02,52.48
2003-12-24,52.3,53.32
2003-12-26,54.14,53.47
2003-12-29,53.79,53.47
2003-12-30,53.18,52.83
2003-12-31,52.82,52.62
2004-01-02,52.76,51.9
2004-01-05,52.0,53.27
2004-01-06,53.11,53.03
2004-01-07,52.18,51.9
2004-01-08,52.09,50.24
2004-01-09,49.77,51.59
2004-01-12,51.65,52.95
2004-01-13,52.67,54.91
2004-01-14,54.62,55.8
2004-01-15,54.73,56.18
2004-01-16,56.23,55.72
2004-01-20,55.57,56.61
2004-01-21,56.15,56.2
2004-01-22,56.81,57.18
2004-01-23,57.1,57.11
2004-01-26,56.81,57.03
2004-01-27,56.75,55.74
2004-01-28,53.74,51.96
2004-01-29,52.03,49.22
2004-01-30,49.3,50.4
2004-02-02,50.56,48.27
2004-02-03,48.19,44.94
2004-02-04,44.8,45.39
2004-02-05,46.03,46.04
2004-02-06,46.2,46.35
2004-02-09,46.75,45.86
2004-02-10,45.85,45.59
