date,open,close
2003-01-02,35.8,36.67
2003-01-03,36.69,36.8
2003-01-06,36.72,38.09
2003-01-07,37.85,37.58
2003-01-08,37.59,37.3
2003-01-09,37.45,38.09
2003-01-10,37.4,38.18
2003-01-13,38.77,38.54
2003-01-14,38.35,38.43
2003-01-15,38.31,37.67
2003-01-16,37.8,37.37
2003-01-17,37.0,36.93
2003-01-21,37.27,35.95
2003-01-22,35.76,35.08
2003-01-23,35.39,35.27
2003-01-24,35.28,33.7
2003-01-27,33.27,33.42
2003-01-28,34.18,35.02
2003-01-29,35.03,35.16
2003-01-30,35.16,34.72
2003-01-31,34.45,35.53
2003-02-03,35.65,35.7
2003-02-04,35.25,34.7
2003-02-05,35.18,34.65
2003-02-06,34.3,33.76
2003-02-07,33.77,33.74
2003-02-10,33.55,33.57
2003-02-11,33.85,33.17
2003-02-12,33.18,32.5
2003-02-13,32.5,32.55
2003-02-14,32.49,33.15
2003-02-18,33.6,34.3
2003-02-19,34.3,34.25
2003-02-20,34.26,33.67
2003-02-21,33.65,33.65
2003-02-24,33.37,32.98
2003-02-25,32.98,33.06
2003-02-26,33.07,32.73
2003-02-27,33.0,33.08
2003-02-28,33.11,33.58
2003-03-03,33.8,33.16
2003-03-04,33.16,32.76
2003-03-05,32.72,33.14
2003-03-06,32.89,32.55
2003-03-07,32.03,33.07
2003-03-10,32.57,31.88
2003-03-11,31.88,31.59
2003-03-12,31.5,31.49
2003-03-13,32.23,33.04
2003-03-14,33.39,33.48
2003-03-17,33.48,35.66
2003-03-18,35.74,36.06
2003-03-19,36.85,36.3
2003-03-20,36.3,36.7
2003-03-21,37.0,37.86
2003-03-24,36.9,36.35
2003-03-25,36.0,35.26
2003-03-26,35.2,35.18
2003-03-27,34.8,34.43
2003-03-28,34.2,34.22
2003-03-31,33.63,33.23
2003-04-01,33.24,33.62
2003-04-02,34.3,34.74
2003-04-03,35.13,34.68
2003-04-04,35.09,35.48
2003-04-07,36.6,35.77
2003-04-08,35.77,35.23
2003-04-09,35.0,34.4
2003-04-10,34.5,34.87
2003-04-11,35.23,34.62
2003-04-14,34.65,35.61
2003-04-15,35.61,36.9
2003-04-16,36.9,36.35
2003-04-17,36.36,37.08
2003-04-21,37.08,36.47
2003-04-22,36.47,37.89
2003-04-23,37.87,37.52
2003-04-24,36.7,37.05
2003-04-25,36.0,36.69
2003-04-28,36.94,37.49
2003-04-29,37.75,37.73
2003-04-30,37.83,37.86
2003-05-01,37.86,37.75
2003-05-02,37.27,38.46
2003-05-05,38.63,38.31
2003-05-06,38.45,39.1
2003-05-07,39.13,39.01
2003-05-08,38.46,38.27
2003-05-09,38.58,39.8
2003-05-12,39.53,40.42
2003-05-13,40.42,40.3
2003-05-14,40.55,40.41
2003-05-15,40.41,40.99
2003-05-16,40.99,40.62
2003-05-19,40.15,39.69
2003-05-20,39.45,39.66
2003-05-21,39.35,40.09
2003-05-22,40.09,39.95
2003-05-23,39.95,39.99
