date,open,close
2003-01-02,33.0,33.88
2003-01-03,34.1,34.18
2003-01-06,34.05,34.13
2003-01-07,34.12,33.3
2003-01-08,33.37,33.5
2003-01-09,33.75,33.9
2003-01-10,33.91,33.85
2003-01-13,34.15,34.3
2003-01-14,34.15,34.15
2003-01-15,34.05,33.35
2003-01-16,33.8,33.46
2003-01-17,33.35,33.29
2003-01-21,33.29,32.4
2003-01-22,32.05,31.78
2003-01-23,31.8,31.85
2003-01-24,31.6,31.01
2003-01-27,31.01,30.62
2003-01-28,30.74,31.45
2003-01-29,30.74,31.45
2003-01-30,30.27,30.66
2003-01-31,31.38,31.59
2003-02-03,30.9,31.11
2003-02-04,30.8,31.24
2003-02-05,31.07,30.67
2003-02-06,30.66,30.55
2003-02-07,30.65,30.0
2003-02-10,30.1,30.27
2003-02-11,30.27,29.84
2003-02-12,29.8,29.63
2003-02-13,29.46,29.5
2003-02-14,29.45,30.15
2003-02-18,30.5,30.0
2003-02-19,30.0,30.18
2003-02-20,30.18,29.17
2003-02-21,29.0,29.64
2003-02-24,29.28,28.49
2003-02-25,28.44,28.19
2003-02-26,28.36,27.84
2003-02-27,28.11,27.95
2003-02-28,28.0,27.56
2003-03-03,27.7,27.11
2003-03-04,27.1,27.45
2003-03-05,27.45,26.74
2003-03-06,26.6,26.16
2003-03-07,25.8,25.84
2003-03-10,25.7,25.52
2003-03-11,25.63,25.22
2003-03-12,25.15,25.15
2003-03-13,25.42,25.35
2003-03-14,25.25,25.55
2003-03-17,25.5,26.9
2003-03-18,27.37,27.83
2003-03-19,27.9,27.95
2003-03-20,27.9,27.82
2003-03-21,28.24,28.1
2003-03-24,27.8,27.03
2003-03-25,27.25,27.37
2003-03-26,27.37,26.4
2003-03-27,26.4,26.52
2003-03-28,26.3,26.1
2003-03-31,25.0,25.06
2003-04-01,25.37,25.67
2003-04-02,25.98,26.66
2003-04-03,26.94,26.55
2003-04-04,26.79,26.5
2003-04-07,27.1,27.4
2003-04-08,27.15,27.36
2003-04-09,27.36,27.48
2003-04-10,27.48,27.09
2003-04-11,27.09,26.47
2003-04-14,26.48,27.25
2003-04-15,26.9,27.29
2003-04-16,27.36,26.64
2003-04-17,26.64,26.65
2003-04-21,26.65,26.78
2003-04-22,26.6,27.8
2003-04-23,28.0,28.14
2003-04-24,27.94,27.63
2003-04-25,27.83,27.19
2003-04-28,26.73,27.38
2003-04-29,27.38,27.76
2003-04-30,27.4,27.28
2003-05-01,27.17,27.11
2003-05-02,27.55,28.62
2003-05-05,28.12,27.62
2003-05-06,27.5,28.14
2003-05-07,28.14,28.38
2003-05-08,28.0,28.14
2003-05-09,28.55,29.1
2003-05-12,28.9,29.82
2003-05-13,29.78,29.55
2003-05-14,29.7,29.49
2003-05-15,29.55,30.16
2003-05-16,30.35,30.42
2003-05-19,30.05,29.07
2003-05-20,29.17,28.93
2003-05-21,28.8,28.8
2003-05-22,28.8,29.1
2003-05-23,29.02,29.99
2003-05-27,29.99,29.9
2003-05-28,29.95,30.38
2003-05-29,30.39,29.95
2003-05-30,30.2,30.67
2003-06-02,31.1,31.96
2003-06-03,31.96,32.11
2003-06-04,32.12,33.55
2003-06-05,33.55,33.68
2003-06-06,34.15,34.86
2003-06-09,34.4,33.17
2003-06-10,33.81,34.31
2003-06-11,34.31,35.4
2003-06-12,35.9,35.75
2003-06-13,35.75,35.34
2003-06-16,35.65,36.41
2003-06-17,35.9,36.15
2003-06-18,36.0,35.83
2003-06-19,35.45,35.5
2003-06-20,35.5,35.53
2003-06-23,34.84,34.46
2003-06-24,34.36,34.5
2003-06-25,34.54,34.41
2003-06-26,34.22,34.4
2003-06-27,34.3,34.22
2003-06-30,34.55,34.32
2003-07-01,34.1,34.65
2003-07-02,34.42,34.8
2003-07-03,34.3,34.58
2003-07-07,34.88,35.01
2003-07-08,35.12,34.99
2003-07-09,35.0,35.23
2003-07-10,34.83,34.69
2003-07-11,34.72,35.18
2003-07-14,35.4,34.58
2003-07-15,33.45,33.44
2003-07-16,33.4,33.39
2003-07-17,33.15,33.17
2003-07-18,33.21,33.35
