date,open,close
2003-01-02,69.91,70.68
2003-01-03,70.1,70.24
2003-01-06,69.65,71.25
2003-01-07,71.26,71.36
2003-01-08,71.37,71.07
2003-01-09,71.4,72.0
2003-01-10,71.27,71.8
2003-01-13,72.05,72.38
2003-01-14,72.05,72.48
2003-01-15,72.48,71.45
2003-01-16,71.29,71.0
2003-01-17,70.48,71.48
2003-01-21,71.25,70.73
2003-01-22,70.74,70.9
2003-01-23,71.07,71.6
2003-01-24,71.6,69.62
2003-01-27,69.6,68.62
2003-01-28,68.63,69.1
2003-01-29,69.1,69.59
2003-01-30,69.2,68.71
2003-01-31,68.71,70.05
2003-02-03,70.05,70.03
2003-02-04,70.04,68.64
2003-02-05,69.0,68.5
2003-02-06,68.51,68.42
2003-02-07,68.43,67.94
2003-02-10,67.94,68.21
2003-02-11,68.21,67.73
2003-02-12,67.74,67.2
2003-02-13,67.4,67.6
2003-02-14,67.45,68.87
2003-02-18,68.87,69.81
2003-02-19,69.8,69.75
2003-02-20,69.75,69.46
2003-02-21,69.6,70.36
2003-02-24,70.0,68.67
2003-02-25,68.25,69.07
2003-02-26,69.07,68.33
2003-02-27,68.33,69.2
2003-02-28,69.25,69.24
2003-03-03,69.45,68.58
2003-03-04,68.67,68.05
2003-03-05,67.65,68.34
2003-03-06,68.34,68.15
2003-03-07,67.11,68.99
2003-03-10,68.25,66.84
2003-03-11,66.84,65.63
2003-03-12,65.45,65.84
2003-03-13,66.5,67.6
2003-03-14,67.85,67.31
2003-03-17,67.31,69.12
2003-03-18,69.13,68.34
2003-03-19,68.4,69.5
2003-03-20,69.5,69.52
2003-03-21,69.52,70.5
2003-03-24,69.25,68.8
2003-03-25,69.09,69.31
2003-03-26,69.43,68.55
2003-03-27,68.55,68.29
2003-03-28,68.29,68.58
2003-03-31,67.01,66.84
2003-04-01,67.45,68.0
2003-04-02,69.25,69.82
2003-04-03,70.0,69.19
2003-04-04,69.55,70.0
2003-04-07,70.7,69.44
2003-04-08,69.44,70.85
2003-04-09,70.04,70.16
2003-04-10,70.55,71.21
2003-04-11,70.57,71.34
2003-04-14,71.54,72.0
2003-04-15,72.0,72.68
2003-04-16,72.85,71.99
2003-04-17,71.99,72.88
2003-04-21,72.88,72.8
2003-04-22,72.52,74.24
2003-04-23,73.7,74.55
2003-04-24,73.57,73.56
2003-04-25,73.17,72.58
2003-04-28,72.65,73.67
2003-04-29,73.72,73.74
2003-04-30,73.63,74.05
2003-05-01,74.05,74.25
2003-05-02,74.05,74.91
2003-05-05,74.57,74.14
2003-05-06,74.15,74.41
2003-05-07,74.41,74.26
2003-05-08,73.8,73.69
2003-05-09,74.15,74.0
2003-05-12,73.83,74.51
2003-05-13,74.51,74.32
2003-05-14,74.5,73.94
2003-05-15,74.2,74.42
2003-05-16,73.83,74.16
2003-05-19,74.16,72.47
2003-05-20,72.65,72.51
