date,open,close
2003-01-02,37.05,37.83
2003-01-03,37.83,38.15
2003-01-06,38.25,39.13
2003-01-07,38.9,38.78
2003-01-08,38.25,38.03
2003-01-09,37.9,38.42
2003-01-10,38.5,38.5
2003-01-13,38.45,38.55
2003-01-14,38.61,38.95
2003-01-15,38.99,38.77
2003-01-16,38.75,38.72
2003-01-17,38.3,37.95
2003-01-21,37.85,37.66
2003-01-22,37.45,37.12
2003-01-23,37.07,37.63
2003-01-24,36.48,36.15
2003-01-27,35.25,35.05
2003-01-28,35.1,35.24
2003-01-29,35.1,35.24
2003-01-30,35.7,35.36
2003-01-31,35.15,35.4
2003-02-03,35.55,35.63
2003-02-04,34.75,34.79
2003-02-05,35.7,35.63
2003-02-06,35.4,35.23
2003-02-07,35.45,34.78
2003-02-10,35.0,35.2
2003-02-11,35.12,35.1
2003-02-12,35.75,35.6
2003-02-13,35.56,35.64
2003-02-14,35.74,36.4
2003-02-18,35.7,36.16
2003-02-19,36.01,35.98
2003-02-20,36.23,36.43
2003-02-21,36.0,36.32
2003-02-24,36.65,36.31
2003-02-25,35.9,36.1
2003-02-26,35.82,35.48
2003-02-27,35.98,36.06
2003-02-28,36.1,35.95
2003-03-03,36.2,36.4
2003-03-04,36.15,36.04
2003-03-05,35.75,35.81
2003-03-06,35.15,35.21
2003-03-07,34.96,34.95
2003-03-10,34.86,34.46
2003-03-11,33.86,33.73
2003-03-12,33.93,34.42
2003-03-13,34.43,34.71
2003-03-14,35.75,35.44
2003-03-17,35.13,36.24
2003-03-18,36.29,36.32
2003-03-19,36.4,36.53
2003-03-20,35.95,36.28
2003-03-21,36.38,36.6
2003-03-24,37.0,36.72
2003-03-25,36.12,36.37
2003-03-26,36.27,36.7
2003-03-27,36.7,36.86
2003-03-28,35.95,36.05
2003-03-31,35.2,35.09
2003-04-01,35.09,35.44
2003-04-02,35.61,36.1
2003-04-03,36.1,36.1
2003-04-04,35.85,35.64
2003-04-07,36.05,36.14
2003-04-08,35.9,35.35
2003-04-09,35.35,35.26
2003-04-10,35.5,35.5
2003-04-11,34.4,34.49
2003-04-14,34.14,34.48
2003-04-15,34.8,35.05
2003-04-16,35.0,35.17
2003-04-17,35.23,35.25
2003-04-21,35.02,35.16
2003-04-22,35.17,35.79
2003-04-23,35.8,36.59
2003-04-24,37.6,37.28
2003-04-25,38.75,38.55
2003-04-28,39.25,39.65
2003-04-29,39.55,39.55
2003-04-30,39.8,40.11
2003-05-01,39.86,39.76
2003-05-02,40.0,41.05
2003-05-05,41.05,41.17
2003-05-06,41.82,42.42
2003-05-07,42.0,41.63
2003-05-08,41.0,40.81
2003-05-09,42.1,42.49
2003-05-12,41.5,41.73
2003-05-13,40.9,40.98
2003-05-14,40.71,40.31
2003-05-15,40.25,40.42
2003-05-16,40.27,40.15
2003-05-19,40.05,39.84
2003-05-20,40.25,40.58
2003-05-21,39.5,39.61
2003-05-22,39.9,40.55
2003-05-23,41.15,41.1
2003-05-27,40.6,40.93
2003-05-28,40.53,41.1
2003-05-29,41.55,42.07
2003-05-30,42.1,42.74
2003-06-02,43.5,43.88
2003-06-03,43.66,44.09
2003-06-04,43.3,43.5
2003-06-05,43.0,43.0
2003-06-06,44.4,43.91
2003-06-09,44.15,43.76
2003-06-10,43.81,44.21
2003-06-11,46.06,46.62
2003-06-12,47.0,46.86
2003-06-13,47.0,46.71
2003-06-16,46.41,46.81
2003-06-17,48.8,48.41
2003-06-18,48.22,48.2
2003-06-19,47.8,47.41
2003-06-20,47.46,47.48
2003-06-23,47.3,46.6
2003-06-24,46.05,46.71
2003-06-25,46.63,46.0
2003-06-26,46.14,46.12
2003-06-27,46.12,46.1
2003-06-30,46.0,45.65
2003-07-01,45.92,47.2
2003-07-02,47.75,48.59
2003-07-03,49.8,49.5
2003-07-07,50.58,52.02
2003-07-08,50.94,51.1
2003-07-09,49.7,49.91
2003-07-10,48.99,48.58
2003-07-11,47.5,48.25
2003-07-14,48.82,49.08
2003-07-15,48.85,48.49
2003-07-16,48.7,49.34
2003-07-17,47.26,47.6
2003-07-18,47.25,47.15
2003-07-21,46.55,45.86
2003-07-22,45.76,46.68
2003-07-23,46.2,46.29
2003-07-24,46.52,46.29
2003-07-25,46.23,47.8
2003-07-28,47.24,47.4
2003-07-29,48.05,47.88
2003-07-30,47.4,47.38
2003-07-31,48.91,49.01
2003-08-01,47.8,48.06
2003-08-04,46.89,46.8
2003-08-05,46.0,46.15
2003-08-06,46.2,46.3
2003-08-07,46.55,46.78
2003-08-08,46.65,46.91
2003-08-11,47.7,47.76
2003-08-12,47.59,47.45
2003-08-13,47.12,47.2
2003-08-14,47.35,48.1
2003-08-15,46.9,47.24
2003-08-18,47.24,47.42
2003-08-19,48.5,48.49
2003-08-20,48.75,48.6
2003-08-21,48.91,49.42
2003-08-22,48.4,48.09
2003-08-25,48.09,48.08
2003-08-26,48.08,48.3
2003-08-27,48.3,48.3
2003-08-28,47.55,48.13
2003-08-29,48.25,48.46
2003-09-02,49.45,50.27
2003-09-03,50.77,50.32
2003-09-04,48.42,48.59
2003-09-05,48.75,48.6
2003-09-08,49.45,49.8
2003-09-09,50.44,50.7
2003-09-10,50.9,49.6
2003-09-11,48.65,49.4
2003-09-12,50.25,50.4
2003-09-15,50.55,50.35
2003-09-16,51.1,51.85
2003-09-17,52.5,52.2
2003-09-18,52.25,52.95
2003-09-19,53.0,52.25
2003-09-22,50.15,50.0
2003-09-23,50.0,50.35
2003-09-24,50.23,49.12
2003-09-25,48.0,47.79
2003-09-26,47.99,48.18
2003-09-29,48.52,49.35
2003-09-30,49.35,48.72
2003-10-01,48.55,49.1
2003-10-02,48.45,47.97
2003-10-03,49.26,50.2
2003-10-06,50.45,50.64
2003-10-07,50.2,49.95
2003-10-08,48.0,47.49
2003-10-09,48.01,48.92
2003-10-10,49.4,49.25
2003-10-13,49.65,49.65
2003-10-14,50.0,50.41
2003-10-15,50.0,49.25
2003-10-16,49.93,50.38
2003-10-17,49.55,48.63
2003-10-20,49.35,49.67
2003-10-21,49.4,50.05
2003-10-22,50.3,49.65
2003-10-23,48.6,48.84
2003-10-24,48.94,48.52
2003-10-27,49.05,49.08
2003-10-28,48.7,49.3
2003-10-29,50.2,50.15
2003-10-30,50.8,51.0
2003-10-31,48.91,48.95
2003-11-03,49.3,49.49
2003-11-04,49.8,49.65
2003-11-05,48.1,48.4
2003-11-06,46.25,47.07
2003-11-07,47.18,47.59
2003-11-10,48.15,47.85
2003-11-11,47.04,46.9
2003-11-12,45.1,46.41
2003-11-13,47.15,47.03
2003-11-14,46.8,46.25
2003-11-17,45.5,45.23
2003-11-18,45.23,45.2
2003-11-19,43.4,44.39
2003-11-20,45.5,45.26
2003-11-21,45.68,45.6
2003-11-24,46.1,46.78
2003-11-25,45.5,45.75
2003-11-26,46.85,46.55
2003-11-28,46.7,46.65
2003-12-01,47.55,47.75
2003-12-02,47.08,47.32
2003-12-03,46.95,46.6
2003-12-04,47.64,47.57
2003-12-05,47.35,46.48
2003-12-08,46.0,46.53
2003-12-09,45.48,44.67
2003-12-10,44.3,43.95
2003-12-11,44.5,45.15
2003-12-12,45.2,45.18
2003-12-15,46.5,45.53
2003-12-16,45.0,45.19
2003-12-17,43.9,44.01
2003-12-18,44.0,45.18
2003-12-19,45.44,44.65
2003-12-22,45.75,46.12
2003-12-23,46.37,46.44
2003-12-24,45.9,45.93
2003-12-26,45.8,45.79
2003-12-29,45.62,46.09
2003-12-30,46.75,47.7
2003-12-31,47.3,47.64
2004-01-02,47.8,47.65
2004-01-05,47.78,48.12
2004-01-06,48.2,48.53
2004-01-07,47.8,47.9
