date,open,close
2003-01-02,45.95,47.75
2003-01-03,47.65,47.43
2003-01-06,47.55,48.4
2003-01-07,48.4,47.85
2003-01-08,47.86,46.4
2003-01-09,46.6,47.34
2003-01-10,46.94,47.42
2003-01-13,47.85,47.7
2003-01-14,47.45,47.39
2003-01-15,47.6,47.18
2003-01-16,46.95,47.26
2003-01-17,47.05,47.05
2003-01-21,47.4,46.07
2003-01-22,46.08,44.45
2003-01-23,44.75,45.48
2003-01-24,45.48,43.92
2003-01-27,43.8,43.25
2003-01-28,43.35,43.83
2003-01-29,43.35,43.83
2003-01-30,44.3,43.05
2003-01-31,42.75,43.98
2003-02-03,44.35,44.25
2003-02-04,44.0,43.74
2003-02-05,44.15,43.66
2003-02-06,43.5,42.97
2003-02-07,43.3,42.63
2003-02-10,42.45,42.58
2003-02-11,43.05,42.58
2003-02-12,42.65,42.04
2003-02-13,41.95,42.12
2003-02-14,42.12,43.25
2003-02-18,43.35,44.55
2003-02-19,45.4,45.95
2003-02-20,46.15,46.3
2003-02-21,46.3,46.54
2003-02-24,46.29,45.81
2003-02-25,45.43,45.82
2003-02-26,45.65,45.75
2003-02-27,46.0,46.72
2003-02-28,46.95,47.0
2003-03-03,47.01,47.08
2003-03-04,46.9,45.22
2003-03-05,45.22,45.63
2003-03-06,45.64,44.6
2003-03-07,43.75,45.8
2003-03-10,45.35,44.79
2003-03-11,44.8,44.5
2003-03-12,44.35,44.22
2003-03-13,45.15,46.93
2003-03-14,46.95,47.02
2003-03-17,46.95,50.23
2003-03-18,50.23,49.8
2003-03-19,49.5,49.79
2003-03-20,49.79,50.62
2003-03-21,50.75,52.55
2003-03-24,52.56,50.73
2003-03-25,51.0,51.0
2003-03-26,51.0,50.2
2003-03-27,49.75,50.72
2003-03-28,50.72,50.24
2003-03-31,49.25,49.2
2003-04-01,49.2,49.65
2003-04-02,50.85,51.71
2003-04-03,52.2,51.8
2003-04-04,51.8,51.47
2003-04-07,52.49,51.7
2003-04-08,51.95,52.1
2003-04-09,51.56,51.71
2003-04-10,51.71,52.83
2003-04-11,53.5,52.98
2003-04-14,52.98,53.64
2003-04-15,53.15,52.7
2003-04-16,53.25,51.41
2003-04-17,51.42,51.98
2003-04-21,52.2,51.84
2003-04-22,51.2,52.96
2003-04-23,52.71,52.86
2003-04-24,52.3,52.75
2003-04-25,52.75,51.93
2003-04-28,51.7,52.78
2003-04-29,52.81,52.39
2003-04-30,52.37,52.6
2003-05-01,52.6,51.85
2003-05-02,51.75,52.35
2003-05-05,52.55,52.68
2003-05-06,52.77,53.9
2003-05-07,53.45,53.33
2003-05-08,53.21,51.97
2003-05-09,52.0,53.15
2003-05-12,53.25,54.25
2003-05-13,54.1,53.17
2003-05-14,53.35,52.79
2003-05-15,53.3,53.4
2003-05-16,53.4,52.97
2003-05-19,52.65,51.5
2003-05-20,51.5,51.25
2003-05-21,51.1,50.43
2003-05-22,50.7,51.22
2003-05-23,51.25,51.0
2003-05-27,50.75,52.51
2003-05-28,52.6,52.51
2003-05-29,52.52,50.5
2003-05-30,51.0,52.15
2003-06-02,52.5,52.18
2003-06-03,52.18,52.95
2003-06-04,53.0,53.92
2003-06-05,53.92,54.37
2003-06-06,54.63,54.61
2003-06-09,54.54,54.22
2003-06-10,54.7,54.62
2003-06-11,54.85,56.66
2003-06-12,56.66,56.13
2003-06-13,56.04,56.05
2003-06-16,56.75,57.89
2003-06-17,57.99,57.76
2003-06-18,57.5,57.02
2003-06-19,57.2,56.5
2003-06-20,56.96,57.25
2003-06-23,57.25,56.66
2003-06-24,56.25,56.45
2003-06-25,56.46,56.15
2003-06-26,56.07,56.76
2003-06-27,56.6,55.83
2003-06-30,55.88,55.66
2003-07-01,55.1,54.74
2003-07-02,54.74,55.74
2003-07-03,55.4,55.57
2003-07-07,56.25,56.41
2003-07-08,56.31,56.71
2003-07-09,56.65,56.43
2003-07-10,56.43,56.22
2003-07-11,56.05,57.38
2003-07-14,58.3,57.88
2003-07-15,58.6,58.07
2003-07-16,58.48,58.64
2003-07-17,60.5,63.54
2003-07-18,63.8,65.61
2003-07-21,65.61,65.32
2003-07-22,63.56,64.2
2003-07-23,64.23,64.85
2003-07-24,64.95,63.82
2003-07-25,64.0,65.3
2003-07-28,65.48,65.1
2003-07-29,65.1,65.35
2003-07-30,65.36,66.45
2003-07-31,67.35,67.47
2003-08-01,67.57,67.22
2003-08-04,66.95,67.1
2003-08-05,67.31,66.69
2003-08-06,66.69,66.11
2003-08-07,66.0,67.16
2003-08-08,67.4,68.21
2003-08-11,68.4,68.68
2003-08-12,68.68,70.3
2003-08-13,70.3,70.4
2003-08-14,70.4,70.65
2003-08-15,71.1,70.96
2003-08-18,71.46,73.04
2003-08-19,73.05,72.9
2003-08-20,72.11,72.26
2003-08-21,72.4,73.41
2003-08-22,73.36,71.69
2003-08-25,71.0,69.66
2003-08-26,69.67,69.55
2003-08-27,69.5,70.16
2003-08-28,70.55,70.65
