date,open,close
2003-01-02,52.52,53.8
2003-01-03,53.25,53.16
2003-01-06,53.16,54.32
2003-01-07,54.25,53.58
2003-01-08,53.65,53.2
2003-01-09,53.0,53.1
2003-01-10,53.0,52.93
2003-01-13,52.95,52.85
2003-01-14,52.6,52.58
2003-01-15,52.6,52.3
2003-01-16,52.45,54.0
2003-01-17,54.01,53.76
2003-01-21,54.0,53.07
2003-01-22,52.95,51.98
2003-01-23,51.5,52.37
2003-01-24,52.38,51.61
2003-01-27,51.55,50.85
2003-01-28,50.85,51.52
2003-01-29,50.85,51.52
2003-01-30,50.83,49.62
2003-01-31,49.55,50.91
2003-02-03,51.25,50.75
2003-02-04,51.15,52.19
2003-02-05,51.95,51.5
2003-02-06,51.49,51.42
2003-02-07,51.6,51.2
2003-02-10,51.6,51.5
2003-02-11,51.75,50.61
2003-02-12,50.6,50.17
2003-02-13,50.17,50.38
2003-02-14,50.39,50.73
2003-02-18,50.8,50.92
2003-02-19,50.75,50.5
2003-02-20,50.4,50.07
2003-02-21,50.5,51.0
2003-02-24,51.0,50.37
2003-02-25,50.37,50.97
2003-02-26,50.97,50.81
2003-02-27,50.96,50.79
2003-02-28,51.0,50.31
2003-03-03,50.6,50.05
2003-03-04,50.15,49.73
2003-03-05,49.67,50.15
2003-03-06,50.15,49.65
2003-03-07,49.0,49.65
2003-03-10,49.4,49.1
2003-03-11,48.85,49.85
2003-03-12,49.6,51.1
2003-03-13,51.5,52.01
2003-03-14,52.01,52.2
2003-03-17,51.9,53.75
2003-03-18,53.65,53.45
2003-03-19,53.7,54.42
2003-03-20,54.2,54.59
2003-03-21,55.0,55.75
2003-03-24,55.05,54.11
2003-03-25,54.0,53.8
2003-03-26,53.5,53.79
2003-03-27,53.5,54.08
2003-03-28,54.08,54.35
2003-03-31,54.59,54.44
2003-04-01,54.5,55.0
2003-04-02,55.3,55.5
2003-04-03,55.45,54.54
2003-04-04,55.2,54.52
2003-04-07,55.75,54.9
2003-04-08,54.8,55.16
2003-04-09,55.5,55.5
2003-04-10,55.55,55.68
2003-04-11,56.0,55.52
2003-04-14,55.55,56.62
2003-04-15,56.62,57.19
2003-04-16,57.0,56.35
2003-04-17,56.1,55.75
2003-04-21,56.0,56.32
2003-04-22,56.6,57.3
2003-04-23,57.07,57.42
2003-04-24,57.32,57.2
2003-04-25,57.15,56.68
2003-04-28,56.72,57.41
2003-04-29,57.25,57.5
2003-04-30,57.51,57.17
2003-05-01,56.85,56.89
2003-05-02,56.89,57.15
2003-05-05,57.08,57.6
2003-05-06,57.5,57.55
2003-05-07,57.3,57.75
2003-05-08,57.0,56.98
2003-05-09,57.06,57.37
2003-05-12,57.33,58.34
2003-05-13,58.25,57.39
2003-05-14,57.55,57.77
2003-05-15,57.77,58.34
2003-05-16,58.1,58.57
2003-05-19,58.57,58.5
2003-05-20,59.0,59.15
2003-05-21,59.2,58.45
2003-05-22,58.6,58.89
2003-05-23,58.85,58.8
2003-05-27,58.6,58.89
2003-05-28,58.97,58.93
2003-05-29,58.65,59.14
2003-05-30,59.1,59.62
2003-06-02,59.85,59.49
2003-06-03,59.5,59.53
2003-06-04,59.54,59.3
2003-06-05,59.2,59.08
2003-06-06,59.1,58.6
2003-06-09,58.6,58.77
2003-06-10,58.77,58.63
2003-06-11,58.5,58.9
2003-06-12,59.1,59.76
2003-06-13,59.6,59.98
2003-06-16,59.92,60.88
2003-06-17,60.9,60.65
2003-06-18,60.5,60.78
2003-06-19,60.72,59.88
2003-06-20,60.0,59.91
2003-06-23,59.5,59.63
2003-06-24,59.45,60.17
2003-06-25,59.3,58.75
2003-06-26,58.3,58.32
2003-06-27,58.0,57.68
2003-06-30,57.8,57.95
2003-07-01,57.95,58.25
2003-07-02,58.5,58.31
2003-07-03,58.15,57.86
2003-07-07,57.87,58.0
2003-07-08,57.75,58.0
2003-07-09,57.8,57.62
2003-07-10,57.62,57.3
2003-07-11,57.3,57.25
2003-07-14,57.3,56.98
2003-07-15,56.95,56.95
2003-07-16,57.0,56.52
2003-07-17,56.45,55.96
2003-07-18,56.0,56.3
2003-07-21,56.55,56.3
2003-07-22,56.5,56.6
2003-07-23,56.4,56.28
2003-07-24,56.29,55.94
2003-07-25,55.8,55.9
2003-07-28,55.65,55.55
2003-07-29,55.5,55.25
2003-07-30,55.3,55.12
2003-07-31,55.4,54.6
2003-08-01,54.08,54.3
2003-08-04,54.12,54.33
2003-08-05,54.48,54.3
2003-08-06,54.3,54.85
2003-08-07,54.85,54.72
2003-08-08,54.72,55.02
2003-08-11,55.15,55.24
2003-08-12,55.45,56.05
2003-08-13,56.25,55.62
2003-08-14,55.85,55.75
2003-08-15,55.65,54.99
2003-08-18,54.85,54.58
2003-08-19,54.78,54.44
2003-08-20,54.44,54.48
2003-08-21,54.48,54.35
2003-08-22,54.0,53.35
2003-08-25,53.25,53.4
2003-08-26,53.45,53.91
2003-08-27,53.91,53.91
2003-08-28,55.55,55.33
2003-08-29,55.4,55.28
2003-09-02,55.5,56.1
2003-09-03,56.3,56.55
2003-09-04,56.56,56.3
2003-09-05,56.15,56.23
2003-09-08,56.13,56.49
2003-09-09,56.49,55.95
2003-09-10,55.85,56.04
2003-09-11,56.15,56.45
2003-09-12,56.25,56.12
2003-09-15,55.65,55.35
2003-09-16,55.35,55.62
2003-09-17,55.5,55.19
2003-09-18,55.05,54.85
2003-09-19,54.7,55.35
2003-09-22,55.25,54.82
2003-09-23,55.0,55.43
2003-09-24,55.85,55.57
2003-09-25,55.45,55.71
2003-09-26,55.71,55.3
2003-09-29,55.5,55.76
2003-09-30,55.6,55.89
2003-10-01,55.89,56.97
2003-10-02,56.97,57.23
2003-10-03,57.48,57.34
2003-10-06,57.45,57.69
2003-10-07,57.69,57.95
2003-10-08,57.95,57.8
2003-10-09,58.0,57.65
2003-10-10,57.73,57.9
2003-10-13,58.5,58.08
2003-10-14,58.45,58.26
2003-10-15,58.26,58.62
2003-10-16,58.4,58.03
2003-10-17,57.7,57.35
2003-10-20,57.3,57.37
2003-10-21,57.37,57.61
2003-10-22,57.3,57.76
2003-10-23,53.99,53.19
2003-10-24,53.19,51.85
2003-10-27,51.7,51.09
2003-10-28,51.09,51.16
2003-10-29,51.0,52.22
2003-10-30,52.3,51.62
2003-10-31,52.6,53.19
2003-11-03,53.25,53.15
2003-11-04,53.25,53.3
2003-11-05,53.45,52.37
2003-11-06,52.5,52.29
2003-11-07,52.25,52.1
2003-11-10,52.35,51.94
2003-11-11,51.94,52.33
2003-11-12,52.25,52.72
2003-11-13,52.65,52.8
2003-11-14,52.84,52.1
2003-11-17,52.11,52.1
2003-11-18,52.05,51.43
2003-11-19,51.35,51.7
2003-11-20,51.5,51.77
2003-11-21,51.95,51.87
2003-11-24,52.1,52.45
2003-11-25,52.45,52.42
2003-11-26,52.42,52.34
2003-11-28,52.35,52.5
2003-12-01,52.6,52.9
2003-12-02,52.87,53.04
2003-12-03,53.03,53.0
2003-12-04,53.06,53.7
2003-12-05,53.5,53.86
2003-12-08,53.8,53.59
2003-12-09,53.6,52.93
2003-12-10,52.94,52.61
2003-12-11,52.5,52.6
2003-12-12,52.95,53.61
2003-12-15,53.75,53.56
2003-12-16,53.57,53.16
2003-12-17,53.3,53.88
2003-12-18,52.5,50.3
2003-12-19,49.8,49.19
2003-12-22,49.2,49.13
2003-12-23,49.3,49.34
2003-12-24,49.25,49.17
2003-12-26,49.17,49.3
2003-12-29,49.15,49.98
2003-12-30,49.98,49.91
2003-12-31,49.91,50.05
2004-01-02,49.95,49.62
2004-01-05,49.82,50.05
2004-01-06,50.0,50.38
2004-01-07,50.5,50.65
2004-01-08,50.68,50.77
2004-01-09,50.53,50.49
2004-01-12,50.58,50.36
2004-01-13,50.75,50.58
2004-01-14,50.85,50.42
2004-01-15,50.52,51.05
2004-01-16,51.45,51.23
2004-01-20,51.5,51.08
2004-01-21,51.3,51.45
2004-01-22,51.58,51.24
2004-01-23,51.33,50.99
2004-01-26,51.35,51.39
2004-01-27,51.45,51.26
2004-01-28,51.05,50.85
2004-01-29,51.05,51.95
2004-01-30,52.22,51.27
2004-02-02,51.28,50.34
2004-02-03,50.35,51.85
2004-02-04,52.4,53.76
2004-02-05,54.0,54.62
2004-02-06,54.65,54.8
2004-02-09,54.96,54.92
2004-02-10,55.07,55.0
2004-02-11,55.25,55.07
2004-02-12,55.03,55.06
2004-02-13,55.06,55.03
2004-02-17,55.4,55.35
2004-02-18,55.6,55.5
2004-02-19,55.65,56.5
2004-02-20,56.65,56.05
2004-02-23,56.06,56.01
2004-02-24,55.86,55.22
2004-02-25,55.45,55.0
2004-02-26,54.98,55.47
2004-02-27,55.55,55.45
2004-03-01,55.65,56.24
2004-03-02,56.1,56.13
2004-03-03,55.85,56.31
2004-03-04,56.35,56.04
2004-03-05,55.94,56.35
2004-03-08,56.28,56.52
2004-03-09,56.3,56.26
2004-03-10,56.55,56.55
2004-03-11,56.1,54.9
2004-03-12,54.82,54.92
2004-03-15,54.95,54.48
2004-03-16,54.55,54.66
2004-03-17,54.75,55.0
2004-03-18,55.0,55.0
2004-03-19,55.0,54.75
2004-03-22,54.75,53.65
2004-03-23,53.55,52.99
2004-03-24,52.85,52.8
2004-03-25,53.5,54.91
2004-03-26,55.03,54.72
2004-03-29,54.55,55.35
2004-03-30,55.3,56.05
2004-03-31,55.85,55.1
2004-04-01,55.15,54.92
2004-04-02,54.98,55.62
2004-04-05,55.5,54.84
2004-04-06,54.45,54.98
2004-04-07,54.65,54.36
2004-04-08,54.55,54.27
2004-04-12,54.3,53.98
2004-04-13,54.0,53.56
2004-04-14,53.5,54.85
2004-04-15,55.05,55.5
2004-04-16,55.8,55.75
2004-04-19,56.0,56.31
2004-04-20,56.45,56.61
2004-04-21,57.0,56.25
2004-04-22,56.1,56.42
2004-04-23,56.22,56.64
2004-04-26,56.89,57.06
2004-04-27,57.0,57.02
2004-04-28,56.87,56.4
2004-04-29,56.54,57.85
2004-04-30,58.15,57.88
2004-05-03,57.89,58.92
2004-05-04,58.67,58.73
2004-05-05,58.56,58.58
2004-05-06,58.3,58.49
2004-05-07,58.34,57.63
2004-05-10,57.45,57.01
2004-05-11,57.31,57.07
2004-05-12,56.87,56.91
2004-05-13,56.93,55.99
2004-05-14,55.95,55.75
2004-05-17,55.5,56.17
2004-05-18,56.35,56.15
2004-05-19,56.25,55.91
2004-05-20,55.75,55.97
2004-05-21,56.5,57.23
2004-05-24,57.48,56.8
2004-05-25,56.82,57.16
2004-05-26,57.16,57.89
2004-05-27,57.89,57.52
2004-05-28,57.58,57.2
2004-06-01,57.3,57.54
2004-06-02,57.79,57.42
2004-06-03,57.12,57.05
2004-06-04,57.31,56.92
2004-06-07,56.93,57.6
2004-06-08,57.25,57.77
2004-06-09,57.78,58.11
2004-06-10,57.91,58.15
2004-06-14,57.8,58.1
2004-06-15,58.17,58.19
2004-06-16,58.25,58.47
2004-06-17,58.34,58.35
2004-06-18,58.36,58.38
2004-06-21,58.2,58.28
2004-06-22,58.2,58.68
2004-06-23,58.45,58.42
2004-06-24,58.15,58.16
2004-06-25,58.08,57.35
2004-06-28,57.7,57.76
2004-06-29,57.77,58.6
2004-06-30,58.45,58.45
2004-07-01,58.6,58.73
2004-07-02,58.6,58.38
2004-07-06,58.17,58.29
2004-07-07,58.25,58.1
2004-07-08,58.0,58.06
2004-07-09,58.03,57.76
2004-07-12,57.65,57.66
2004-07-13,57.26,57.48
2004-07-14,57.3,56.89
2004-07-15,56.89,56.9
2004-07-16,56.9,56.32
2004-07-19,56.42,56.13
2004-07-20,56.03,56.62
2004-07-21,55.3,55.0
2004-07-22,54.4,53.85
2004-07-23,53.65,52.64
2004-07-26,52.77,52.7
2004-07-27,52.89,53.06
2004-07-28,52.84,53.45
2004-07-29,53.6,53.29
2004-07-30,53.02,53.2
2004-08-02,53.21,53.34
2004-08-03,53.19,52.97
2004-08-04,52.97,52.82
2004-08-05,52.87,52.25
2004-08-06,52.1,51.75
2004-08-09,51.7,51.55
2004-08-10,51.75,52.23
2004-08-11,52.23,52.21
2004-08-12,52.04,51.98
2004-08-13,52.1,51.73
2004-08-16,51.86,51.95
2004-08-17,52.15,51.62
2004-08-18,51.63,52.13
2004-08-19,51.95,51.88
2004-08-20,51.93,52.66
2004-08-23,52.91,53.34
2004-08-24,53.55,53.36
2004-08-25,53.3,53.85
2004-08-26,53.62,53.95
2004-08-27,53.87,53.95
2004-08-30,53.78,53.72
2004-08-31,53.66,54.0
2004-09-01,53.91,54.39
2004-09-02,54.5,54.82
2004-09-03,54.88,54.85
2004-09-07,55.0,55.0
2004-09-08,55.0,54.5
2004-09-09,54.65,54.22
2004-09-10,54.1,54.4
2004-09-13,54.3,54.47
2004-09-14,54.5,54.35
2004-09-15,54.35,54.37
2004-09-16,54.34,54.3
2004-09-17,54.55,54.33
2004-09-20,49.52,48.23
2004-09-21,48.3,46.07
2004-09-22,45.95,45.85
2004-09-23,45.95,45.8
2004-09-24,45.83,45.15
2004-09-27,45.4,45.23
2004-09-28,45.3,45.35
2004-09-29,45.38,45.5
2004-09-30,45.5,45.18
2004-10-01,45.2,45.12
2004-10-04,44.9,44.9
2004-10-05,44.7,44.5
2004-10-06,44.6,44.55
2004-10-07,44.62,44.41
2004-10-08,44.48,44.15
2004-10-11,44.12,43.99
2004-10-12,43.85,43.35
2004-10-13,43.68,43.45
2004-10-14,43.7,43.45
2004-10-15,44.25,43.93
2004-10-18,43.71,43.92
2004-10-19,43.92,43.06
2004-10-20,44.0,45.35
2004-10-21,46.18,45.85
2004-10-22,45.85,45.7
2004-10-25,45.99,44.95
2004-10-26,45.0,45.38
2004-10-27,45.38,45.42
2004-10-28,45.67,44.95
2004-10-29,44.86,44.62
2004-11-01,44.62,44.7
2004-11-02,44.95,45.02
2004-11-03,45.55,45.48
2004-11-04,45.65,46.52
2004-11-05,46.7,46.91
2004-11-08,46.85,46.38
2004-11-09,46.73,46.67
2004-11-10,46.8,46.45
2004-11-11,46.85,47.38
2004-11-12,47.65,47.62
2004-11-15,47.88,47.9
2004-11-16,47.9,48.14
2004-11-17,48.4,48.74
2004-11-18,47.75,46.92
2004-11-19,46.9,46.22
2004-11-22,46.3,46.03
2004-11-23,46.1,46.0
2004-11-24,45.9,45.79
2004-11-26,45.9,45.9
2004-11-29,46.0,46.0
2004-11-30,45.85,45.99
2004-12-01,46.22,46.72
2004-12-02,46.8,47.36
2004-12-03,47.45,46.9
2004-12-06,46.85,46.29
2004-12-07,47.97,50.07
2004-12-08,50.07,49.55
2004-12-09,49.55,50.25
2004-12-10,50.05,50.46
2004-12-13,50.1,50.02
2004-12-14,49.95,50.48
2004-12-15,50.3,50.22
2004-12-16,49.85,49.9
2004-12-17,49.5,49.92
2004-12-20,49.92,50.31
2004-12-21,50.2,50.45
2004-12-22,50.3,50.5
2004-12-23,50.5,50.73
2004-12-27,50.77,50.28
2004-12-28,50.35,50.33
2004-12-29,50.42,50.32
2004-12-30,50.5,51.26
2004-12-31,51.3,51.16
2005-01-03,50.91,50.02
2005-01-04,50.12,49.67
2005-01-05,49.05,48.55
2005-01-06,49.5,49.73
2005-01-07,49.73,50.08
2005-01-10,50.08,50.54
2005-01-11,50.36,50.45
2005-01-12,50.11,50.21
2005-01-13,50.5,49.9
2005-01-14,49.9,50.08
2005-01-18,49.75,50.14
2005-01-19,50.14,50.07
2005-01-20,50.12,50.12
2005-01-21,50.12,49.8
2005-01-24,49.8,49.26
2005-01-25,49.51,49.8
2005-01-26,50.0,49.88
2005-01-27,51.95,52.69
2005-01-28,52.31,51.66
2005-01-31,52.0,52.54
2005-02-01,52.54,53.21
2005-02-02,53.25,54.29
2005-02-03,54.5,54.78
2005-02-04,54.35,54.83
2005-02-07,54.83,55.2
2005-02-08,55.18,54.9
2005-02-09,54.91,54.51
2005-02-10,54.52,54.0
2005-02-11,54.1,54.65
2005-02-14,54.66,54.49
2005-02-15,54.5,53.92
2005-02-16,53.92,53.98
2005-02-17,54.0,53.92
2005-02-18,54.05,53.2
2005-02-22,53.2,52.4
2005-02-23,52.5,52.6
2005-02-24,52.5,52.84
2005-02-25,52.5,52.6
2005-02-28,52.42,52.92
2005-03-01,52.92,52.87
2005-03-02,52.87,52.71
2005-03-03,52.9,52.68
2005-03-04,52.76,52.84
2005-03-07,52.99,52.93
2005-03-08,52.88,52.82
2005-03-09,52.56,51.76
2005-03-10,51.68,52.7
2005-03-11,52.55,52.34
2005-03-14,52.34,52.58
2005-03-15,52.83,52.6
2005-03-16,52.61,52.21
2005-03-17,52.3,51.96
2005-03-18,51.79,52.14
2005-03-21,52.14,51.66
2005-03-22,51.43,50.59
2005-03-23,50.6,52.13
2005-03-24,52.0,51.77
2005-03-28,51.77,51.62
2005-03-29,51.5,51.43
2005-03-30,51.35,52.28
2005-03-31,52.45,52.17
2005-04-01,52.3,51.52
2005-04-04,51.55,51.78
2005-04-05,52.02,52.27
2005-04-06,52.49,52.82
2005-04-07,52.91,53.54
2005-04-08,53.54,53.54
2005-04-11,53.71,53.71
2005-04-12,53.74,53.95
2005-04-13,54.07,53.93
2005-04-14,53.93,53.3
2005-04-15,53.31,52.82
2005-04-18,52.72,52.36
2005-04-19,52.33,52.12
2005-04-20,51.97,51.09
2005-04-21,51.6,51.94
2005-04-22,51.62,51.38
2005-04-25,51.47,51.65
2005-04-26,51.7,50.7
2005-04-27,50.65,50.73
2005-04-28,50.63,50.42
2005-04-29,50.57,49.79
2005-05-02,49.93,50.11
2005-05-03,50.02,49.85
2005-05-04,49.99,50.04
2005-05-05,50.07,49.58
2005-05-06,49.77,49.17
2005-05-09,49.25,48.99
2005-05-10,48.99,48.6
2005-05-11,48.72,49.29
2005-05-12,49.29,49.25
2005-05-13,49.35,48.6
2005-05-16,48.75,49.18
2005-05-17,48.93,49.59
2005-05-18,49.66,50.4
