date,open,close
2003-01-02,16.14,17.71
2003-01-03,17.7,17.63
2003-01-06,17.65,18.5
2003-01-07,18.5,18.61
2003-01-08,18.5,17.83
2003-01-09,17.98,18.54
2003-01-10,18.35,19.44
2003-01-13,19.44,19.0
2003-01-14,18.9,19.16
2003-01-15,19.3,18.9
2003-01-16,18.98,19.6
2003-01-17,19.3,19.36
2003-01-21,19.36,18.67
2003-01-22,18.53,18.25
2003-01-23,18.46,18.2
2003-01-24,18.15,17.65
2003-01-27,17.4,17.17
2003-01-28,17.18,17.58
2003-01-29,17.18,17.58
2003-01-30,18.27,17.11
2003-01-31,17.11,17.41
2003-02-03,17.57,16.85
2003-02-04,16.6,16.29
2003-02-05,16.29,15.72
2003-02-06,15.73,16.54
2003-02-07,17.4,16.25
2003-02-10,16.87,17.07
2003-02-11,17.07,16.75
2003-02-12,16.5,16.3
2003-02-13,16.05,15.96
2003-02-14,16.14,16.75
2003-02-18,16.76,17.73
2003-02-19,17.7,17.07
2003-02-20,17.25,16.86
2003-02-21,17.11,17.49
2003-02-24,17.45,16.55
2003-02-25,16.35,16.93
2003-02-26,16.94,16.92
2003-02-27,16.96,17.35
2003-02-28,17.35,17.79
2003-03-03,17.95,17.44
2003-03-04,17.36,17.2
2003-03-05,17.2,17.6
2003-03-06,17.45,17.7
2003-03-07,17.15,18.15
2003-03-10,18.0,17.54
2003-03-11,17.49,16.87
2003-03-12,16.85,16.72
2003-03-13,17.37,17.63
2003-03-14,17.63,17.73
2003-03-17,17.48,18.75
2003-03-18,18.77,18.7
2003-03-19,18.7,19.28
2003-03-20,19.28,19.4
2003-03-21,19.75,20.3
2003-03-24,19.65,18.8
2003-03-25,18.97,19.46
2003-03-26,19.46,19.33
2003-03-27,19.25,19.9
2003-03-28,19.45,19.3
2003-03-31,18.95,18.99
2003-04-01,19.2,19.9
2003-04-02,20.34,20.13
2003-04-03,20.65,20.34
2003-04-04,20.44,19.99
2003-04-07,20.56,20.5
2003-04-08,19.55,19.88
2003-04-09,19.88,19.11
2003-04-10,19.12,19.55
2003-04-11,19.55,19.56
2003-04-14,19.7,20.07
2003-04-15,20.06,20.45
2003-04-16,20.7,20.0
2003-04-17,20.1,20.15
2003-04-21,20.18,20.41
2003-04-22,20.26,21.48
2003-04-23,21.45,22.23
2003-04-24,22.1,21.53
2003-04-25,21.35,20.81
2003-04-28,20.61,21.31
2003-04-29,21.56,22.24
2003-04-30,22.0,22.42
2003-05-01,22.25,22.75
2003-05-02,22.4,22.1
2003-05-05,22.48,20.98
2003-05-06,21.0,21.7
2003-05-07,21.7,22.17
2003-05-08,22.07,21.48
2003-05-09,21.53,21.96
2003-05-12,21.75,21.8
2003-05-13,21.4,20.24
2003-05-14,20.24,20.5
2003-05-15,20.5,20.6
2003-05-16,20.65,22.0
2003-05-19,22.0,21.22
2003-05-20,21.2,20.78
2003-05-21,20.7,20.15
2003-05-22,20.37,20.8
2003-05-23,20.7,19.67
2003-05-27,19.61,19.85
2003-05-28,20.75,18.82
2003-05-29,19.0,19.58
2003-05-30,19.6,19.36
2003-06-02,21.25,21.79
2003-06-03,21.79,21.49
2003-06-04,21.2,21.56
2003-06-05,21.56,22.85
2003-06-06,23.32,22.73
2003-06-09,22.25,21.78
2003-06-10,21.79,21.57
2003-06-11,21.8,22.57
2003-06-12,22.63,23.1
2003-06-13,23.11,22.55
