date,open,close
2003-01-02,25.45,25.41
2003-01-03,25.5,25.89
2003-01-06,25.89,25.62
2003-01-07,25.63,24.97
2003-01-08,25.02,24.95
2003-01-09,24.95,25.43
2003-01-10,25.18,25.31
2003-01-13,25.4,25.41
2003-01-14,25.41,25.59
2003-01-15,25.49,25.11
2003-01-16,25.4,25.53
2003-01-17,25.2,25.36
2003-01-21,25.5,24.72
2003-01-22,24.65,24.51
2003-01-23,24.48,24.21
2003-01-24,24.21,23.8
2003-01-27,23.45,23.2
2003-01-28,23.5,23.55
2003-01-29,23.5,23.55
2003-01-30,22.75,21.99
2003-01-31,22.0,22.62
2003-02-03,23.0,23.34
2003-02-04,24.55,24.55
2003-02-05,24.8,25.0
2003-02-06,25.0,25.1
2003-02-07,25.25,24.9
2003-02-10,24.93,24.83
2003-02-11,25.15,25.21
2003-02-12,25.3,24.97
2003-02-13,24.97,24.71
2003-02-14,24.71,24.99
2003-02-18,25.15,25.49
2003-02-19,25.7,25.45
2003-02-20,25.41,25.45
2003-02-21,25.4,25.98
2003-02-24,25.85,25.13
2003-02-25,25.0,24.91
2003-02-26,24.92,24.73
2003-02-27,24.81,24.85
2003-02-28,24.86,24.9
2003-03-03,24.9,24.6
2003-03-04,25.0,25.04
2003-03-05,25.14,25.15
2003-03-06,25.14,25.4
2003-03-07,25.0,25.34
2003-03-10,25.25,24.55
2003-03-11,24.55,24.63
2003-03-12,24.55,24.48
2003-03-13,24.65,25.16
2003-03-14,25.1,25.43
2003-03-17,25.33,26.61
2003-03-18,26.55,26.11
2003-03-19,25.15,25.37
2003-03-20,25.38,26.02
2003-03-21,26.42,26.67
2003-03-24,26.68,25.39
2003-03-25,25.25,25.48
2003-03-26,25.61,25.4
2003-03-27,25.3,25.3
2003-03-28,25.22,24.9
2003-03-31,22.33,23.85
2003-04-01,23.78,23.56
2003-04-02,23.78,24.01
2003-04-03,24.3,23.97
2003-04-04,24.44,24.08
2003-04-07,24.7,24.2
2003-04-08,24.42,24.17
2003-04-09,24.16,23.91
2003-04-10,23.88,23.92
2003-04-11,23.96,23.69
2003-04-14,23.89,24.48
2003-04-15,24.38,24.27
2003-04-16,24.25,23.7
2003-04-17,23.64,23.19
2003-04-21,23.35,23.08
2003-04-22,22.95,23.5
2003-04-23,23.58,23.35
2003-04-24,23.36,23.44
2003-04-25,23.5,23.96
2003-04-28,23.96,24.16
2003-04-29,24.1,24.7
2003-04-30,24.4,24.21
2003-05-01,24.15,24.42
2003-05-02,24.47,25.29
2003-05-05,25.37,25.47
2003-05-06,25.48,26.33
2003-05-07,26.33,26.06
2003-05-08,26.1,26.51
2003-05-09,26.55,26.6
2003-05-12,26.53,26.94
2003-05-13,26.98,27.08
2003-05-14,27.45,26.63
2003-05-15,26.6,26.38
2003-05-16,26.2,26.11
2003-05-19,26.11,25.15
2003-05-20,25.15,25.03
2003-05-21,25.0,25.34
2003-05-22,25.7,26.3
2003-05-23,26.35,26.12
2003-05-27,25.9,25.98
2003-05-28,25.98,25.98
2003-05-29,26.01,25.86
2003-05-30,26.0,26.1
2003-06-02,26.3,26.54
2003-06-03,26.54,27.11
2003-06-04,27.25,27.54
2003-06-05,27.18,27.27
2003-06-06,27.47,27.17
2003-06-09,27.09,27.5
2003-06-10,27.85,27.76
2003-06-11,27.9,28.5
2003-06-12,28.7,28.05
2003-06-13,28.09,27.85
2003-06-16,27.98,28.28
2003-06-17,28.52,28.27
2003-06-18,28.24,28.19
2003-06-19,27.65,26.79
2003-06-20,26.98,27.51
2003-06-23,27.32,26.42
2003-06-24,27.4,27.93
2003-06-25,27.94,27.55
2003-06-26,27.58,28.28
2003-06-27,28.31,27.8
2003-06-30,27.81,28.03
2003-07-01,28.03,28.21
2003-07-02,28.21,28.15
2003-07-03,28.0,28.07
2003-07-07,28.25,28.44
2003-07-08,28.48,28.7
2003-07-09,28.7,28.49
2003-07-10,28.35,28.15
2003-07-11,28.12,28.6
2003-07-14,29.35,28.53
2003-07-15,28.6,28.51
2003-07-16,28.51,28.25
2003-07-17,28.2,27.56
2003-07-18,27.79,27.43
2003-07-21,27.44,27.8
2003-07-22,27.76,27.8
2003-07-23,27.76,27.66
2003-07-24,27.9,27.75
2003-07-25,27.73,27.98
2003-07-28,27.95,28.47
2003-07-29,28.35,27.75
2003-07-30,28.0,28.95
2003-07-31,29.75,29.99
2003-08-01,29.98,29.95
2003-08-04,30.05,30.14
2003-08-05,30.25,29.33
2003-08-06,29.33,29.33
2003-08-07,29.4,29.81
2003-08-08,29.8,30.05
2003-08-11,30.13,30.48
2003-08-12,30.47,30.64
2003-08-13,30.75,31.11
2003-08-14,31.08,31.07
2003-08-15,31.0,30.8
2003-08-18,30.8,30.8
2003-08-19,30.9,30.79
2003-08-20,30.59,30.65
2003-08-21,30.65,31.16
2003-08-22,31.25,31.21
2003-08-25,31.11,31.29
2003-08-26,31.15,31.13
2003-08-27,31.13,31.76
2003-08-28,31.9,32.38
2003-08-29,32.39,32.6
2003-09-02,32.55,32.51
2003-09-03,32.55,31.76
2003-09-04,31.79,31.5
2003-09-05,31.32,31.19
2003-09-08,31.05,30.7
2003-09-09,30.5,30.13
2003-09-10,30.27,29.86
2003-09-11,30.0,30.05
2003-09-12,30.0,30.2
2003-09-15,30.2,30.36
2003-09-16,30.58,30.5
2003-09-17,30.43,30.85
2003-09-18,30.84,31.18
2003-09-19,30.56,31.38
2003-09-22,30.44,30.62
2003-09-23,31.0,31.39
2003-09-24,31.65,30.91
2003-09-25,30.88,31.15
2003-09-26,31.1,31.18
2003-09-29,31.18,31.26
2003-09-30,31.27,31.06
2003-10-01,31.16,31.96
2003-10-02,32.1,32.12
2003-10-03,32.6,32.12
2003-10-06,32.12,32.13
2003-10-07,33.02,33.61
2003-10-08,33.8,34.3
2003-10-09,34.75,34.71
2003-10-10,34.71,34.39
2003-10-13,34.45,34.88
2003-10-14,34.74,34.66
2003-10-15,34.69,34.42
2003-10-16,34.45,34.38
2003-10-17,34.2,33.84
2003-10-20,33.78,33.95
2003-10-21,33.95,33.82
2003-10-22,33.66,33.67
2003-10-23,33.7,34.15
2003-10-24,33.9,33.69
2003-10-27,34.65,35.09
2003-10-28,35.2,35.83
2003-10-29,35.2,35.93
2003-10-30,36.1,35.27
2003-10-31,35.31,35.18
2003-11-03,35.25,35.38
2003-11-04,35.47,35.51
2003-11-05,35.51,35.28
2003-11-06,35.28,36.18
2003-11-07,36.4,36.23
2003-11-10,36.23,36.8
2003-11-11,36.8,36.41
2003-11-12,36.35,36.32
2003-11-13,36.3,36.0
2003-11-14,35.98,35.42
2003-11-17,35.4,35.59
2003-11-18,36.0,35.75
2003-11-19,35.74,35.8
2003-11-20,35.7,36.17
2003-11-21,36.5,35.87
2003-11-24,35.95,37.02
2003-11-25,37.1,37.16
2003-11-26,37.27,37.19
2003-11-28,37.19,37.46
2003-12-01,37.47,37.29
2003-12-02,36.5,35.98
2003-12-03,35.97,34.9
2003-12-04,34.74,35.04
2003-12-05,35.04,35.04
2003-12-08,35.04,34.96
2003-12-09,34.96,34.2
2003-12-10,34.2,33.33
2003-12-11,33.43,34.08
2003-12-12,34.22,34.26
2003-12-15,34.7,33.42
2003-12-16,33.3,33.43
2003-12-17,33.38,34.01
2003-12-18,34.03,34.28
2003-12-19,34.38,34.56
2003-12-22,34.2,34.2
2003-12-23,34.25,34.86
2003-12-24,34.76,34.69
2003-12-26,34.85,34.7
2003-12-29,34.72,35.45
2003-12-30,35.5,35.74
2003-12-31,35.74,36.12
2004-01-02,36.29,35.77
2004-01-05,36.1,35.99
2004-01-06,35.9,36.07
2004-01-07,35.25,35.6
2004-01-08,35.5,35.92
2004-01-09,35.87,35.4
2004-01-12,35.48,35.16
2004-01-13,38.38,36.21
2004-01-14,36.35,36.31
2004-01-15,36.31,36.8
2004-01-16,36.87,36.5
2004-01-20,36.21,35.66
2004-01-21,35.85,36.33
2004-01-22,36.38,36.3
2004-01-23,36.32,36.29
2004-01-26,36.29,36.66
2004-01-27,36.7,36.35
2004-01-28,36.48,35.79
2004-01-29,35.8,35.49
2004-01-30,35.35,35.72
2004-02-02,36.05,36.75
2004-02-03,36.8,36.35
2004-02-04,36.25,36.64
2004-02-05,36.45,36.09
2004-02-06,36.05,36.12
2004-02-09,36.13,35.9
2004-02-10,35.75,35.84
2004-02-11,35.74,36.13
2004-02-12,36.7,38.23
2004-02-13,38.23,37.5
2004-02-17,37.98,37.5
2004-02-18,37.5,37.13
2004-02-19,37.25,37.27
2004-02-20,37.27,36.48
2004-02-23,36.48,36.4
2004-02-24,36.2,36.1
2004-02-25,36.15,37.05
2004-02-26,37.01,36.84
2004-02-27,36.2,37.5
2004-03-01,37.6,37.69
2004-03-02,37.7,37.13
2004-03-03,37.15,37.6
2004-03-04,37.5,37.4
2004-03-05,37.3,37.14
2004-03-08,37.4,36.81
2004-03-09,36.53,36.33
2004-03-10,36.33,36.07
2004-03-11,35.97,35.45
2004-03-12,35.44,35.3
2004-03-15,35.3,34.49
2004-03-16,34.95,34.21
2004-03-17,34.32,34.63
2004-03-18,34.63,34.82
2004-03-19,34.7,34.56
2004-03-22,34.1,34.6
2004-03-23,35.0,34.49
2004-03-24,34.68,34.55
2004-03-25,34.7,35.26
2004-03-26,34.85,35.0
2004-03-29,35.07,35.54
2004-03-30,35.5,35.46
2004-03-31,35.55,35.3
2004-04-01,35.3,34.9
2004-04-02,35.2,34.78
2004-04-05,35.75,37.35
2004-04-06,37.4,37.14
2004-04-07,36.75,36.84
2004-04-08,36.8,36.46
2004-04-12,36.46,37.39
2004-04-13,38.5,37.25
2004-04-14,37.2,37.04
2004-04-15,37.05,37.19
2004-04-16,37.19,37.61
2004-04-19,37.61,38.13
2004-04-20,38.15,38.0
2004-04-21,37.97,38.69
2004-04-22,38.7,39.06
2004-04-23,39.0,38.94
2004-04-26,39.15,39.1
2004-04-27,39.1,39.03
2004-04-28,39.03,38.7
2004-04-29,38.75,38.53
2004-04-30,38.58,38.63
2004-05-03,38.63,39.49
2004-05-04,39.7,39.99
2004-05-05,40.0,40.53
2004-05-06,40.0,40.67
2004-05-07,40.5,40.94
2004-05-10,40.75,41.03
2004-05-11,41.0,39.91
2004-05-12,39.88,40.1
2004-05-13,40.03,39.74
2004-05-14,39.74,40.18
2004-05-17,40.18,39.5
2004-05-18,39.6,40.05
2004-05-19,40.2,39.68
2004-05-20,39.65,39.96
2004-05-21,39.9,39.86
2004-05-24,40.05,39.98
2004-05-25,40.01,41.15
2004-05-26,41.15,41.04
2004-05-27,41.25,41.96
2004-05-28,41.97,41.68
2004-06-01,41.6,41.62
2004-06-02,41.62,41.62
2004-06-03,41.55,41.6
2004-06-04,42.0,41.91
2004-06-07,42.25,41.91
2004-06-08,41.45,41.77
2004-06-09,41.65,41.48
2004-06-10,41.48,42.52
2004-06-14,42.52,42.46
2004-06-15,42.78,42.6
2004-06-16,42.58,42.64
2004-06-17,42.58,42.38
2004-06-18,41.7,41.96
2004-06-21,42.03,41.93
2004-06-22,41.8,41.68
2004-06-23,41.68,41.7
2004-06-24,41.7,41.51
2004-06-25,41.52,41.34
2004-06-28,42.0,41.69
2004-06-29,41.69,42.15
2004-06-30,42.3,42.02
2004-07-01,42.03,41.7
2004-07-02,41.75,41.66
2004-07-06,41.37,41.84
2004-07-07,41.85,42.1
2004-07-08,42.1,42.53
2004-07-09,42.53,43.07
2004-07-12,43.17,42.44
2004-07-13,42.65,43.63
2004-07-14,43.63,43.28
2004-07-15,43.5,42.84
2004-07-16,43.12,42.48
2004-07-19,42.56,42.96
2004-07-20,42.96,43.38
2004-07-21,43.6,42.88
2004-07-22,42.7,42.55
2004-07-23,42.5,41.96
2004-07-26,42.1,41.35
2004-07-27,41.37,42.62
2004-07-28,42.55,41.88
2004-07-29,42.1,42.01
2004-07-30,41.95,41.87
2004-08-02,41.88,42.64
2004-08-03,42.55,41.77
2004-08-04,41.77,41.21
2004-08-05,41.46,40.33
2004-08-06,39.9,39.28
2004-08-09,39.18,39.41
2004-08-10,39.6,39.75
2004-08-11,39.5,39.59
2004-08-12,39.3,39.06
2004-08-13,39.07,39.15
2004-08-16,39.0,39.57
2004-08-17,39.75,39.7
2004-08-18,39.7,40.27
2004-08-19,40.1,39.8
2004-08-20,39.65,40.01
2004-08-23,39.96,39.89
2004-08-24,40.12,40.43
2004-08-25,40.5,40.62
2004-08-26,40.62,40.7
2004-08-27,40.71,40.67
2004-08-30,40.25,40.47
2004-08-31,40.47,40.0
2004-09-01,39.75,39.55
2004-09-02,39.75,40.1
2004-09-03,40.15,40.65
2004-09-07,40.66,40.25
2004-09-08,40.25,40.12
2004-09-09,40.14,40.25
2004-09-10,40.2,40.35
2004-09-13,40.15,40.38
2004-09-14,40.55,40.99
2004-09-15,40.75,40.22
2004-09-16,40.22,40.8
2004-09-17,41.0,41.07
2004-09-20,40.9,40.49
2004-09-21,40.5,40.8
2004-09-22,40.69,40.3
2004-09-23,41.0,42.02
2004-09-24,41.96,42.28
2004-09-27,42.29,42.19
2004-09-28,42.3,42.62
2004-09-29,42.62,42.36
2004-09-30,42.05,42.13
2004-10-01,42.5,43.26
2004-10-04,43.25,43.47
2004-10-05,43.4,43.52
2004-10-06,43.58,43.68
2004-10-07,43.68,42.99
2004-10-08,42.95,42.72
2004-10-11,42.9,42.4
2004-10-12,42.15,42.29
2004-10-13,42.7,42.74
2004-10-14,42.9,42.76
2004-10-15,43.05,43.25
2004-10-18,43.25,43.25
2004-10-19,43.9,43.66
2004-10-20,43.5,43.23
2004-10-21,43.12,43.22
2004-10-22,43.23,42.28
2004-10-25,42.0,42.38
2004-10-26,42.38,43.23
2004-10-27,43.23,44.28
2004-10-28,44.2,43.88
2004-10-29,43.83,43.46
2004-11-01,43.68,43.7
2004-11-02,43.9,43.9
2004-11-03,44.5,44.38
2004-11-04,44.98,46.9
2004-11-05,47.3,46.2
2004-11-08,45.4,45.81
2004-11-09,45.4,46.04
2004-11-10,46.1,46.57
2004-11-11,46.7,46.53
2004-11-12,46.45,46.35
2004-11-15,46.35,46.25
2004-11-16,46.25,46.32
2004-11-17,46.42,46.29
2004-11-18,46.25,46.68
2004-11-19,46.85,45.8
2004-11-22,45.75,45.8
2004-11-23,45.75,45.85
2004-11-24,45.95,46.03
2004-11-26,45.95,45.73
2004-11-29,45.79,45.33
2004-11-30,45.18,45.37
2004-12-01,45.36,46.13
2004-12-02,46.0,45.89
2004-12-03,45.9,45.76
2004-12-06,45.65,45.25
2004-12-07,44.75,44.26
2004-12-08,44.18,45.17
2004-12-09,45.92,45.37
2004-12-10,46.19,45.14
2004-12-13,45.15,45.38
2004-12-14,45.15,44.75
2004-12-15,44.82,44.8
2004-12-16,44.7,44.89
2004-12-17,44.65,44.16
2004-12-20,44.16,44.4
2004-12-21,44.5,44.63
2004-12-22,44.73,44.96
2004-12-23,44.99,45.01
2004-12-27,45.13,44.79
2004-12-28,44.83,45.01
2004-12-29,44.82,45.2
2004-12-30,45.4,45.31
2004-12-31,45.25,45.07
2005-01-03,45.4,45.0
2005-01-04,45.25,44.49
2005-01-05,44.49,45.25
2005-01-06,45.25,45.26
2005-01-07,45.23,45.75
2005-01-10,45.85,46.01
2005-01-11,45.82,47.11
2005-01-12,47.0,47.08
2005-01-13,47.08,46.68
2005-01-14,46.67,47.0
2005-01-18,47.0,47.5
2005-01-19,47.4,47.26
2005-01-20,47.1,46.67
2005-01-21,46.57,45.89
2005-01-24,45.55,45.11
2005-01-25,45.08,45.57
2005-01-26,45.7,45.5
