date,open,close
2003-01-02,42.45,43.44
2003-01-03,43.45,43.66
2003-01-06,43.4,44.71
2003-01-07,44.51,44.58
2003-01-08,44.25,43.58
2003-01-09,43.8,44.29
2003-01-10,44.29,44.03
2003-01-13,44.46,43.73
2003-01-14,43.81,44.0
2003-01-15,43.6,42.5
2003-01-16,42.45,42.38
2003-01-17,42.0,42.16
2003-01-21,42.24,41.65
2003-01-22,41.3,40.65
2003-01-23,40.78,40.96
2003-01-24,40.75,39.92
2003-01-27,39.93,38.46
2003-01-28,38.6,38.73
2003-01-29,38.6,38.73
2003-01-30,38.73,37.21
2003-01-31,37.0,37.87
2003-02-03,38.1,38.16
2003-02-04,37.8,37.6
2003-02-05,37.61,37.4
2003-02-06,37.25,36.7
2003-02-07,37.25,36.95
2003-02-10,37.33,36.95
2003-02-11,37.06,36.4
2003-02-12,36.41,36.05
2003-02-13,36.7,37.18
2003-02-14,37.15,37.09
2003-02-18,37.8,37.9
2003-02-19,38.0,37.11
2003-02-20,37.36,36.87
2003-02-21,37.35,37.54
2003-02-24,37.54,36.87
2003-02-25,36.5,36.3
2003-02-26,36.46,36.88
2003-02-27,36.74,36.72
2003-02-28,36.89,36.67
2003-03-03,36.87,36.5
2003-03-04,36.56,35.57
2003-03-05,35.57,35.67
2003-03-06,35.55,35.11
2003-03-07,35.11,36.0
2003-03-10,36.14,35.47
2003-03-11,35.5,35.41
2003-03-12,35.05,35.41
2003-03-13,36.11,37.3
2003-03-14,37.3,37.82
2003-03-17,37.83,38.7
2003-03-18,39.45,40.08
2003-03-19,40.45,39.84
2003-03-20,39.84,39.6
2003-03-21,40.74,41.64
2003-03-24,40.81,40.0
2003-03-25,40.14,40.24
2003-03-26,40.31,40.42
2003-03-27,40.05,39.85
2003-03-28,39.36,39.63
2003-03-31,38.99,38.86
2003-04-01,39.1,39.52
2003-04-02,40.1,40.57
2003-04-03,40.8,40.16
2003-04-04,40.26,40.48
2003-04-07,41.03,40.51
2003-04-08,40.26,39.8
2003-04-09,40.05,39.04
2003-04-10,39.05,39.36
2003-04-11,39.9,39.48
2003-04-14,39.48,40.3
2003-04-15,40.05,40.81
2003-04-16,41.15,40.25
2003-04-17,40.26,40.63
2003-04-21,40.74,40.47
2003-04-22,40.47,41.01
2003-04-23,41.02,41.85
2003-04-24,41.6,41.85
2003-04-25,41.85,41.12
2003-04-28,41.12,41.73
2003-04-29,42.2,42.37
2003-04-30,42.47,42.53
2003-05-01,42.53,41.99
2003-05-02,42.33,43.0
2003-05-05,43.0,42.8
2003-05-06,42.9,43.06
2003-05-07,42.85,42.65
2003-05-08,42.45,42.19
2003-05-09,42.32,42.9
2003-05-12,42.9,43.64
2003-05-13,43.04,43.24
2003-05-14,43.25,42.87
2003-05-15,43.0,42.6
2003-05-16,42.61,42.19
2003-05-19,42.19,41.25
2003-05-20,41.25,41.07
2003-05-21,40.82,40.82
2003-05-22,40.9,40.9
2003-05-23,41.04,40.99
2003-05-27,40.99,41.9
2003-05-28,41.82,41.83
2003-05-29,41.95,41.23
2003-05-30,41.37,42.14
2003-06-02,42.5,42.62
2003-06-03,42.69,42.67
2003-06-04,42.59,43.44
2003-06-05,43.44,43.19
2003-06-06,43.56,43.25
2003-06-09,43.1,42.87
2003-06-10,43.45,43.43
2003-06-11,43.75,43.79
2003-06-12,44.0,43.72
2003-06-13,44.15,43.58
2003-06-16,43.58,44.18
2003-06-17,41.36,44.02
2003-06-18,44.0,43.78
2003-06-19,43.55,43.13
2003-06-20,43.55,42.53
2003-06-23,42.53,41.86
2003-06-24,41.95,41.77
2003-06-25,41.87,41.85
2003-06-26,42.07,42.49
2003-06-27,42.38,41.83
2003-06-30,41.85,41.64
2003-07-01,41.64,41.72
2003-07-02,41.82,42.2
2003-07-03,41.8,41.58
2003-07-07,41.83,42.16
2003-07-08,42.17,41.96
2003-07-09,41.99,42.2
2003-07-10,42.05,41.74
2003-07-11,41.8,41.94
2003-07-14,42.35,42.18
2003-07-15,42.42,42.08
2003-07-16,42.16,41.96
2003-07-17,41.62,41.6
2003-07-18,41.99,42.57
2003-07-21,42.16,42.0
2003-07-22,41.29,42.85
2003-07-23,43.0,42.68
2003-07-24,43.05,43.45
2003-07-25,43.39,44.69
2003-07-28,44.69,44.39
2003-07-29,44.39,43.97
