date,open,close
2003-01-02,27.1,27.71
2003-01-03,27.61,27.79
2003-01-06,27.72,28.35
2003-01-07,28.63,28.65
2003-01-08,28.35,28.32
2003-01-09,28.57,28.3
2003-01-10,27.9,27.15
2003-01-13,26.98,25.98
2003-01-14,25.92,26.4
2003-01-15,26.7,25.96
2003-01-16,25.94,25.6
2003-01-17,25.0,24.83
2003-01-21,24.79,24.75
2003-01-22,24.55,24.57
2003-01-23,24.88,25.21
2003-01-24,25.13,24.38
2003-01-27,24.1,24.0
2003-01-28,24.27,24.81
2003-01-29,24.75,25.33
2003-01-30,25.44,24.18
2003-01-31,23.34,23.86
2003-02-03,24.07,23.96
2003-02-04,23.47,24.43
2003-02-05,24.62,24.17
2003-02-06,24.06,24.02
2003-02-07,24.13,23.34
2003-02-10,23.27,22.86
2003-02-11,23.25,23.24
2003-02-12,23.25,22.94
2003-02-13,23.03,23.25
2003-02-14,24.55,25.77
2003-02-18,25.73,26.49
2003-02-19,26.2,26.11
2003-02-20,26.15,26.34
2003-02-21,26.45,26.84
2003-02-24,26.73,26.38
2003-02-25,26.03,26.51
2003-02-26,26.11,25.78
2003-02-27,26.01,26.51
2003-02-28,26.63,26.96
2003-03-03,27.1,26.46
2003-03-04,26.52,26.13
2003-03-05,26.1,26.68
2003-03-06,26.43,26.0
2003-03-07,25.58,26.73
2003-03-10,26.5,25.95
2003-03-11,26.05,25.74
2003-03-12,25.72,26.01
2003-03-13,26.4,26.89
2003-03-14,26.82,26.5
2003-03-17,26.35,28.16
2003-03-18,27.98,28.06
2003-03-19,28.04,28.57
2003-03-20,28.17,28.1
2003-03-21,28.63,28.78
2003-03-24,28.09,27.81
2003-03-25,27.95,28.13
2003-03-26,28.08,27.85
2003-03-27,27.5,27.84
2003-03-28,27.65,27.7
2003-03-31,27.4,27.31
2003-04-01,27.4,27.21
2003-04-02,27.7489,28.09
2003-04-03,28.54,28.67
2003-04-04,29.15,28.87
2003-04-07,29.67,28.88
2003-04-08,28.93,28.59
2003-04-09,28.46,28.01
2003-04-10,28.06,28.33
2003-04-11,28.55,28.29
2003-04-14,28.34,28.68
2003-04-15,28.69,28.84
2003-04-16,29.31,29.24
2003-04-17,29.27,29.5
2003-04-21,29.71,29.48
2003-04-22,29.36,29.89
2003-04-23,29.81,29.89
2003-04-24,29.49,29.62
2003-04-25,29.49,29.11
2003-04-28,29.1,29.33
2003-04-29,29.25,29.75
2003-04-30,29.45,28.98
2003-05-01,28.96,29.18
2003-05-02,29.19,29.57
2003-05-05,29.72,29.5
2003-05-06,29.488,30.51
2003-05-07,30.41,30.64
2003-05-08,30.37,30.2
2003-05-09,30.45,31.09
2003-05-12,31.03,31.9
2003-05-13,31.87,32.45
2003-05-14,32.48,32.25
2003-05-15,32.57,32.18
2003-05-16,31.16,31.19
2003-05-19,30.85,30.36
2003-05-20,30.31,30.33
2003-05-21,30.26,29.86
2003-05-22,29.91,29.89
2003-05-23,29.7,29.491
2003-05-27,29.3,30.01
2003-05-28,30.01,31.19
2003-05-29,31.18,31.27
2003-05-30,31.26,31.37
2003-06-02,31.27,30.83
2003-06-03,30.58,31.0
2003-06-04,30.94,31.7
2003-06-05,31.49,31.93
2003-06-06,32.22,31.35
2003-06-09,31.17,31.5
2003-06-10,31.65,31.89
2003-06-11,31.79,31.63
2003-06-12,32.05,31.94
2003-06-13,31.88,31.27
2003-06-16,31.31,32.25
2003-06-17,32.43,32.25
2003-06-18,32.091,32.45
2003-06-19,32.47,32.17
2003-06-20,32.55,31.97
2003-06-23,32.08,31.42
2003-06-24,31.34,31.331
2003-06-25,31.35,31.13
2003-06-26,31.12,31.68
2003-06-27,31.69,31.69
2003-06-30,31.6,31.84
2003-07-01,31.71,31.92
2003-07-02,31.79,32.488
2003-07-03,32.12,31.98
2003-07-07,32.37,33.08
2003-07-08,32.97,33.79
2003-07-09,33.7,33.17
2003-07-10,33.07,32.86
2003-07-11,33.13,33.56
2003-07-14,33.82,33.7
2003-07-15,33.79,33.89
2003-07-16,34.2,34.0
2003-07-17,33.79,33.22
2003-07-18,33.585,33.28
2003-07-21,32.99,32.67
2003-07-22,32.71,33.19
2003-07-23,33.16,33.5
2003-07-24,33.6,32.51
2003-07-25,32.59,33.37
2003-07-28,33.45,32.81
2003-07-29,32.92,32.79
2003-07-30,32.85,33.13
2003-07-31,33.6,33.68
2003-08-01,33.43,33.23
2003-08-04,33.02,33.25
2003-08-05,33.07,32.15
2003-08-06,31.98,31.3
2003-08-07,31.0,31.24
2003-08-08,31.46,30.94
2003-08-11,30.96,31.03
2003-08-12,31.12,31.77
2003-08-13,31.84,31.31
2003-08-14,31.48,31.39
2003-08-15,31.23,32.34
2003-08-18,32.5,33.21
2003-08-19,33.28,32.82
2003-08-20,32.47,32.28
2003-08-21,32.54,32.27
2003-08-22,33.21,32.13
2003-08-25,32.11,32.06
2003-08-26,31.93,31.93
2003-08-27,31.8,31.68
2003-08-28,32.11,32.25
2003-08-29,32.27,32.62
2003-09-02,33.24,33.59
2003-09-03,33.86,34.17
2003-09-04,34.11,34.35
2003-09-05,34.35,34.09
2003-09-08,34.04,33.68
2003-09-09,33.61,33.32
2003-09-10,33.16,32.97
2003-09-11,33.28,33.63
2003-09-12,33.61,33.8
2003-09-15,33.9,33.57
2003-09-16,33.65,34.6
