date,open,close
2003-01-02,79.37,80.9
2003-01-03,81.3,81.2
2003-01-06,81.35,81.17
2003-01-07,81.15,79.85
2003-01-08,80.09,79.39
2003-01-09,79.8,79.7
2003-01-10,79.6,79.42
2003-01-13,79.5,78.5
2003-01-14,78.63,78.55
2003-01-15,78.25,77.11
2003-01-16,77.15,77.08
2003-01-17,77.22,74.15
2003-01-21,74.72,74.01
2003-01-22,69.99,64.85
2003-01-23,64.85,65.25
2003-01-24,65.1,65.5
2003-01-27,65.35,65.35
2003-01-28,66.1,66.89
2003-01-29,66.1,66.89
2003-01-30,66.35,66.1
2003-01-31,65.7,66.14
2003-02-03,66.15,65.88
2003-02-04,65.88,66.08
2003-02-05,66.09,66.0
2003-02-06,66.0,65.67
2003-02-07,66.0,65.75
2003-02-10,65.7,65.97
2003-02-11,66.08,65.4
2003-02-12,65.3,64.75
2003-02-13,64.95,64.4
2003-02-14,64.65,65.23
2003-02-18,65.41,65.27
2003-02-19,65.53,65.52
2003-02-20,65.52,64.01
2003-02-21,64.01,63.9
2003-02-24,63.45,61.9
2003-02-25,60.8,61.15
2003-02-26,61.16,60.35
2003-02-27,60.35,60.18
2003-02-28,60.18,59.26
2003-03-03,60.54,58.6
2003-03-04,57.85,58.0
2003-03-05,57.09,56.39
2003-03-06,55.71,54.79
2003-03-07,54.79,55.15
2003-03-10,55.16,54.52
2003-03-11,54.5,53.3
2003-03-12,53.16,52.37
2003-03-13,52.38,52.58
2003-03-14,52.8,52.67
2003-03-17,53.0,56.26
2003-03-18,56.85,57.75
2003-03-19,57.75,58.42
2003-03-20,58.43,57.08
2003-03-21,57.09,57.12
2003-03-24,57.12,57.0
2003-03-25,57.25,56.49
2003-03-26,56.49,56.1
2003-03-27,55.75,56.46
2003-03-28,56.0,56.34
2003-03-31,55.76,55.07
2003-04-01,55.07,55.4
2003-04-02,55.05,56.08
2003-04-03,56.25,55.33
2003-04-04,55.33,54.49
2003-04-07,54.5,55.12
2003-04-08,55.13,55.27
2003-04-09,54.5,53.92
2003-04-10,54.05,53.9
2003-04-11,54.14,53.97
2003-04-14,53.85,55.6
2003-04-15,55.6,56.1
2003-04-16,56.1,58.28
2003-04-17,58.65,59.52
2003-04-21,59.52,60.45
2003-04-22,60.45,62.16
2003-04-23,62.17,62.44
2003-04-24,62.45,62.57
2003-04-25,62.05,61.89
2003-04-28,61.89,62.56
2003-04-29,61.95,62.64
2003-04-30,62.64,62.07
2003-05-01,62.07,60.21
2003-05-02,60.21,61.47
2003-05-05,61.47,61.2
2003-05-06,61.0,61.76
2003-05-07,61.76,61.55
2003-05-08,61.35,60.33
2003-05-09,60.5,61.21
2003-05-12,61.21,62.7
2003-05-13,62.72,62.59
2003-05-14,62.45,63.12
2003-05-15,63.8,64.9
2003-05-16,64.9,64.8
2003-05-19,62.28,63.2
2003-05-20,63.2,63.06
2003-05-21,62.85,62.7
2003-05-22,62.7,63.9
2003-05-23,63.5,64.91
2003-05-27,64.8,64.95
2003-05-28,65.0,65.14
2003-05-29,65.13,65.54
2003-05-30,65.75,66.82
2003-06-02,67.55,67.64
2003-06-03,67.64,67.39
2003-06-04,68.12,68.69
2003-06-05,68.7,68.21
2003-06-06,68.25,68.61
2003-06-09,68.25,67.19
2003-06-10,67.0,68.92
2003-06-11,69.16,72.02
2003-06-12,73.2,73.27
2003-06-13,73.2,72.01
2003-06-16,72.2,73.34
2003-06-17,73.3,76.07
2003-06-18,75.83,76.97
2003-06-19,76.9,73.77
2003-06-20,74.18,76.31
2003-06-23,75.05,73.83
2003-06-24,73.83,73.35
2003-06-25,73.12,73.81
2003-06-26,73.9,74.15
2003-06-27,74.15,72.94
2003-06-30,72.7,72.5
2003-07-01,72.51,73.78
2003-07-02,73.46,73.5
2003-07-03,72.9,72.6
2003-07-07,72.65,73.77
2003-07-08,73.8,75.4
2003-07-09,75.25,75.13
2003-07-10,75.0,73.74
2003-07-11,73.62,73.02
2003-07-14,73.5,72.53
2003-07-15,74.05,74.0
2003-07-16,75.1,77.49
2003-07-17,78.0,76.31
2003-07-18,77.5,79.44
2003-07-21,79.44,78.95
2003-07-22,78.96,79.34
2003-07-23,79.35,78.81
2003-07-24,78.81,78.31
2003-07-25,78.31,78.88
2003-07-28,79.09,79.18
2003-07-29,78.89,78.32
2003-07-30,78.15,78.29
2003-07-31,79.45,79.34
2003-08-01,79.52,79.24
2003-08-04,78.8,79.37
2003-08-05,79.15,78.25
2003-08-06,78.0,78.5
2003-08-07,78.5,78.9
2003-08-08,78.9,78.17
2003-08-11,77.9,78.9
2003-08-12,79.12,79.48
2003-08-13,79.32,79.25
2003-08-14,79.0,80.35
2003-08-15,80.35,79.92
2003-08-18,80.5,83.65
2003-08-19,83.15,83.47
2003-08-20,83.0,83.65
2003-08-21,83.65,84.05
2003-08-22,85.25,82.96
2003-08-25,83.49,83.12
2003-08-26,83.77,85.06
2003-08-27,84.96,85.25
2003-08-28,85.2,85.87
2003-08-29,85.8,86.11
2003-09-02,86.3,86.74
2003-09-03,86.99,87.18
2003-09-04,87.18,86.99
