date,open,close
2003-01-02,68.1,69.65
2003-01-03,69.66,70.38
2003-01-06,70.02,73.0
2003-01-07,72.1,72.7
2003-01-08,72.71,70.92
2003-01-09,72.5,73.72
2003-01-10,72.99,74.92
2003-01-13,75.2,74.42
2003-01-14,73.9,74.7
2003-01-15,74.33,73.51
2003-01-16,73.45,73.62
2003-01-17,73.63,72.58
2003-01-21,73.0,71.0
2003-01-22,71.01,70.25
2003-01-23,71.0,71.92
2003-01-24,71.4,69.15
2003-01-27,68.75,68.4
2003-01-28,68.41,69.05
2003-01-29,69.06,69.51
2003-01-30,69.52,67.4
2003-01-31,67.14,68.1
2003-02-03,68.1,69.25
2003-02-04,69.26,67.52
2003-02-05,67.53,67.41
2003-02-06,67.42,66.65
2003-02-07,66.66,65.7
2003-02-10,65.7,65.74
2003-02-11,66.3,65.05
2003-02-12,65.06,64.3
2003-02-13,64.4,64.92
2003-02-14,65.0,66.7
2003-02-18,67.24,68.0
2003-02-19,68.01,68.23
2003-02-20,68.4,67.74
2003-02-21,67.74,68.5
2003-02-24,68.51,66.2
2003-02-25,66.2,66.59
2003-02-26,66.59,66.48
2003-02-27,66.7,67.69
2003-02-28,67.9,69.45
2003-03-03,69.45,68.02
2003-03-04,68.02,65.69
2003-03-05,65.8,66.3
2003-03-06,65.78,65.6
2003-03-07,64.16,66.68
2003-03-10,66.69,64.34
2003-03-11,64.34,62.95
2003-03-12,62.96,62.85
2003-03-13,63.3,66.78
2003-03-14,66.78,66.62
2003-03-17,66.62,68.9
2003-03-18,68.9,69.58
2003-03-19,69.8,70.27
2003-03-20,69.98,70.08
2003-03-21,70.36,72.1
2003-03-24,72.1,69.92
2003-03-25,70.1,70.69
2003-03-26,70.69,71.05
2003-03-27,70.75,70.58
2003-03-28,70.58,70.11
2003-03-31,68.01,68.08
2003-04-01,68.48,69.62
2003-04-02,71.5,72.4
2003-04-03,72.25,72.35
2003-04-04,72.35,72.06
2003-04-07,73.5,72.31
2003-04-08,72.31,72.7
2003-04-09,72.7,71.91
2003-04-10,71.92,72.35
2003-04-11,72.61,72.42
2003-04-14,72.42,74.49
2003-04-15,74.49,76.54
2003-04-16,76.55,75.2
2003-04-17,75.2,76.1
2003-04-21,76.1,76.35
2003-04-22,76.35,78.33
2003-04-23,78.33,78.43
2003-04-24,78.43,77.35
2003-04-25,77.23,75.87
2003-04-28,76.37,76.51
2003-04-29,76.51,76.45
2003-04-30,76.1,75.9
2003-05-01,75.9,75.33
2003-05-02,75.33,76.6
2003-05-05,76.45,76.49
2003-05-06,76.49,77.2
2003-05-07,76.42,77.2
2003-05-08,77.21,74.06
2003-05-09,74.06,75.0
2003-05-12,75.0,75.49
2003-05-13,74.55,74.95
2003-05-14,75.0,74.95
2003-05-15,74.65,76.1
2003-05-16,75.2,76.7
2003-05-19,76.7,74.35
2003-05-20,74.4,74.45
2003-05-21,74.4,75.1
2003-05-22,75.35,76.03
2003-05-23,76.03,76.15
2003-05-27,76.15,78.48
2003-05-28,78.48,79.9
2003-05-29,79.91,79.59
2003-05-30,79.85,81.5
2003-06-02,81.5,83.54
2003-06-03,83.5,83.0
2003-06-04,82.56,85.25
2003-06-05,85.25,87.3
2003-06-06,88.25,88.7
2003-06-09,88.3,87.54
2003-06-10,87.9,88.7
2003-06-11,88.7,89.74
2003-06-12,89.74,90.35
2003-06-13,90.35,89.17
2003-06-16,90.0,91.5
2003-06-17,91.5,91.5
2003-06-18,90.1,88.9
2003-06-19,88.9,85.92
2003-06-20,86.75,86.25
2003-06-23,86.25,85.28
2003-06-24,85.8,86.6
2003-06-25,85.87,84.78
2003-06-26,85.0,84.15
2003-06-27,84.16,82.38
2003-06-30,83.1,83.75
2003-07-01,83.75,85.85
2003-07-02,85.31,85.4
2003-07-03,83.27,84.7
2003-07-07,85.7,87.74
2003-07-08,87.75,88.06
2003-07-09,88.07,88.23
2003-07-10,88.23,86.55
2003-07-11,86.99,87.32
2003-07-14,87.33,89.44
2003-07-15,89.45,88.02
2003-07-16,88.75,87.26
2003-07-17,86.95,86.44
