date,open,close
2003-01-02,37.57,38.51
2003-01-03,38.6,38.83
2003-01-06,38.28,38.9
2003-01-07,38.24,38.51
2003-01-08,39.33,39.38
2003-01-09,39.39,39.73
2003-01-10,39.73,39.93
2003-01-13,39.69,39.61
2003-01-14,39.66,39.7
2003-01-15,39.77,39.21
2003-01-16,38.83,38.7
2003-01-17,38.38,38.39
2003-01-21,37.8,37.76
2003-01-22,37.18,37.11
2003-01-23,37.6,36.65
2003-01-24,36.08,35.27
2003-01-27,34.56,34.44
2003-01-28,34.86,35.3
2003-01-29,34.86,35.3
2003-01-30,37.1,36.3
2003-01-31,37.6,38.76
2003-02-03,38.34,38.52
2003-02-04,37.75,37.46
2003-02-05,37.1,37.22
2003-02-06,36.36,36.66
2003-02-07,36.2,35.95
2003-02-10,35.89,36.45
2003-02-11,36.5,36.3
2003-02-12,36.3,35.86
2003-02-13,36.0,35.85
2003-02-14,36.14,36.38
2003-02-18,36.61,37.58
2003-02-19,37.59,36.56
2003-02-20,37.03,36.43
2003-02-21,36.61,36.93
2003-02-24,36.19,35.72
2003-02-25,35.07,35.5
2003-02-26,34.9,34.96
2003-02-27,34.5,34.76
2003-02-28,34.76,35.05
2003-03-03,35.96,35.27
2003-03-04,34.62,34.15
2003-03-05,34.15,34.16
2003-03-06,33.8,34.19
2003-03-07,33.9,34.18
2003-03-10,33.66,33.46
2003-03-11,33.24,33.31
2003-03-12,32.48,32.75
2003-03-13,33.84,34.88
2003-03-14,35.37,35.58
2003-03-17,34.59,36.31
2003-03-18,36.49,36.39
2003-03-19,37.21,37.09
2003-03-20,35.94,36.52
2003-03-21,37.35,37.65
2003-03-24,36.9,36.36
2003-03-25,36.36,37.16
2003-03-26,36.96,36.96
2003-03-27,36.75,36.86
2003-03-28,35.78,36.1
2003-03-31,35.45,35.19
2003-04-01,35.56,35.85
2003-04-02,36.66,36.69
2003-04-03,37.1,36.89
2003-04-04,37.3,37.39
2003-04-07,38.36,37.75
2003-04-08,38.42,38.75
2003-04-09,38.82,38.4
2003-04-10,38.85,38.32
2003-04-11,38.95,38.09
2003-04-14,38.76,39.1
2003-04-15,38.25,38.74
2003-04-16,38.05,37.6
2003-04-17,38.03,38.84
2003-04-21,39.05,39.01
2003-04-22,38.55,39.84
2003-04-23,39.93,40.3
2003-04-24,39.25,39.58
2003-04-25,39.42,39.8
2003-04-28,39.68,40.39
2003-04-29,39.88,39.56
2003-04-30,39.76,40.52
2003-05-01,40.9,41.12
2003-05-02,41.55,43.45
2003-05-05,43.52,43.7
2003-05-06,43.08,43.25
2003-05-07,42.25,41.9
2003-05-08,41.31,41.16
2003-05-09,40.83,41.71
2003-05-12,41.72,42.65
2003-05-13,41.97,42.06
2003-05-14,42.38,42.0
2003-05-15,42.48,42.57
2003-05-16,42.76,43.05
2003-05-19,42.72,40.87
2003-05-20,40.71,40.79
2003-05-21,40.55,40.7
2003-05-22,40.67,41.4
2003-05-23,40.65,40.6
2003-05-27,40.08,41.09
2003-05-28,40.61,41.0
2003-05-29,41.15,40.79
2003-05-30,40.54,40.01
2003-06-02,39.83,40.02
2003-06-03,41.01,41.03
2003-06-04,40.91,41.68
2003-06-05,41.23,42.3
2003-06-06,42.57,41.9
2003-06-09,41.43,41.48
2003-06-10,41.81,41.67
2003-06-11,41.58,42.51
2003-06-12,41.9,41.8
2003-06-13,41.58,41.2
2003-06-16,41.9,42.32
2003-06-17,42.26,42.6
2003-06-18,42.99,43.0
2003-06-19,43.0,41.7
2003-06-20,42.5,42.21
2003-06-23,42.51,41.46
2003-06-24,41.66,41.62
2003-06-25,41.67,41.39
2003-06-26,40.98,41.35
2003-06-27,41.35,40.65
2003-06-30,41.08,40.54
2003-07-01,40.2,40.27
2003-07-02,39.98,40.25
2003-07-03,40.36,41.1
2003-07-07,40.34,40.74
2003-07-08,39.9,40.35
2003-07-09,39.75,40.02
2003-07-10,38.8,38.73
2003-07-11,39.0,38.8
2003-07-14,39.15,39.6
2003-07-15,38.57,37.6
2003-07-16,37.15,37.4
2003-07-17,37.3,37.77
2003-07-18,37.67,38.0
2003-07-21,38.0,37.6
2003-07-22,37.92,37.97
2003-07-23,39.5,39.1
2003-07-24,39.67,39.56
2003-07-25,39.56,40.1
2003-07-28,39.72,39.5
2003-07-29,39.25,39.43
2003-07-30,39.14,39.22
2003-07-31,38.75,38.31
2003-08-01,38.0,37.4
2003-08-04,37.89,37.73
2003-08-05,38.13,37.83
2003-08-06,37.66,37.8
2003-08-07,37.65,38.74
2003-08-08,38.68,38.64
2003-08-11,38.52,38.69
2003-08-12,39.1,39.24
2003-08-13,39.74,39.21
2003-08-14,39.87,39.76
2003-08-15,39.99,39.85
2003-08-18,39.82,40.0
2003-08-19,39.95,39.79
2003-08-20,39.51,39.75
2003-08-21,39.01,38.93
2003-08-22,38.75,38.43
2003-08-25,38.68,39.0
2003-08-26,38.3,39.02
2003-08-27,39.02,39.42
2003-08-28,38.9,39.07
2003-08-29,39.08,38.83
2003-09-02,38.8,39.4
2003-09-03,39.38,39.55
2003-09-04,40.19,40.21
2003-09-05,40.24,40.64
2003-09-08,40.45,41.03
2003-09-09,40.4,40.53
2003-09-10,41.65,41.72
2003-09-11,41.6,41.5
2003-09-12,41.39,41.52
2003-09-15,41.45,41.2
2003-09-16,41.21,41.6
2003-09-17,41.9,42.2
2003-09-18,42.5,42.59
2003-09-19,42.22,41.89
2003-09-22,41.6,42.11
2003-09-23,42.93,42.9
2003-09-24,42.86,42.24
2003-09-25,42.84,42.38
2003-09-26,42.54,42.81
2003-09-29,42.81,43.01
2003-09-30,42.68,42.4
2003-10-01,42.19,42.77
2003-10-02,42.78,43.01
2003-10-03,43.73,43.01
2003-10-06,43.69,43.4
2003-10-07,42.99,43.12
2003-10-08,43.39,42.94
2003-10-09,43.39,43.46
2003-10-10,43.29,43.35
2003-10-13,43.4,43.57
2003-10-14,43.52,43.88
2003-10-15,43.79,43.62
2003-10-16,43.05,43.3
2003-10-17,43.31,43.36
2003-10-20,43.45,43.53
2003-10-21,43.65,43.92
2003-10-22,42.85,42.92
2003-10-23,42.69,43.27
2003-10-24,43.27,42.95
2003-10-27,43.6,43.48
2003-10-28,43.33,43.92
2003-10-29,43.93,43.25
2003-10-30,43.84,43.36
2003-10-31,42.8,43.29
2003-11-03,43.7,43.27
2003-11-04,43.12,42.87
2003-11-05,43.2,43.27
2003-11-06,43.39,43.39
2003-11-07,43.39,43.59
2003-11-10,43.97,43.54
2003-11-11,43.65,43.96
2003-11-12,45.0,45.18
2003-11-13,45.18,46.76
2003-11-14,47.3,47.07
2003-11-17,47.07,46.94
2003-11-18,46.87,46.85
2003-11-19,46.33,46.33
2003-11-20,45.74,45.95
2003-11-21,46.82,47.09
2003-11-24,47.13,47.4
2003-11-25,47.02,46.5
2003-11-26,45.88,46.31
2003-11-28,45.98,45.88
2003-12-01,46.03,46.33
2003-12-02,46.03,46.44
2003-12-03,45.69,45.98
2003-12-04,45.2,45.13
2003-12-05,44.68,44.95
2003-12-08,45.02,45.8
2003-12-09,45.48,45.25
2003-12-10,44.84,44.7
2003-12-11,44.54,44.66
2003-12-12,44.34,44.57
2003-12-15,44.92,44.7
2003-12-16,45.2,45.23
2003-12-17,45.3,45.41
2003-12-18,45.3,45.51
2003-12-19,45.29,45.0
2003-12-22,44.65,44.98
2003-12-23,44.95,44.96
2003-12-24,44.93,45.38
2003-12-26,45.5,45.45
2003-12-29,45.6,45.89
2003-12-30,46.05,46.03
2003-12-31,46.05,46.62
2004-01-02,46.78,46.83
2004-01-05,46.69,46.93
2004-01-06,46.59,46.72
2004-01-07,45.65,45.85
2004-01-08,45.85,45.42
2004-01-09,45.03,45.66
2004-01-12,45.52,45.55
2004-01-13,45.47,45.22
2004-01-14,44.95,45.46
2004-01-15,44.66,44.55
2004-01-16,44.65,44.85
2004-01-20,45.22,45.58
2004-01-21,45.62,45.81
2004-01-22,45.5,45.39
2004-01-23,44.49,44.12
2004-01-26,44.52,45.07
2004-01-27,44.22,44.44
2004-01-28,44.5,44.23
2004-01-29,43.84,44.05
2004-01-30,44.05,44.0
2004-02-02,43.56,43.58
2004-02-03,43.76,44.49
2004-02-04,44.3,45.09
2004-02-05,45.2,44.97
2004-02-06,44.81,44.76
2004-02-09,44.75,44.6
2004-02-10,44.9,45.22
2004-02-11,45.08,45.15
2004-02-12,42.8,43.39
2004-02-13,42.45,42.52
2004-02-17,42.05,42.85
2004-02-18,42.6,42.49
2004-02-19,43.3,43.27
2004-02-20,43.45,43.02
2004-02-23,42.89,43.12
2004-02-24,42.76,43.08
2004-02-25,42.9,43.08
2004-02-26,42.86,42.72
2004-02-27,42.33,42.62
2004-03-01,42.53,42.56
2004-03-02,42.12,42.08
2004-03-03,41.6,41.95
2004-03-04,41.56,42.05
2004-03-05,42.0,42.2
2004-03-08,42.04,41.94
2004-03-09,41.08,40.99
2004-03-10,40.56,40.47
2004-03-11,40.0,39.49
2004-03-12,39.73,40.0
2004-03-15,40.03,40.04
2004-03-16,40.08,40.08
2004-03-17,39.27,39.54
2004-03-18,39.66,39.63
2004-03-19,39.56,39.64
2004-03-22,39.87,39.73
2004-03-23,39.86,39.98
2004-03-24,39.51,39.81
2004-03-25,39.19,39.38
2004-03-26,39.66,39.8
2004-03-29,39.6,39.98
2004-03-30,39.81,39.93
2004-03-31,39.63,39.95
2004-04-01,40.08,40.0
2004-04-02,39.49,39.44
2004-04-05,39.45,39.65
2004-04-06,40.75,40.65
2004-04-07,41.33,41.56
2004-04-08,41.14,40.93
2004-04-12,40.93,41.0
2004-04-13,40.58,40.53
2004-04-14,40.05,40.52
2004-04-15,41.45,42.66
2004-04-16,42.32,42.58
2004-04-19,42.21,42.32
2004-04-20,41.9,41.55
2004-04-21,42.15,42.19
2004-04-22,41.99,42.7
2004-04-23,41.75,42.1
2004-04-26,41.82,41.68
2004-04-27,41.45,41.56
2004-04-28,40.7,40.7
2004-04-29,41.1,41.45
2004-04-30,42.68,42.0
2004-05-03,42.0,42.26
2004-05-04,42.58,42.72
2004-05-05,43.0,43.5
2004-05-06,43.09,43.28
2004-05-07,42.73,43.06
2004-05-10,42.67,42.25
2004-05-11,41.71,41.85
2004-05-12,42.08,42.05
2004-05-13,41.78,41.7
2004-05-14,41.73,41.95
2004-05-17,41.97,41.91
2004-05-18,42.5,42.4
2004-05-19,42.75,42.47
2004-05-20,42.3,42.18
2004-05-21,42.12,41.93
2004-05-24,41.88,41.82
2004-05-25,42.18,42.75
2004-05-26,42.7,42.92
2004-05-27,42.83,43.25
2004-05-28,42.5,42.45
2004-06-01,42.29,42.77
2004-06-02,43.28,41.39
2004-06-03,41.72,42.08
2004-06-04,42.08,42.37
2004-06-07,42.1,42.55
2004-06-08,42.56,42.93
2004-06-09,42.78,42.76
2004-06-10,42.5,42.51
2004-06-14,41.6,41.57
2004-06-15,41.78,41.95
2004-06-16,42.57,42.48
2004-06-17,42.26,42.52
2004-06-18,42.68,42.9
2004-06-21,42.88,42.88
2004-06-22,42.52,42.73
2004-06-23,42.62,42.95
2004-06-24,42.68,42.64
2004-06-25,42.25,42.35
2004-06-28,42.28,42.25
2004-06-29,41.81,41.87
2004-06-30,41.22,41.46
2004-07-01,41.12,40.85
2004-07-02,41.22,41.23
2004-07-06,40.62,40.8
2004-07-07,40.41,40.67
2004-07-08,40.55,40.63
2004-07-09,40.98,40.75
2004-07-12,40.25,40.29
2004-07-13,39.97,39.84
2004-07-14,40.23,39.85
2004-07-15,39.79,39.3
2004-07-16,39.54,39.39
2004-07-19,39.12,39.36
2004-07-20,40.04,39.9
2004-07-21,40.07,39.73
2004-07-22,39.75,40.6
2004-07-23,40.4,40.22
2004-07-26,40.1,39.81
2004-07-27,40.17,40.4
2004-07-28,40.55,40.66
2004-07-29,40.57,40.67
2004-07-30,40.75,40.95
2004-08-02,41.15,41.21
2004-08-03,41.04,40.91
2004-08-04,40.38,40.98
2004-08-05,40.5,40.18
2004-08-06,39.9,40.01
2004-08-09,39.43,39.86
2004-08-10,39.53,39.76
2004-08-11,39.21,39.53
2004-08-12,39.46,39.25
2004-08-13,39.44,39.04
2004-08-16,39.18,39.7
2004-08-17,39.36,39.06
2004-08-18,38.82,39.43
2004-08-19,39.58,39.7
2004-08-20,39.45,39.69
2004-08-23,39.89,39.83
2004-08-24,39.8,39.59
2004-08-25,39.96,40.28
2004-08-26,40.52,40.94
2004-08-27,41.47,41.31
2004-08-30,41.32,41.02
2004-08-31,41.02,41.14
2004-09-01,41.05,41.26
2004-09-02,40.94,41.58
2004-09-03,41.02,41.37
2004-09-07,40.68,40.68
2004-09-08,40.73,41.16
2004-09-09,41.36,41.5
2004-09-10,41.6,41.66
2004-09-13,41.89,42.15
2004-09-14,42.91,42.86
2004-09-15,42.64,42.5
2004-09-16,42.36,42.73
2004-09-17,43.0,43.02
2004-09-20,42.85,42.88
2004-09-21,42.96,43.28
2004-09-22,43.04,42.91
2004-09-23,43.0,42.9
2004-09-24,43.02,43.03
2004-09-27,42.66,42.83
2004-09-28,43.27,43.32
2004-09-29,43.42,43.84
2004-09-30,43.67,43.73
2004-10-01,43.77,44.01
2004-10-04,43.19,43.37
2004-10-05,43.64,43.64
2004-10-06,43.16,43.05
2004-10-07,42.21,41.9
2004-10-08,42.15,42.21
2004-10-11,42.02,41.99
2004-10-12,41.33,41.98
2004-10-13,41.87,41.45
2004-10-14,41.24,41.15
2004-10-15,41.55,41.47
2004-10-18,41.18,41.55
2004-10-19,42.13,41.95
2004-10-20,42.06,42.09
2004-10-21,42.18,42.2
2004-10-22,41.98,41.62
2004-10-25,41.68,41.51
2004-10-26,41.56,41.95
2004-10-27,42.27,42.65
2004-10-28,42.3,42.31
2004-10-29,42.16,42.4
2004-11-01,42.7,43.1
2004-11-02,43.08,42.84
2004-11-03,44.05,44.15
2004-11-04,44.0,44.37
2004-11-05,44.31,44.36
2004-11-08,44.22,44.25
2004-11-09,44.05,44.45
2004-11-10,44.59,44.22
2004-11-11,44.37,44.51
2004-11-12,45.08,45.02
2004-11-15,44.8,44.77
2004-11-16,44.81,45.01
2004-11-17,44.85,45.04
2004-11-18,44.46,43.59
2004-11-19,43.25,42.77
2004-11-22,42.38,42.77
2004-11-23,42.93,42.55
2004-11-24,42.85,42.65
2004-11-26,42.51,42.65
2004-11-29,42.75,42.88
2004-11-30,42.71,42.54
2004-12-01,43.17,43.25
2004-12-02,43.64,43.73
2004-12-03,44.25,44.55
2004-12-06,44.2,44.52
2004-12-07,45.1,45.05
2004-12-08,44.68,44.87
2004-12-09,44.58,45.08
2004-12-10,44.83,44.82
2004-12-13,45.29,45.8
2004-12-14,45.26,45.58
2004-12-15,45.55,45.8
2004-12-16,46.16,46.76
2004-12-17,44.9,46.55
2004-12-20,46.51,46.5
2004-12-21,45.78,46.15
2004-12-22,46.08,46.46
2004-12-23,46.39,46.83
2004-12-27,46.35,47.1
2004-12-28,47.05,47.5
2004-12-29,46.96,47.4
2004-12-30,47.11,47.43
2004-12-31,47.1,47.39
2005-01-03,46.95,47.35
2005-01-04,46.87,46.6
2005-01-05,46.8,46.41
2005-01-06,46.3,46.41
2005-01-07,46.87,46.9
2005-01-10,46.84,46.82
2005-01-11,46.3,46.2
2005-01-12,45.65,45.71
2005-01-13,45.7,45.47
2005-01-14,45.45,45.46
2005-01-18,44.91,45.41
2005-01-19,45.27,44.77
2005-01-20,44.42,44.54
2005-01-21,44.25,44.48
2005-01-24,44.37,44.66
2005-01-25,44.4,44.7
2005-01-26,44.87,45.15
2005-01-27,44.68,45.05
2005-01-28,44.92,44.81
2005-01-31,44.68,44.57
2005-02-01,44.47,44.55
2005-02-02,44.96,45.04
2005-02-03,44.61,44.65
2005-02-04,45.42,45.54
2005-02-07,45.32,45.25
2005-02-08,45.18,45.35
2005-02-09,46.3,45.72
2005-02-10,46.15,46.67
2005-02-11,46.38,46.67
2005-02-14,47.61,47.76
2005-02-15,48.28,48.43
2005-02-16,47.78,47.43
2005-02-17,47.25,47.13
2005-02-18,47.0,47.56
2005-02-22,49.33,48.6
2005-02-23,48.56,48.85
2005-02-24,48.33,48.42
2005-02-25,48.33,48.64
2005-02-28,48.61,48.22
2005-03-01,48.8,49.22
2005-03-02,49.12,49.08
2005-03-03,50.6,50.5
2005-03-04,51.74,48.91
2005-03-07,48.75,48.81
2005-03-08,49.05,48.98
2005-03-09,48.76,47.93
2005-03-10,48.98,48.6
2005-03-11,48.65,48.48
2005-03-14,48.0,48.45
2005-03-15,49.32,48.7
2005-03-16,48.7,48.35
2005-03-17,48.44,47.84
2005-03-18,46.96,47.05
2005-03-21,46.9,46.92
2005-03-22,46.93,46.59
2005-03-23,46.6,46.36
2005-03-24,46.29,45.86
2005-03-28,46.5,45.93
2005-03-29,45.65,45.46
2005-03-30,45.87,45.97
2005-03-31,46.03,45.92
2005-04-01,45.84,45.33
2005-04-04,45.14,45.19
2005-04-05,46.19,46.2
2005-04-06,46.17,46.17
2005-04-07,45.95,46.0
2005-04-08,46.06,46.03
2005-04-11,46.98,46.75
2005-04-12,46.28,46.5
2005-04-13,46.23,46.62
2005-04-14,46.65,47.5
2005-04-15,48.47,47.82
2005-04-18,47.93,47.37
2005-04-19,48.38,48.17
2005-04-20,47.48,47.13
2005-04-21,46.95,47.18
2005-04-22,46.7,46.78
2005-04-25,46.7,46.89
2005-04-26,46.35,46.78
2005-04-27,47.55,47.41
2005-04-28,50.32,49.76
2005-04-29,50.88,50.55
2005-05-02,50.28,50.25
2005-05-03,50.85,51.05
2005-05-04,51.15,51.4
2005-05-05,51.1,50.94
2005-05-06,50.73,50.67
2005-05-09,50.68,50.91
2005-05-10,50.05,50.21
2005-05-11,49.89,50.03
2005-05-12,49.89,49.95
2005-05-13,49.7,49.51
2005-05-16,48.83,49.66
2005-05-17,49.63,49.83
2005-05-18,49.93,50.27
2005-05-19,49.82,49.85
2005-05-20,49.32,49.49
2005-05-23,49.14,49.41
2005-05-24,49.82,49.74
2005-05-25,49.8,49.62
2005-05-26,49.7,49.4
2005-05-27,49.72,49.78
2005-05-31,49.7,49.7
2005-06-01,49.7,49.7
2005-06-02,49.62,50.02
2005-06-03,49.75,49.6
2005-06-06,49.95,50.08
2005-06-07,50.37,50.37
2005-06-08,50.37,50.0
2005-06-09,49.7,50.25
2005-06-10,49.65,49.13
2005-06-13,49.0,49.25
2005-06-14,48.88,49.17
2005-06-15,48.62,48.79
2005-06-16,48.92,48.98
2005-06-17,49.43,49.03
2005-06-20,48.96,49.19
2005-06-21,49.7,50.0
2005-06-22,50.0,49.8
2005-06-23,49.62,49.15
2005-06-24,49.29,49.25
2005-06-27,48.83,48.85
2005-06-28,48.55,48.87
2005-06-29,48.65,48.8
2005-06-30,48.77,48.51
2005-07-01,48.65,48.24
2005-07-05,47.73,48.05
2005-07-06,48.18,48.03
2005-07-07,47.02,48.22
2005-07-08,47.7,48.24
2005-07-11,48.03,48.38
2005-07-12,48.45,48.19
2005-07-13,48.24,48.61
2005-07-14,48.6,48.5
2005-07-15,47.76,47.99
2005-07-18,47.55,47.64
2005-07-19,47.0,46.99
2005-07-20,46.83,47.04
2005-07-21,46.78,47.0
2005-07-22,46.39,46.5
2005-07-25,46.68,46.83
2005-07-26,46.5,46.47
2005-07-27,46.8,46.93
2005-07-28,47.1,47.65
2005-07-29,47.74,47.44
2005-08-01,47.43,47.53
2005-08-02,47.61,47.85
2005-08-03,47.71,48.0
2005-08-04,48.08,47.93
2005-08-05,47.86,47.63
2005-08-08,48.04,47.94
2005-08-09,47.59,47.72
2005-08-10,47.68,47.63
2005-08-11,47.65,47.9
2005-08-12,47.68,47.88
2005-08-15,47.77,47.84
2005-08-16,48.0,47.77
2005-08-17,48.19,47.91
2005-08-18,48.38,48.29
2005-08-19,48.2,48.21
2005-08-22,48.35,48.3
2005-08-23,47.88,47.58
2005-08-24,47.63,47.3
2005-08-25,47.86,47.82
2005-08-26,47.7,47.44
2005-08-29,47.0,47.61
2005-08-30,47.81,48.05
2005-08-31,47.95,48.72
2005-09-01,48.96,49.45
2005-09-02,49.47,49.61
2005-09-06,50.38,50.2
2005-09-07,50.35,50.49
2005-09-08,50.5,50.07
2005-09-09,50.42,50.55
2005-09-12,49.98,50.24
2005-09-13,49.98,49.58
2005-09-14,50.31,50.0
2005-09-15,49.75,49.62
2005-09-16,49.76,49.65
2005-09-19,50.11,50.0
2005-09-20,50.13,49.84
2005-09-21,49.91,49.65
2005-09-22,49.68,49.76
2005-09-23,50.6,50.67
2005-09-26,51.0,51.22
2005-09-27,51.01,50.81
2005-09-28,50.57,50.92
2005-09-29,50.51,50.87
2005-09-30,51.17,51.28
2005-10-03,51.72,51.27
2005-10-04,51.33,51.18
2005-10-05,51.54,50.95
2005-10-06,51.78,51.4
2005-10-07,51.62,51.69
2005-10-10,51.09,50.98
2005-10-11,50.61,50.13
2005-10-12,51.05,50.73
2005-10-13,50.39,50.46
2005-10-14,51.54,51.67
2005-10-17,50.9,50.73
2005-10-18,50.91,51.19
2005-10-19,51.46,52.05
2005-10-20,50.55,50.53
2005-10-21,50.72,49.9
2005-10-24,50.49,50.99
2005-10-25,50.21,49.79
2005-10-26,49.91,49.36
2005-10-27,51.67,51.34
2005-10-28,52.58,52.39
2005-10-31,52.4,51.99
2005-11-01,51.97,51.88
2005-11-02,51.43,51.96
2005-11-03,52.35,52.43
2005-11-04,52.69,52.63
2005-11-07,53.14,53.35
