date,open,close
2003-01-02,24.21,24.88
2003-01-03,22.52,21.38
2003-01-06,21.59,21.82
2003-01-07,21.75,21.46
2003-01-08,21.42,21.16
2003-01-09,21.3,21.47
2003-01-10,21.24,21.58
2003-01-13,21.92,21.96
2003-01-14,21.97,22.05
2003-01-15,22.24,21.87
2003-01-16,22.08,22.17
2003-01-17,22.5,22.43
2003-01-21,22.48,21.8
2003-01-22,21.65,21.58
2003-01-23,21.8,21.96
2003-01-24,21.85,21.26
2003-01-27,21.02,20.6
2003-01-28,20.78,20.53
2003-01-29,20.78,20.53
2003-01-30,20.97,20.72
2003-01-31,20.65,20.9
2003-02-03,21.0,21.38
2003-02-04,21.15,21.11
2003-02-05,21.27,21.31
2003-02-06,21.27,21.63
2003-02-07,21.9,21.31
2003-02-10,21.45,21.58
2003-02-11,21.53,21.28
2003-02-12,21.23,21.2
2003-02-13,21.2,20.7
2003-02-14,20.62,21.35
2003-02-18,21.5,21.9
2003-02-19,21.8,21.84
2003-02-20,21.98,21.65
2003-02-21,21.75,22.41
2003-02-24,22.86,22.18
2003-02-25,22.4,22.84
2003-02-26,22.75,22.88
2003-02-27,23.0,23.11
2003-02-28,22.73,23.45
2003-03-03,23.49,23.09
2003-03-04,22.89,22.1
2003-03-05,22.0,22.15
2003-03-06,21.97,22.1
2003-03-07,21.57,22.52
2003-03-10,22.35,21.92
2003-03-11,21.99,21.75
2003-03-12,21.75,22.17
2003-03-13,22.5,23.15
2003-03-14,23.21,22.99
2003-03-17,22.92,23.9
2003-03-18,23.95,23.94
2003-03-19,23.88,24.55
2003-03-20,24.31,24.92
2003-03-21,25.5,25.78
2003-03-24,25.5,24.38
2003-03-25,24.35,25.11
2003-03-26,25.15,25.42
2003-03-27,25.02,25.06
2003-03-28,25.06,24.63
2003-03-31,24.0,24.36
2003-04-01,24.61,24.79
2003-04-02,25.1,25.88
2003-04-03,26.05,26.03
2003-04-04,26.05,26.43
2003-04-07,27.25,26.33
2003-04-08,26.5,26.43
2003-04-09,26.43,25.75
2003-04-10,26.0,25.87
2003-04-11,26.01,25.9
2003-04-14,25.85,26.55
2003-04-15,26.8,27.16
2003-04-16,27.22,26.65
2003-04-17,26.66,27.37
2003-04-21,27.37,27.47
2003-04-22,27.22,27.65
2003-04-23,27.55,27.88
2003-04-24,27.42,27.65
2003-04-25,27.65,27.47
2003-04-28,27.5,27.91
