date,open,close
2003-01-02,78.8,80.57
2003-01-03,80.7,81.65
2003-01-06,81.9,83.59
2003-01-07,83.95,86.0
2003-01-08,85.55,84.19
2003-01-09,84.75,87.0
2003-01-10,85.85,87.68
2003-01-13,88.31,87.51
2003-01-14,87.23,88.58
2003-01-15,88.58,87.59
2003-01-16,87.4,86.05
2003-01-17,83.74,81.3
2003-01-21,81.3,80.54
2003-01-22,80.0,79.7
2003-01-23,80.15,81.05
2003-01-24,80.6,78.99
2003-01-27,77.99,78.42
2003-01-28,78.5,80.11
2003-01-29,79.5,80.32
2003-01-30,81.3,78.3
2003-01-31,77.7,78.2
2003-02-03,78.2,78.18
2003-02-04,78.18,77.09
2003-02-05,77.85,77.26
2003-02-06,77.11,77.51
2003-02-07,77.97,77.1
2003-02-10,77.1,77.91
2003-02-11,78.3,77.39
2003-02-12,77.5,76.5
2003-02-13,76.1,75.86
2003-02-14,76.4,77.45
2003-02-18,78.02,79.33
2003-02-19,79.08,79.51
2003-02-20,79.57,79.15
2003-02-21,79.49,79.95
2003-02-24,79.7,78.56
2003-02-25,77.9,79.07
2003-02-26,78.45,77.4
2003-02-27,77.9,77.28
2003-02-28,77.0,77.95
2003-03-03,78.9,77.33
2003-03-04,77.6,76.7
2003-03-05,76.7,77.73
2003-03-06,77.0,77.07
2003-03-07,75.71,77.9
2003-03-10,77.45,75.7
2003-03-11,75.82,75.35
2003-03-12,75.25,75.18
2003-03-13,75.99,78.45
2003-03-14,78.45,79.0
2003-03-17,78.0,82.46
2003-03-18,82.46,82.47
2003-03-19,82.09,82.0
2003-03-20,81.71,82.2
2003-03-21,82.76,84.9
2003-03-24,82.46,82.25
2003-03-25,82.0,83.45
2003-03-26,83.0,81.55
2003-03-27,80.75,81.45
2003-03-28,81.05,80.85
2003-03-31,79.26,78.43
2003-04-01,78.5,78.73
2003-04-02,79.9,81.46
2003-04-03,82.32,81.91
2003-04-04,82.35,80.79
2003-04-07,82.6,80.47
2003-04-08,80.62,80.07
2003-04-09,79.7,78.71
2003-04-10,79.1,79.01
2003-04-11,80.1,78.75
2003-04-14,78.5,80.07
2003-04-15,80.07,82.79
2003-04-16,83.38,82.88
2003-04-17,81.89,84.26
2003-04-21,84.4,83.36
2003-04-22,83.36,85.63
2003-04-23,85.24,85.75
2003-04-24,84.65,85.2
2003-04-25,85.21,83.88
2003-04-28,84.05,85.12
2003-04-29,85.34,85.66
2003-04-30,85.66,84.9
2003-05-01,85.3,85.89
2003-05-02,84.45,87.57
2003-05-05,87.2,86.52
2003-05-06,86.3,87.51
2003-05-07,86.95,86.68
2003-05-08,86.37,86.05
2003-05-09,86.9,87.55
2003-05-12,87.55,89.0
2003-05-13,88.78,89.98
2003-05-14,90.0,88.7
2003-05-15,89.5,89.9
2003-05-16,89.67,88.99
2003-05-19,88.05,86.45
2003-05-20,86.58,85.77
2003-05-21,85.77,86.18
2003-05-22,86.25,86.08
2003-05-23,85.75,85.26
2003-05-27,84.51,87.69
2003-05-28,87.6,87.57
2003-05-29,87.57,87.36
2003-05-30,87.45,88.04
2003-06-02,89.0,87.33
2003-06-03,84.32,83.82
2003-06-04,84.0,84.25
2003-06-05,84.0,81.9
2003-06-06,82.25,80.05
2003-06-09,80.0,82.0
2003-06-10,82.35,81.71
2003-06-11,82.75,83.97
2003-06-12,84.8,83.95
2003-06-13,84.15,82.75
2003-06-16,83.1,84.5
2003-06-17,84.95,84.3
2003-06-18,84.15,84.7
2003-06-19,84.95,84.55
2003-06-20,85.0,84.92
2003-06-23,84.79,83.18
2003-06-24,82.95,83.63
2003-06-25,83.55,82.49
2003-06-26,83.7,84.35
2003-06-27,84.15,83.42
2003-06-30,83.9,82.5
2003-07-01,81.4,83.59
2003-07-02,83.95,84.74
2003-07-03,84.25,83.95
2003-07-07,84.8,86.09
2003-07-08,86.09,86.25
2003-07-09,86.1,85.47
2003-07-10,85.0,84.03
2003-07-11,84.1,84.89
2003-07-14,86.0,85.42
2003-07-15,86.15,86.44
2003-07-16,87.0,86.74
2003-07-17,82.7,83.33
2003-07-18,83.85,83.72
2003-07-21,83.2,82.5
2003-07-22,82.5,81.85
2003-07-23,82.0,82.3
2003-07-24,82.95,81.51
2003-07-25,81.6,83.55
2003-07-28,83.67,82.54
2003-07-29,82.55,81.8
2003-07-30,82.45,80.96
2003-07-31,81.8,81.25
2003-08-01,81.15,81.27
2003-08-04,80.75,81.13
2003-08-05,81.13,79.85
2003-08-06,79.7,79.75
2003-08-07,79.69,80.69
2003-08-08,81.05,80.88
2003-08-11,80.87,81.02
2003-08-12,81.45,81.51
2003-08-13,81.65,81.2
2003-08-14,81.0,81.56
2003-08-15,81.8,81.79
2003-08-18,82.05,83.52
2003-08-19,83.1,82.85
2003-08-20,82.0,83.05
2003-08-21,83.39,82.85
2003-08-22,84.25,82.97
2003-08-25,82.85,81.96
2003-08-26,81.65,82.5
2003-08-27,82.0,82.0
2003-08-28,82.0,81.9
2003-08-29,81.95,82.01
2003-09-02,82.4,85.76
2003-09-03,86.24,86.33
2003-09-04,86.33,87.91
2003-09-05,87.0,86.95
2003-09-08,88.45,89.1
2003-09-09,89.2,89.42
2003-09-10,88.99,87.84
2003-09-11,86.75,87.92
2003-09-12,87.6,88.7
2003-09-15,89.7,88.49
2003-09-16,88.49,90.29
2003-09-17,90.4,90.63
2003-09-18,90.63,92.0
2003-09-19,92.45,93.28
2003-09-22,92.24,91.39
2003-09-23,91.5,91.34
2003-09-24,91.08,89.4
2003-09-25,89.4,89.41
2003-09-26,89.41,89.05
2003-09-29,89.25,89.45
2003-09-30,89.2,88.33
2003-10-01,88.75,90.35
2003-10-02,89.55,90.08
2003-10-03,91.0,90.64
2003-10-06,90.74,91.18
2003-10-07,90.5,91.7
2003-10-08,92.0,92.66
2003-10-09,93.3,92.45
2003-10-10,92.4,92.67
2003-10-13,93.1,93.2
2003-10-14,92.65,92.72
2003-10-15,93.9,92.74
2003-10-16,89.27,89.28
2003-10-17,89.28,89.23
2003-10-20,89.35,89.0
2003-10-21,89.25,88.93
2003-10-22,88.3,88.46
2003-10-23,87.6,88.15
2003-10-24,88.15,88.42
2003-10-27,88.8,88.52
2003-10-28,89.05,89.9
2003-10-29,89.6,89.34
2003-10-30,90.0,89.12
2003-10-31,90.71,89.48
2003-11-03,89.9,89.68
2003-11-04,89.68,89.14
2003-11-05,88.52,88.49
2003-11-06,88.33,89.34
2003-11-07,89.4,88.26
2003-11-10,89.55,89.95
2003-11-11,90.0,89.36
2003-11-12,89.45,90.69
2003-11-13,90.4,91.09
2003-11-14,91.02,90.25
2003-11-17,89.9,89.8
2003-11-18,89.92,88.95
2003-11-19,88.32,89.4
2003-11-20,89.3,88.39
2003-11-21,88.4,88.63
2003-11-24,89.03,89.66
2003-11-25,89.66,89.43
2003-11-26,89.79,89.91
2003-11-28,89.9,90.54
2003-12-01,90.9,91.01
2003-12-02,90.57,90.75
2003-12-03,91.15,90.3
2003-12-04,90.05,91.42
2003-12-05,91.3,90.64
2003-12-08,90.52,91.2
2003-12-09,91.15,90.63
2003-12-10,90.69,91.73
2003-12-11,91.96,92.4
2003-12-12,92.7,92.71
2003-12-15,93.43,92.11
2003-12-16,92.11,93.98
2003-12-17,93.85,93.4
2003-12-18,93.0,92.73
2003-12-19,93.23,93.14
2003-12-22,92.83,93.39
2003-12-23,93.07,92.79
2003-12-24,92.8,92.27
2003-12-26,92.37,92.9
2003-12-29,93.1,93.52
2003-12-30,93.27,92.63
2003-12-31,92.66,92.68
2004-01-02,92.86,91.55
2004-01-05,92.0,93.05
2004-01-06,92.2,93.06
2004-01-07,93.14,92.78
2004-01-08,93.21,93.04
2004-01-09,91.75,91.21
2004-01-12,91.21,91.55
2004-01-13,91.45,89.7
2004-01-14,89.9,90.31
2004-01-15,95.07,94.02
2004-01-16,95.0,95.32
2004-01-20,96.0,97.1
2004-01-21,97.23,97.7
2004-01-22,97.84,97.51
2004-01-23,97.82,97.9
2004-01-26,97.9,99.85
2004-01-27,99.4,98.8
2004-01-28,99.15,97.38
2004-01-29,98.1,98.01
2004-01-30,98.02,99.23
2004-02-02,99.15,99.39
2004-02-03,99.0,100.0
2004-02-04,99.38,100.19
2004-02-05,100.0,98.86
2004-02-06,98.85,98.94
2004-02-09,99.31,98.95
2004-02-10,98.45,99.61
2004-02-11,99.2,99.96
2004-02-12,100.06,99.3
2004-02-13,99.1,99.71
2004-02-17,99.99,99.37
2004-02-18,99.31,98.42
2004-02-19,98.42,97.8
2004-02-20,98.6,97.31
2004-02-23,97.4,95.96
2004-02-24,95.2,96.79
2004-02-25,96.5,96.54
2004-02-26,96.27,96.79
2004-02-27,96.8,96.5
2004-03-01,96.5,97.04
2004-03-02,97.6,96.82
2004-03-03,96.57,96.84
2004-03-04,96.58,96.39
2004-03-05,95.95,96.45
2004-03-08,96.49,94.59
2004-03-09,94.3,94.53
2004-03-10,94.38,93.06
2004-03-11,92.0,91.21
2004-03-12,92.0,93.3
2004-03-15,92.6,91.82
2004-03-16,92.4,92.45
2004-03-17,92.57,93.39
2004-03-18,93.05,92.85
2004-03-19,92.86,91.62
2004-03-22,91.27,91.02
2004-03-23,91.6,91.32
2004-03-24,91.57,91.77
2004-03-25,92.15,92.39
2004-03-26,92.39,92.77
2004-03-29,92.99,92.68
2004-03-30,92.67,92.32
2004-03-31,92.07,91.84
2004-04-01,91.67,92.37
2004-04-02,93.55,94.2
2004-04-05,93.95,94.18
2004-04-06,93.6,93.7
2004-04-07,93.37,93.08
2004-04-08,94.0,93.12
2004-04-12,93.5,93.74
2004-04-13,93.79,93.04
2004-04-14,92.1,93.7
2004-04-15,93.8,93.97
2004-04-16,92.3,92.28
2004-04-19,91.9,91.94
2004-04-20,92.0,90.65
2004-04-21,91.15,91.26
2004-04-22,90.5,90.74
2004-04-23,91.0,91.28
2004-04-26,90.75,90.43
2004-04-27,90.65,91.11
2004-04-28,90.3,90.41
2004-04-29,90.01,89.08
2004-04-30,89.01,88.17
2004-05-03,88.13,88.02
2004-05-04,88.02,89.0
2004-05-05,89.75,88.96
2004-05-06,88.1,88.36
2004-05-07,87.75,88.19
2004-05-10,87.6,86.88
2004-05-11,87.2,87.13
2004-05-12,87.25,86.81
2004-05-13,86.79,87.19
2004-05-14,86.65,86.41
2004-05-17,85.3,85.53
2004-05-18,86.08,86.06
2004-05-19,87.4,87.05
2004-05-20,87.06,87.42
2004-05-21,87.59,87.13
2004-05-24,87.75,87.1
2004-05-25,86.75,88.7
2004-05-26,88.64,88.35
2004-05-27,88.75,88.59
2004-05-28,88.48,88.59
2004-06-01,88.09,88.12
2004-06-02,88.64,87.98
2004-06-03,87.85,87.35
2004-06-04,87.95,87.56
2004-06-07,88.75,88.64
2004-06-08,88.64,90.04
2004-06-09,89.9,90.09
2004-06-10,90.23,90.46
2004-06-14,90.05,90.07
2004-06-15,90.49,90.54
2004-06-16,90.25,90.38
2004-06-17,90.5,90.44
2004-06-18,90.2,90.06
2004-06-21,90.4,89.49
2004-06-22,89.28,90.02
2004-06-23,90.1,90.79
2004-06-24,90.28,89.99
2004-06-25,89.95,89.55
2004-06-28,89.71,88.71
2004-06-29,88.35,88.29
2004-06-30,88.3,88.15
2004-07-01,88.28,87.5
2004-07-02,87.45,87.04
2004-07-06,86.5,85.7
2004-07-07,85.3,85.35
2004-07-08,85.0,83.65
2004-07-09,84.4,83.89
2004-07-12,84.0,84.95
2004-07-13,85.9,85.25
2004-07-14,84.84,84.13
2004-07-15,84.13,84.02
2004-07-16,86.05,84.28
2004-07-19,84.5,85.3
2004-07-20,85.63,86.36
2004-07-21,86.75,85.3
2004-07-22,85.0,86.06
2004-07-23,85.7,84.85
2004-07-26,84.85,85.09
2004-07-27,85.6,85.88
2004-07-28,85.88,85.85
2004-07-29,86.25,86.77
2004-07-30,86.45,87.07
2004-08-02,86.87,86.69
2004-08-03,86.7,85.71
2004-08-04,85.3,85.97
2004-08-05,85.97,85.19
2004-08-06,84.38,83.48
2004-08-09,83.48,83.55
2004-08-10,84.0,84.99
2004-08-11,83.7,83.69
2004-08-12,83.05,82.21
