date,open,close
2003-01-02,25.25,25.44
2003-01-03,25.5,25.94
2003-01-06,26.0,27.98
2003-01-07,27.98,27.84
2003-01-08,27.25,26.77
2003-01-09,26.85,27.3
2003-01-10,26.85,27.09
2003-01-13,27.4,27.28
2003-01-14,27.5,27.59
2003-01-15,27.55,27.08
2003-01-16,27.08,26.78
2003-01-17,26.35,26.19
2003-01-21,26.52,25.42
2003-01-22,25.42,24.7
2003-01-23,25.1,25.13
2003-01-24,24.85,23.81
2003-01-27,23.75,23.29
2003-01-28,23.6,23.51
2003-01-29,23.6,23.51
2003-01-30,23.5,23.04
2003-01-31,23.04,23.04
2003-02-03,23.5,23.58
2003-02-04,23.59,23.05
2003-02-05,23.25,22.94
2003-02-06,22.67,22.31
2003-02-07,22.6,21.98
2003-02-10,22.0,22.1
2003-02-11,22.45,22.0
2003-02-12,22.0,21.51
2003-02-13,21.5,21.29
2003-02-14,21.3,21.85
2003-02-18,22.08,22.5
2003-02-19,22.5,22.5
2003-02-20,22.6,22.69
2003-02-21,22.59,22.88
2003-02-24,22.89,22.3
2003-02-25,22.0,22.55
2003-02-26,22.35,22.34
2003-02-27,22.4,22.66
2003-02-28,22.64,22.68
2003-03-03,23.15,22.85
2003-03-04,22.85,22.4
2003-03-05,22.4,22.4
2003-03-06,22.42,22.0
2003-03-07,21.69,22.29
2003-03-10,21.87,21.44
2003-03-11,21.55,20.75
2003-03-12,20.5,20.75
2003-03-13,21.25,21.72
2003-03-14,21.77,21.26
2003-03-17,21.25,22.56
2003-03-18,22.88,22.81
2003-03-19,22.85,23.33
2003-03-20,22.78,23.53
2003-03-21,23.89,24.65
2003-03-24,23.75,23.63
2003-03-25,23.63,23.63
2003-03-26,23.9,24.17
2003-03-27,24.01,24.12
2003-03-28,24.12,24.45
2003-03-31,24.45,24.45
2003-04-01,24.15,24.23
2003-04-02,24.8,25.11
2003-04-03,25.4,24.94
2003-04-04,25.34,25.58
2003-04-07,26.46,25.64
2003-04-08,25.85,25.99
2003-04-09,26.05,25.73
2003-04-10,25.73,25.72
2003-04-11,26.0,25.59
2003-04-14,25.98,26.54
2003-04-15,26.51,26.87
2003-04-16,27.54,26.5
2003-04-17,26.5,27.31
2003-04-21,27.31,27.45
2003-04-22,27.32,28.68
2003-04-23,28.75,29.44
