date,open,close
2003-01-02,34.28,34.87
2003-01-03,34.74,34.31
2003-01-06,34.47,34.96
2003-01-07,35.0,33.85
2003-01-08,34.0,33.94
2003-01-09,33.93,34.25
2003-01-10,34.05,33.5
2003-01-13,33.7,34.51
2003-01-14,34.5,34.15
2003-01-15,34.0,33.35
2003-01-16,33.6,34.9
2003-01-17,34.9,34.63
2003-01-21,34.7,34.15
2003-01-22,33.86,34.26
2003-01-23,34.16,33.59
2003-01-24,33.28,33.35
2003-01-27,33.05,32.9
2003-01-28,33.07,33.13
2003-01-29,33.07,33.13
2003-01-30,32.64,31.72
2003-01-31,31.95,33.4
2003-02-03,33.4,32.32
2003-02-04,32.33,32.53
2003-02-05,32.54,32.33
2003-02-06,32.0,32.24
2003-02-07,32.35,32.1
2003-02-10,32.27,32.12
2003-02-11,32.2,31.5
2003-02-12,31.51,31.3
2003-02-13,31.2,31.21
2003-02-14,31.4,31.65
2003-02-18,31.9,31.74
2003-02-19,31.73,31.22
2003-02-20,30.08,30.12
2003-02-21,30.12,30.27
2003-02-24,30.28,29.86
2003-02-25,29.8,30.1
2003-02-26,30.11,29.77
2003-02-27,29.8,29.8
2003-02-28,29.77,29.57
2003-03-03,30.0,30.01
2003-03-04,30.03,29.0
2003-03-05,28.96,29.0
2003-03-06,29.0,28.42
2003-03-07,28.07,28.73
2003-03-10,28.72,28.02
2003-03-11,28.1,28.04
2003-03-12,28.04,28.2
2003-03-13,28.55,28.99
2003-03-14,29.15,29.17
2003-03-17,29.31,30.17
2003-03-18,30.37,29.88
2003-03-19,29.99,30.79
2003-03-20,30.7,30.32
2003-03-21,30.8,30.89
2003-03-24,30.43,29.93
2003-03-25,29.9,30.52
2003-03-26,30.44,30.02
2003-03-27,29.7,30.36
2003-03-28,30.3,29.86
2003-03-31,30.36,30.65
2003-04-01,30.64,30.46
2003-04-02,30.84,31.11
2003-04-03,31.05,30.79
2003-04-04,30.92,31.25
2003-04-07,31.95,31.2
2003-04-08,31.33,31.43
2003-04-09,31.55,31.14
2003-04-10,31.23,31.38
2003-04-11,31.83,31.59
2003-04-14,31.51,31.86
2003-04-15,31.86,31.32
2003-04-16,31.3,30.87
2003-04-17,30.82,31.38
2003-04-21,31.2,31.05
2003-04-22,30.95,32.1
2003-04-23,31.95,31.74
2003-04-24,31.96,32.03
2003-04-25,32.3,31.93
2003-04-28,32.01,32.68
2003-04-29,32.6,33.05
2003-04-30,32.93,32.74
2003-05-01,32.51,32.89
2003-05-02,32.64,33.04
2003-05-05,32.97,33.04
2003-05-06,32.71,32.97
2003-05-07,32.77,33.3
2003-05-08,33.15,32.87
2003-05-09,33.0,33.39
2003-05-12,33.39,33.56
2003-05-13,33.22,33.61
2003-05-14,33.61,33.46
2003-05-15,33.71,33.84
2003-05-16,33.8,33.27
