date,open,close
2003-01-02,47.78,47.45
2003-01-03,47.45,47.24
2003-01-06,47.21,47.74
2003-01-07,47.35,47.09
2003-01-08,46.95,46.45
2003-01-09,46.5,46.75
2003-01-10,46.5,46.3
2003-01-13,45.9,46.17
2003-01-14,46.1,46.6
2003-01-15,46.4,46.18
2003-01-16,46.25,46.34
2003-01-17,46.45,46.05
2003-01-21,46.06,45.45
2003-01-22,45.46,45.44
2003-01-23,45.77,45.43
2003-01-24,45.41,44.78
2003-01-27,45.0,44.92
2003-01-28,45.5,45.91
2003-01-29,45.5,45.91
2003-01-30,45.9,45.5
2003-01-31,45.38,46.32
2003-02-03,46.32,46.75
2003-02-04,46.55,46.35
2003-02-05,46.4,45.72
2003-02-06,45.4,45.27
2003-02-07,45.27,45.0
2003-02-10,45.0,45.18
2003-02-11,45.04,44.76
2003-02-12,44.92,44.67
2003-02-13,44.55,44.51
2003-02-14,44.55,44.54
2003-02-18,44.54,45.02
2003-02-19,45.34,45.4
2003-02-20,45.6,45.55
2003-02-21,45.9,45.98
2003-02-24,45.95,45.69
2003-02-25,45.7,46.22
2003-02-26,46.05,45.58
2003-02-27,45.66,46.19
2003-02-28,46.25,45.83
2003-03-03,46.0,45.5
2003-03-04,45.7,45.12
2003-03-05,44.78,44.4
2003-03-06,44.3,44.4
2003-03-07,43.5,44.03
2003-03-10,43.4,43.39
2003-03-11,43.23,43.59
2003-03-12,43.48,43.51
2003-03-13,43.98,44.1
2003-03-14,44.2,44.11
2003-03-17,44.15,45.2
2003-03-18,45.7,45.5
2003-03-19,45.74,45.45
2003-03-20,45.33,45.09
2003-03-21,45.4,45.65
2003-03-24,45.38,45.05
2003-03-25,45.04,45.22
2003-03-26,45.22,44.86
2003-03-27,44.4,45.4
2003-03-28,45.28,45.65
2003-03-31,45.1,45.46
2003-04-01,45.9,45.55
2003-04-02,46.4,46.39
2003-04-03,46.47,46.13
2003-04-04,46.15,46.28
2003-04-07,47.55,46.41
2003-04-08,46.27,46.75
2003-04-09,46.7,46.24
2003-04-10,46.23,46.36
2003-04-11,46.66,46.52
2003-04-14,46.95,47.11
2003-04-15,47.35,47.41
2003-04-16,47.63,47.05
2003-04-17,47.0,47.48
2003-04-21,47.36,47.25
2003-04-22,47.4,49.9
2003-04-23,49.53,49.76
2003-04-24,49.6,49.61
2003-04-25,49.5,49.19
2003-04-28,49.1,49.96
2003-04-29,49.94,50.23
2003-04-30,50.35,49.77
2003-05-01,49.81,49.76
2003-05-02,49.76,50.41
2003-05-05,50.38,50.59
2003-05-06,50.82,50.13
2003-05-07,50.0,50.58
2003-05-08,50.2,50.0
2003-05-09,50.4,50.37
