date,open,close
2003-01-02,44.15,44.85
2003-01-03,44.86,44.74
2003-01-06,44.6,44.92
2003-01-07,44.5,44.36
2003-01-08,44.6,44.07
2003-01-09,43.9,44.53
2003-01-10,44.35,45.2
2003-01-13,45.3,45.76
2003-01-14,45.5,45.73
2003-01-15,45.73,44.9
2003-01-16,45.08,45.67
2003-01-17,45.5,45.1
2003-01-21,45.2,44.72
2003-01-22,44.73,44.55
2003-01-23,44.56,43.9
2003-01-24,44.0,42.83
2003-01-27,42.35,41.79
2003-01-28,42.0,41.1
2003-01-29,42.0,41.1
2003-01-30,40.75,39.2
2003-01-31,39.3,40.46
2003-02-03,40.55,40.15
2003-02-04,40.01,40.33
2003-02-05,40.55,40.05
2003-02-06,40.05,39.91
2003-02-07,40.1,39.53
2003-02-10,39.7,40.06
2003-02-11,39.9,39.0
2003-02-12,39.38,39.74
2003-02-13,39.78,39.98
2003-02-14,40.15,40.8
2003-02-18,40.95,41.1
2003-02-19,41.19,40.67
2003-02-20,40.48,40.05
2003-02-21,40.3,40.64
2003-02-24,40.63,39.82
2003-02-25,39.7,40.38
2003-02-26,40.3,39.72
2003-02-27,39.85,40.26
2003-02-28,40.26,40.22
2003-03-03,40.16,39.21
2003-03-04,39.23,38.37
2003-03-05,37.45,37.55
2003-03-06,37.55,37.55
2003-03-07,37.15,37.7
2003-03-10,37.4,37.07
2003-03-11,37.1,37.66
2003-03-12,37.5,38.05
2003-03-13,38.58,39.45
2003-03-14,39.65,39.9
2003-03-17,39.9,40.99
2003-03-18,41.02,40.97
2003-03-19,40.97,41.81
2003-03-20,41.81,41.53
2003-03-21,41.95,42.25
2003-03-24,41.8,40.91
2003-03-25,40.9,41.0
2003-03-26,41.05,40.73
2003-03-27,40.48,40.86
2003-03-28,40.86,40.73
2003-03-31,40.32,40.48
2003-04-01,40.5,40.39
2003-04-02,41.15,41.45
2003-04-03,41.45,41.2
2003-04-04,42.11,41.9
2003-04-07,42.55,41.7
2003-04-08,41.95,41.85
2003-04-09,41.98,41.67
2003-04-10,41.85,41.44
2003-04-11,41.75,41.43
2003-04-14,41.43,42.41
2003-04-15,42.5,42.53
2003-04-16,40.65,39.9
2003-04-17,39.92,40.4
2003-04-21,40.55,40.11
2003-04-22,39.9,40.41
2003-04-23,40.28,40.0
2003-04-24,39.95,39.91
2003-04-25,40.05,39.42
2003-04-28,39.84,40.33
2003-04-29,40.33,40.83
2003-04-30,40.62,40.4
2003-05-01,40.4,40.44
2003-05-02,40.2,41.0
2003-05-05,40.85,40.53
2003-05-06,40.85,41.02
2003-05-07,42.51,43.27
2003-05-08,43.05,42.88
2003-05-09,43.6,43.99
2003-05-12,43.99,44.3
2003-05-13,44.3,44.25
2003-05-14,44.6,44.25
2003-05-15,44.5,44.64
2003-05-16,44.75,43.95
2003-05-19,43.7,44.11
2003-05-20,44.2,44.52
2003-05-21,44.25,44.14
2003-05-22,44.14,44.53
2003-05-23,44.3,44.19
2003-05-27,43.98,44.66
2003-05-28,44.53,44.16
2003-05-29,44.35,44.62
2003-05-30,45.08,45.57
2003-06-02,45.94,45.8
2003-06-03,46.05,46.11
2003-06-04,45.9,46.59
2003-06-05,46.59,46.78
2003-06-06,46.86,46.89
2003-06-09,46.4,46.87
2003-06-10,46.87,46.6
2003-06-11,46.38,46.8
2003-06-12,46.51,47.45
2003-06-13,47.4,47.35
2003-06-16,47.45,48.2
2003-06-17,48.1,47.2
2003-06-18,46.71,47.0
2003-06-19,46.8,46.12
2003-06-20,46.34,46.47
2003-06-23,46.28,46.75
2003-06-24,46.65,47.17
2003-06-25,47.18,46.64
2003-06-26,46.5,46.88
2003-06-27,46.85,46.51
2003-06-30,46.35,46.41
2003-07-01,46.25,46.49
2003-07-02,46.45,46.38
2003-07-03,46.15,46.23
2003-07-07,46.23,44.95
2003-07-08,44.95,44.22
2003-07-09,44.1,43.88
2003-07-10,43.98,44.01
2003-07-11,43.35,43.91
2003-07-14,44.15,44.28
2003-07-15,44.3,43.99
2003-07-16,43.45,42.91
2003-07-17,44.28,44.76
2003-07-18,44.92,44.9
2003-07-21,45.0,45.0
2003-07-22,45.2,45.09
2003-07-23,45.25,45.17
2003-07-24,45.19,44.52
2003-07-25,44.51,45.04
2003-07-28,44.92,44.63
2003-07-29,44.75,44.86
2003-07-30,45.2,45.38
2003-07-31,45.47,44.97
2003-08-01,44.5,44.75
2003-08-04,44.5,44.89
