date,open,close
2003-01-02,33.1,34.03
2003-01-03,34.03,34.28
2003-01-06,33.71,33.94
2003-01-07,33.69,33.93
2003-01-08,33.94,33.55
2003-01-09,33.49,33.99
2003-01-10,33.6,33.92
2003-01-13,33.99,33.7
2003-01-14,33.61,34.23
2003-01-15,33.7,33.09
2003-01-16,33.11,33.3
2003-01-17,33.31,32.82
2003-01-21,32.76,31.6
2003-01-22,31.59,32.02
2003-01-23,32.12,32.44
2003-01-24,32.36,31.9
2003-01-27,31.4,31.13
2003-01-28,31.05,31.02
2003-01-29,31.05,31.02
2003-01-30,31.8,30.74
2003-01-31,30.76,31.2
2003-02-03,31.35,31.31
2003-02-04,30.91,30.62
2003-02-05,30.74,30.43
2003-02-06,30.19,29.99
2003-02-07,30.0,29.35
2003-02-10,29.36,30.55
2003-02-11,30.55,30.4
2003-02-12,30.45,30.05
2003-02-13,30.01,29.47
2003-02-14,29.42,30.2
2003-02-18,30.2,30.7
2003-02-19,30.74,30.43
2003-02-20,30.63,30.22
2003-02-21,30.22,30.77
2003-02-24,30.5,29.9
2003-02-25,29.51,30.18
2003-02-26,30.18,29.56
2003-02-27,29.5,29.7
2003-02-28,29.95,30.22
2003-03-03,30.47,30.0
2003-03-04,29.93,29.36
2003-03-05,29.42,30.0
2003-03-06,29.92,29.6
2003-03-07,29.34,30.27
2003-03-10,30.18,29.61
2003-03-11,29.61,28.93
2003-03-12,28.92,28.85
2003-03-13,29.55,30.44
2003-03-14,30.63,30.42
2003-03-17,30.21,32.07
2003-03-18,32.39,31.75
2003-03-19,31.7,32.11
2003-03-20,31.8,32.74
2003-03-21,33.43,34.88
2003-03-24,33.61,31.86
2003-03-25,32.19,32.8
2003-03-26,32.72,32.8
2003-03-27,32.6,32.66
2003-03-28,32.66,32.6
2003-03-31,32.15,31.81
2003-04-01,31.81,31.29
2003-04-02,32.35,32.71
2003-04-03,32.9,32.7
2003-04-04,32.78,32.74
2003-04-07,33.85,33.39
2003-04-08,33.35,33.43
2003-04-09,33.43,32.83
2003-04-10,32.8,33.01
2003-04-11,33.13,33.25
2003-04-14,33.5,34.29
2003-04-15,34.29,34.57
2003-04-16,34.65,34.09
2003-04-17,34.0,34.91
2003-04-21,34.91,35.43
2003-04-22,35.32,36.0
2003-04-23,35.96,35.94
2003-04-24,35.49,35.6
2003-04-25,35.5,34.91
2003-04-28,34.85,35.5
2003-04-29,35.5,35.89
2003-04-30,35.89,35.91
2003-05-01,35.9,35.63
2003-05-02,35.0,36.33
2003-05-05,36.58,36.99
2003-05-06,37.09,37.92
2003-05-07,37.77,37.72
2003-05-08,37.36,37.0
2003-05-09,37.1,37.37
2003-05-12,37.15,38.16
2003-05-13,38.16,37.91
2003-05-14,37.92,37.26
2003-05-15,37.42,37.5
2003-05-16,37.51,37.33
2003-05-19,37.5,36.66
2003-05-20,36.8,36.59
2003-05-21,36.51,36.4
2003-05-22,36.43,36.55
2003-05-23,36.55,36.56
2003-05-27,36.4,37.73
2003-05-28,37.68,38.47
2003-05-29,38.44,38.24
2003-05-30,38.24,39.1
2003-06-02,39.0,39.05
2003-06-03,39.13,38.7
2003-06-04,38.7,39.12
2003-06-05,39.0,39.42
2003-06-06,39.85,39.8
2003-06-09,39.53,38.97
2003-06-10,39.0,39.29
2003-06-11,39.06,39.4
2003-06-12,39.33,39.31
2003-06-13,39.44,38.79
2003-06-16,39.0,39.65
2003-06-17,39.65,39.22
2003-06-18,38.85,38.97
2003-06-19,39.05,38.01
2003-06-20,38.09,38.37
2003-06-23,37.94,37.95
2003-06-24,38.1,38.25
2003-06-25,38.09,38.02
2003-06-26,38.17,38.58
2003-06-27,38.58,38.36
2003-06-30,38.45,38.42
2003-07-01,38.0,38.46
2003-07-02,38.48,38.62
2003-07-03,38.46,38.6
2003-07-07,38.78,39.25
2003-07-08,39.23,39.7
2003-07-09,39.7,39.9
2003-07-10,39.9,39.24
2003-07-11,39.23,39.66
2003-07-14,39.9,39.47
2003-07-15,39.95,39.72
2003-07-16,39.8,39.44
2003-07-17,39.48,38.23
2003-07-18,38.63,38.83
2003-07-21,38.83,38.22
2003-07-22,38.47,39.06
2003-07-23,39.0,39.05
2003-07-24,39.07,39.5
2003-07-25,39.7,40.79
2003-07-28,40.79,40.97
2003-07-29,41.0,40.53
2003-07-30,40.7,40.23
2003-07-31,40.41,41.1
2003-08-01,41.04,41.16
2003-08-04,40.96,40.82
2003-08-05,39.82,40.04
2003-08-06,40.01,39.99
2003-08-07,40.0,41.15
2003-08-08,41.15,41.06
2003-08-11,41.06,40.27
2003-08-12,40.46,40.43
2003-08-13,40.59,40.2
2003-08-14,40.3,40.4
2003-08-15,40.41,40.25
2003-08-18,40.36,40.6
2003-08-19,40.55,40.66
2003-08-20,40.85,41.0
2003-08-21,41.02,41.3
2003-08-22,41.5,41.15
2003-08-25,41.25,41.0
2003-08-26,40.9,40.71
2003-08-27,40.6,40.65
2003-08-28,40.53,40.7
2003-08-29,40.68,40.83
2003-09-02,40.73,41.24
2003-09-03,41.24,41.05
2003-09-04,41.05,40.75
2003-09-05,40.77,40.58
2003-09-08,40.58,40.65
2003-09-09,40.45,40.28
2003-09-10,40.15,39.74
2003-09-11,39.99,40.17
2003-09-12,40.03,40.24
2003-09-15,40.29,40.11
2003-09-16,40.09,40.74
2003-09-17,40.59,40.7
2003-09-18,40.75,42.27
2003-09-19,42.27,42.88
2003-09-22,42.23,42.5
2003-09-23,43.75,45.12
2003-09-24,45.0,44.2
2003-09-25,44.35,43.55
2003-09-26,43.62,43.59
2003-09-29,43.53,43.75
2003-09-30,43.37,43.03
2003-10-01,43.28,44.27
2003-10-02,44.4,43.94
2003-10-03,43.94,44.64
2003-10-06,44.89,44.5
2003-10-07,44.35,44.95
2003-10-08,45.0,44.74
2003-10-09,45.2,43.1
2003-10-10,43.11,42.53
2003-10-13,43.95,44.18
2003-10-14,43.9,43.99
2003-10-15,44.21,43.5
2003-10-16,43.55,43.6
2003-10-17,43.89,43.31
2003-10-20,43.56,43.68
2003-10-21,43.68,43.6
2003-10-22,43.6,43.06
2003-10-23,43.0,43.56
2003-10-24,43.5,43.38
2003-10-27,43.38,43.4
2003-10-28,43.4,43.87
2003-10-29,43.87,44.04
2003-10-30,44.0,43.79
2003-10-31,43.79,43.2
2003-11-03,43.18,43.4
2003-11-04,43.2,42.95
2003-11-05,42.76,43.07
2003-11-06,44.78,45.15
2003-11-07,45.0,45.43
2003-11-10,45.0,45.31
2003-11-11,45.5,46.5
2003-11-12,46.51,46.77
2003-11-13,46.75,46.55
2003-11-14,46.55,46.13
2003-11-17,46.13,46.12
2003-11-18,46.12,44.92
2003-11-19,45.03,45.01
2003-11-20,44.4,44.5
2003-11-21,44.75,44.9
2003-11-24,44.5,45.39
2003-11-25,45.14,45.75
2003-11-26,45.62,45.62
2003-11-28,45.62,45.83
2003-12-01,45.86,45.94
2003-12-02,45.74,45.3
2003-12-03,45.45,46.05
2003-12-04,46.25,46.35
2003-12-05,46.15,45.69
2003-12-08,45.6,45.89
2003-12-09,45.87,45.61
2003-12-10,45.58,45.58
2003-12-11,45.56,45.66
2003-12-12,45.85,45.7
2003-12-15,46.1,45.85
2003-12-16,46.02,45.75
2003-12-17,45.59,45.5
2003-12-18,45.28,46.13
2003-12-19,46.13,45.7
2003-12-22,45.46,46.19
2003-12-23,46.19,46.08
2003-12-24,45.93,45.95
2003-12-26,46.1,46.01
2003-12-29,46.22,46.16
2003-12-30,46.05,46.2
2003-12-31,46.2,46.2
2004-01-02,46.08,46.15
2004-01-05,46.15,46.4
2004-01-06,46.15,46.18
2004-01-07,45.9,46.14
2004-01-08,46.45,46.62
2004-01-09,46.3,46.15
2004-01-12,46.15,46.39
2004-01-13,46.34,46.2
2004-01-14,46.35,46.54
2004-01-15,46.6,46.7
2004-01-16,46.74,46.5
2004-01-20,46.4,46.42
2004-01-21,46.48,46.42
2004-01-22,46.2,46.09
2004-01-23,46.0,45.79
2004-01-26,45.79,45.57
2004-01-27,45.14,45.28
2004-01-28,45.2,44.28
2004-01-29,44.29,45.33
2004-01-30,45.16,44.39
2004-02-02,44.28,44.47
2004-02-03,44.5,44.56
2004-02-04,44.36,44.55
2004-02-05,45.05,45.26
2004-02-06,45.2,45.73
2004-02-09,45.45,45.56
2004-02-10,44.25,44.67
2004-02-11,44.42,44.6
2004-02-12,44.41,44.66
2004-02-13,44.82,44.53
2004-02-17,44.53,44.38
2004-02-18,44.38,43.98
2004-02-19,44.28,44.6
2004-02-20,44.6,44.45
2004-02-23,44.6,44.7
2004-02-24,44.7,45.18
2004-02-25,45.17,45.0
2004-02-26,45.0,44.74
2004-02-27,43.93,44.63
2004-03-01,44.98,44.79
2004-03-02,44.63,44.49
2004-03-03,44.5,44.61
2004-03-04,44.6,45.0
2004-03-05,44.9,45.42
2004-03-08,45.9,45.86
2004-03-09,45.72,45.08
2004-03-10,45.08,44.43
2004-03-11,44.34,43.31
2004-03-12,43.36,43.61
2004-03-15,43.41,41.95
2004-03-16,42.2,42.0
2004-03-17,42.15,42.6
2004-03-18,42.61,42.1
2004-03-19,42.0,41.42
2004-03-22,41.12,40.79
2004-03-23,41.1,40.92
2004-03-24,41.05,41.06
2004-03-25,41.3,41.41
2004-03-26,41.5,41.73
2004-03-29,41.95,42.1
2004-03-30,42.0,42.07
2004-03-31,42.08,42.55
2004-04-01,42.5,43.68
2004-04-02,43.75,44.51
2004-04-05,44.4,44.8
2004-04-06,44.73,44.64
2004-04-07,44.64,44.4
2004-04-08,44.6,44.66
2004-04-12,44.55,44.77
2004-04-13,44.91,44.29
2004-04-14,44.2,44.5
2004-04-15,44.7,44.53
2004-04-16,44.53,44.79
2004-04-19,44.79,44.96
2004-04-20,44.98,44.13
2004-04-21,44.25,44.37
2004-04-22,45.5,47.87
2004-04-23,47.4,47.34
2004-04-26,47.2,47.5
2004-04-27,47.51,48.0
2004-04-28,48.01,47.73
2004-04-29,47.85,47.39
