date,open,close
2003-01-02,24.45,25.22
2003-01-03,25.19,25.48
2003-01-06,25.45,25.96
2003-01-07,25.96,26.05
2003-01-08,26.05,25.66
2003-01-09,25.75,26.08
2003-01-10,26.08,26.46
2003-01-13,26.58,26.78
2003-01-14,26.78,26.18
2003-01-15,26.18,26.35
2003-01-16,26.36,25.84
2003-01-17,25.65,26.07
2003-01-21,26.07,25.4
2003-01-22,25.24,24.1
2003-01-23,24.2,24.85
2003-01-24,24.7,24.0
2003-01-27,23.75,23.71
2003-01-28,23.8,24.06
2003-01-29,24.06,24.5
2003-01-30,24.51,23.43
2003-01-31,23.43,24.07
2003-02-03,24.11,24.8
2003-02-04,25.12,25.27
2003-02-05,25.5,25.25
2003-02-06,25.0,24.94
2003-02-07,25.06,24.54
2003-02-10,24.55,24.75
2003-02-11,24.75,23.76
2003-02-12,23.63,23.05
2003-02-13,23.05,21.94
2003-02-14,21.95,23.63
2003-02-18,23.8,24.0
2003-02-19,24.0,24.05
2003-02-20,24.05,24.5
2003-02-21,24.63,24.8
2003-02-24,24.67,24.17
2003-02-25,24.08,24.51
2003-02-26,24.51,23.63
2003-02-27,23.88,24.08
2003-02-28,24.08,23.63
2003-03-03,23.95,23.96
2003-03-04,24.0,22.98
2003-03-05,22.98,22.88
2003-03-06,22.87,22.97
2003-03-07,22.65,22.66
2003-03-10,22.45,22.0
2003-03-11,21.97,20.88
2003-03-12,20.7,21.31
2003-03-13,22.6,23.16
2003-03-14,23.2,23.35
2003-03-17,23.32,25.5
2003-03-18,25.75,25.26
2003-03-19,25.27,25.5
2003-03-20,25.15,25.46
2003-03-21,25.89,27.51
2003-03-24,26.6,25.93
2003-03-25,25.83,26.07
2003-03-26,25.9,25.4
2003-03-27,25.0,25.17
2003-03-28,24.95,24.82
2003-03-31,24.25,24.61
2003-04-01,24.62,25.0
2003-04-02,25.6,26.43
2003-04-03,26.6,26.05
2003-04-04,26.53,26.23
2003-04-07,27.09,26.61
2003-04-08,26.57,26.47
2003-04-09,26.54,26.42
2003-04-10,26.43,26.33
2003-04-11,26.6,26.07
2003-04-14,25.88,26.82
2003-04-15,26.62,27.55
2003-04-16,27.62,26.83
2003-04-17,26.83,27.5
2003-04-21,27.5,27.5
2003-04-22,27.49,28.93
2003-04-23,28.9,28.99
2003-04-24,28.95,28.11
2003-04-25,28.15,28.25
2003-04-28,28.25,28.8
2003-04-29,28.2,28.0
2003-04-30,27.75,27.9
2003-05-01,27.75,27.57
2003-05-02,27.52,28.03
2003-05-05,28.25,27.7
2003-05-06,27.7,28.09
2003-05-07,27.98,27.6
2003-05-08,27.59,27.35
2003-05-09,27.45,27.91
2003-05-12,27.98,28.73
2003-05-13,28.48,27.75
2003-05-14,27.82,27.62
2003-05-15,25.0,29.27
2003-05-16,29.1,29.1
2003-05-19,28.85,27.91
2003-05-20,27.95,28.0
2003-05-21,27.99,27.87
2003-05-22,28.0,29.13
2003-05-23,29.06,29.03
2003-05-27,28.94,30.32
2003-05-28,30.59,30.3
2003-05-29,30.47,29.92
2003-05-30,29.92,30.82
2003-06-02,30.9,31.75
2003-06-03,31.65,31.74
2003-06-04,32.5,34.39
2003-06-05,33.9,35.55
2003-06-06,35.55,34.7
2003-06-09,34.2,33.22
2003-06-10,33.63,33.57
2003-06-11,33.6,35.03
2003-06-12,35.13,35.63
2003-06-13,35.55,34.2
2003-06-16,34.25,34.72
2003-06-17,34.97,35.2
2003-06-18,35.1,34.71
2003-06-19,34.71,33.16
2003-06-20,33.45,33.2
2003-06-23,33.1,32.13
2003-06-24,32.35,32.54
2003-06-25,32.49,32.32
2003-06-26,32.25,33.0
2003-06-27,33.0,32.38
2003-06-30,32.65,32.63
2003-07-01,32.48,32.45
2003-07-02,32.46,33.42
2003-07-03,33.18,34.45
2003-07-07,34.45,35.14
2003-07-08,35.25,35.82
2003-07-09,36.75,36.85
2003-07-10,36.55,36.68
2003-07-11,36.67,37.27
2003-07-14,37.45,37.42
2003-07-15,37.5,36.58
2003-07-16,36.7,35.98
2003-07-17,36.4,36.85
2003-07-18,36.9,36.37
2003-07-21,36.38,36.12
2003-07-22,36.0,36.33
2003-07-23,36.2,36.56
2003-07-24,36.8,35.83
2003-07-25,37.0,38.5
2003-07-28,38.3,38.28
2003-07-29,38.27,38.23
2003-07-30,38.35,37.94
2003-07-31,38.09,39.02
2003-08-01,39.15,40.59
2003-08-04,40.38,40.15
2003-08-05,40.35,39.15
2003-08-06,39.11,39.0
2003-08-07,39.4,39.99
2003-08-08,40.0,39.59
2003-08-11,39.87,39.5
2003-08-12,39.5,40.5
2003-08-13,40.7,41.59
2003-08-14,41.63,41.63
2003-08-15,39.99,41.84
2003-08-18,42.45,43.27
2003-08-19,43.5,43.32
2003-08-20,43.32,44.15
2003-08-21,44.45,44.77
2003-08-22,44.91,44.38
2003-08-25,44.32,43.41
2003-08-26,43.2,43.12
2003-08-27,43.22,43.76
2003-08-28,43.75,43.91
2003-08-29,43.85,44.73
2003-09-02,44.85,44.7
2003-09-03,44.64,43.37
2003-09-04,43.62,43.9
2003-09-05,43.7,43.26
2003-09-08,43.26,42.97
2003-09-09,42.77,42.03
2003-09-10,41.93,40.63
2003-09-11,40.65,40.33
2003-09-12,40.25,41.0
2003-09-15,41.01,40.87
2003-09-16,40.87,41.16
2003-09-17,41.16,41.02
2003-09-18,41.02,41.51
2003-09-19,41.9,41.44
2003-09-22,41.0,40.5
2003-09-23,40.68,40.85
2003-09-24,40.96,39.17
2003-09-25,39.06,37.65
2003-09-26,38.0,36.87
2003-09-29,37.0,36.65
2003-09-30,36.62,37.28
2003-10-01,37.3,38.61
2003-10-02,38.4,38.96
2003-10-03,40.1,39.9
2003-10-06,40.0,40.24
2003-10-07,39.8,40.21
2003-10-08,40.3,40.11
2003-10-09,40.36,40.23
2003-10-10,40.33,39.96
2003-10-13,40.2,40.31
2003-10-14,40.31,40.73
2003-10-15,41.2,41.74
2003-10-16,41.45,41.5
2003-10-17,41.7,41.35
2003-10-20,41.35,41.3
2003-10-21,41.3,40.71
2003-10-22,40.46,39.4
2003-10-23,39.2,38.97
2003-10-24,38.97,39.13
2003-10-27,39.3,39.53
2003-10-28,39.5,40.07
2003-10-29,39.65,40.52
2003-10-30,41.0,40.49
2003-10-31,40.47,40.43
2003-11-03,40.68,41.42
2003-11-04,41.25,41.6
2003-11-05,41.81,41.37
2003-11-06,41.62,41.8
2003-11-07,41.89,41.31
2003-11-10,41.21,40.09
2003-11-11,39.93,40.1
2003-11-12,40.27,41.03
2003-11-13,41.05,41.41
2003-11-14,41.55,41.03
2003-11-17,40.9,40.25
2003-11-18,40.5,40.08
2003-11-19,40.18,40.51
2003-11-20,40.3,40.01
2003-11-21,40.19,40.07
2003-11-24,40.4,42.56
2003-11-25,42.95,42.55
2003-11-26,42.65,42.7
2003-11-28,42.5,43.1
2003-12-01,43.15,43.45
2003-12-02,42.45,42.9
2003-12-03,43.2,42.55
2003-12-04,42.56,42.36
2003-12-05,42.15,41.83
2003-12-08,41.87,42.57
2003-12-09,42.8,42.61
2003-12-10,42.97,42.29
2003-12-11,42.29,43.16
2003-12-12,43.38,43.78
2003-12-15,45.0,44.52
2003-12-16,44.48,44.43
2003-12-17,44.23,45.11
2003-12-18,45.11,46.12
2003-12-19,46.26,47.91
2003-12-22,47.9,47.96
2003-12-23,47.85,47.84
2003-12-24,47.8,47.76
2003-12-26,47.85,48.11
2003-12-29,48.36,48.65
2003-12-30,48.55,48.46
2003-12-31,48.46,47.89
2004-01-02,47.8,47.33
2004-01-05,47.27,47.59
2004-01-06,47.59,48.56
2004-01-07,48.6,50.0
2004-01-08,49.98,50.08
2004-01-09,49.89,49.79
2004-01-12,49.8,50.3
2004-01-13,50.3,50.09
2004-01-14,50.5,50.7
2004-01-15,50.9,50.32
2004-01-16,50.57,50.61
2004-01-20,50.55,50.07
2004-01-21,49.95,51.11
2004-01-22,51.9,52.75
2004-01-23,52.73,52.03
2004-01-26,51.8,51.84
2004-01-27,52.13,51.07
2004-01-28,51.08,50.14
2004-01-29,50.35,48.19
2004-01-30,48.4,47.55
2004-02-02,47.88,47.05
2004-02-03,47.0,47.1
2004-02-04,47.0,46.69
2004-02-05,46.7,47.68
2004-02-06,47.68,49.15
2004-02-09,49.15,48.72
2004-02-10,48.73,48.0
2004-02-11,48.04,49.48
2004-02-12,49.23,49.08
2004-02-13,49.28,48.01
2004-02-17,48.9,49.2
2004-02-18,49.53,48.5
2004-02-19,48.65,48.59
2004-02-20,48.38,47.66
2004-02-23,48.48,47.0
2004-02-24,46.45,46.43
2004-02-25,46.85,47.5
2004-02-26,47.55,47.58
2004-02-27,47.7,46.6
2004-03-01,45.56,47.43
2004-03-02,47.44,48.43
2004-03-03,48.35,48.37
2004-03-04,48.25,48.13
2004-03-05,48.0,48.72
2004-03-08,47.42,47.24
2004-03-09,47.24,46.49
2004-03-10,46.49,44.3
2004-03-11,44.3,43.46
2004-03-12,43.6,44.73
2004-03-15,44.48,43.5
2004-03-16,44.0,44.52
2004-03-17,44.75,45.8
2004-03-18,45.55,46.01
2004-03-19,45.82,45.08
