date,open,close
2003-01-02,97.01,99.8
2003-01-03,99.81,99.4
2003-01-06,99.53,100.4
2003-01-07,100.4,98.41
2003-01-08,98.41,98.24
2003-01-09,98.35,98.85
2003-01-10,98.0,98.82
2003-01-13,98.45,98.05
2003-01-14,98.49,97.69
2003-01-15,97.65,96.8
2003-01-16,97.0,96.88
2003-01-17,96.89,95.3
2003-01-21,95.3,94.6
2003-01-22,94.61,89.72
2003-01-23,90.68,92.1
2003-01-24,92.0,90.25
2003-01-27,90.4,88.39
2003-01-28,88.4,91.86
2003-01-29,88.4,91.86
2003-01-30,92.33,91.69
2003-01-31,90.75,91.41
2003-02-03,91.42,92.33
2003-02-04,92.08,93.08
2003-02-05,93.09,92.44
2003-02-06,92.4,91.49
2003-02-07,92.0,91.69
2003-02-10,91.69,91.81
2003-02-11,91.9,91.4
2003-02-12,92.75,91.25
2003-02-13,91.09,91.4
2003-02-14,91.4,92.17
2003-02-18,92.36,91.79
2003-02-19,91.79,93.29
2003-02-20,93.29,91.27
2003-02-21,91.5,91.24
2003-02-24,91.13,88.79
2003-02-25,88.1,88.75
2003-02-26,88.85,87.96
2003-02-27,88.0,87.0
2003-02-28,86.1,86.7
2003-03-03,87.13,86.62
2003-03-04,86.45,87.26
2003-03-05,84.06,83.75
2003-03-06,83.75,84.06
2003-03-07,84.06,82.73
2003-03-10,81.85,81.25
2003-03-11,81.35,79.0
2003-03-12,79.0,79.71
2003-03-13,80.4,81.06
2003-03-14,81.8,84.4
2003-03-17,84.4,86.17
2003-03-18,86.35,86.16
2003-03-19,87.65,87.45
2003-03-20,87.45,84.95
2003-03-21,85.0,82.35
2003-03-24,82.6,84.43
2003-03-25,84.58,83.77
2003-03-26,84.5,83.69
2003-03-27,83.04,85.7
2003-03-28,85.55,86.46
2003-03-31,85.8,85.8
2003-04-01,86.05,87.26
2003-04-02,87.6,87.0
2003-04-03,87.0,86.48
2003-04-04,86.4,83.26
2003-04-07,83.01,84.0
2003-04-08,83.8,83.7
2003-04-09,83.45,83.65
2003-04-10,83.65,81.38
2003-04-11,81.52,80.22
2003-04-14,80.32,81.24
2003-04-15,81.25,81.63
2003-04-16,82.02,81.94
2003-04-17,81.74,83.8
2003-04-21,83.81,84.7
2003-04-22,85.05,86.6
2003-04-23,86.68,86.88
2003-04-24,86.63,86.14
2003-04-25,86.0,85.44
2003-04-28,85.2,86.53
2003-04-29,89.5,89.29
2003-04-30,88.08,87.95
2003-05-01,87.95,87.58
2003-05-02,88.95,89.83
2003-05-05,90.49,88.5
2003-05-06,89.35,89.03
2003-05-07,88.7,89.1
2003-05-08,88.4,88.05
2003-05-09,88.7,88.8
2003-05-12,89.21,90.55
2003-05-13,90.5,91.55
2003-05-14,91.5,91.9
2003-05-15,92.15,91.0
2003-05-16,90.35,90.9
2003-05-19,90.0,88.69
2003-05-20,88.44,88.16
2003-05-21,88.16,86.91
2003-05-22,86.93,87.1
2003-05-23,86.85,89.07
2003-05-27,88.25,87.96
2003-05-28,88.5,87.5
2003-05-29,87.5,86.56
2003-05-30,87.35,87.7
2003-06-02,88.1,87.71
2003-06-03,88.04,87.3
2003-06-04,87.0,86.3
2003-06-05,86.23,85.99
2003-06-06,86.6,85.4
2003-06-09,85.4,83.5
2003-06-10,83.87,85.12
2003-06-11,84.45,87.06
2003-06-12,87.06,87.49
2003-06-13,87.8,86.01
2003-06-16,86.26,87.12
2003-06-17,86.95,86.19
2003-06-18,86.19,87.15
2003-06-19,87.05,87.59
2003-06-20,87.95,88.75
2003-06-23,88.0,88.16
2003-06-24,87.85,88.35
2003-06-25,87.9,87.54
2003-06-26,87.32,86.72
2003-06-27,86.9,85.82
2003-06-30,86.07,86.29
2003-07-01,86.29,88.2
2003-07-02,88.2,88.0
2003-07-03,87.45,86.07
2003-07-07,86.08,86.0
2003-07-08,86.141,86.68
2003-07-09,86.28,86.15
2003-07-10,85.9,87.7
2003-07-11,87.95,88.17
2003-07-14,88.36,88.0
2003-07-15,88.1,87.75
2003-07-16,87.75,87.25
2003-07-17,87.25,86.36
2003-07-18,86.86,89.05
2003-07-21,89.0,87.85
2003-07-22,86.71,89.11
2003-07-23,89.0,88.4
2003-07-24,88.6,86.15
2003-07-25,86.25,87.1
2003-07-28,89.75,92.36
2003-07-29,92.2,92.4
2003-07-30,92.19,92.56
2003-07-31,93.02,92.24
2003-08-01,92.5,91.86
2003-08-04,92.11,91.75
2003-08-05,92.0,91.0
2003-08-06,90.3,91.01
2003-08-07,91.75,91.59
2003-08-08,91.52,90.96
2003-08-11,91.2,91.33
2003-08-12,91.4,91.63
2003-08-13,91.63,91.17
2003-08-14,91.16,92.96
2003-08-15,93.1,92.98
2003-08-18,93.16,95.23
2003-08-19,95.25,96.08
2003-08-20,96.0,94.22
2003-08-21,96.7,97.11
2003-08-22,96.72,94.84
2003-08-25,94.0,94.22
2003-08-26,94.22,95.4
2003-08-27,95.2,94.69
2003-08-28,94.61,95.33
2003-08-29,94.84,95.48
2003-09-02,95.7,95.65
2003-09-03,95.88,95.98
2003-09-04,96.15,95.27
2003-09-05,94.6,94.28
2003-09-08,94.49,95.0
2003-09-09,95.25,94.1
2003-09-10,93.43,92.8
2003-09-11,93.03,92.93
2003-09-12,92.93,93.08
2003-09-15,93.0,93.86
2003-09-16,94.25,94.84
2003-09-17,94.88,94.75
2003-09-18,94.5,94.52
2003-09-19,94.3,93.24
2003-09-22,92.6,91.49
2003-09-23,89.3,87.96
2003-09-24,87.96,86.0
2003-09-25,86.0,84.92
2003-09-26,85.5,86.15
2003-09-29,87.1,86.66
2003-09-30,86.3,86.22
2003-10-01,86.0,87.29
2003-10-02,86.9,86.39
2003-10-03,86.39,86.45
2003-10-06,86.6,85.85
2003-10-07,85.6,86.29
2003-10-08,86.29,85.69
2003-10-09,86.2,86.24
2003-10-10,86.24,85.57
2003-10-13,86.05,85.4
2003-10-14,85.43,86.14
2003-10-15,86.14,85.5
2003-10-16,85.39,84.75
2003-10-17,85.5,86.33
2003-10-20,86.33,86.43
2003-10-21,86.0,86.55
2003-10-22,86.55,85.88
2003-10-23,85.89,86.68
2003-10-24,86.68,86.92
2003-10-27,86.92,86.86
2003-10-28,86.86,87.5
2003-10-29,88.52,90.36
2003-10-30,90.36,89.99
2003-10-31,89.99,89.4
2003-11-03,89.4,89.29
2003-11-04,89.29,88.73
2003-11-05,88.73,88.92
2003-11-06,87.88,87.9
2003-11-07,88.25,89.05
2003-11-10,89.15,88.95
2003-11-11,88.85,89.39
2003-11-12,89.39,90.18
2003-11-13,90.05,91.41
2003-11-14,91.41,91.18
2003-11-17,90.85,90.72
2003-11-18,90.5,90.59
2003-11-19,90.35,91.87
2003-11-20,91.88,92.78
2003-11-21,92.65,93.25
2003-11-24,93.25,93.06
2003-11-25,93.0,92.81
2003-11-26,92.95,92.93
2003-11-28,92.77,92.63
2003-12-01,93.0,92.42
2003-12-02,92.15,91.57
2003-12-03,92.2,91.88
2003-12-04,93.3,94.36
2003-12-05,93.8,93.06
2003-12-08,92.8,94.3
2003-12-09,94.55,93.19
2003-12-10,93.12,93.32
2003-12-11,93.3,93.43
2003-12-12,93.43,93.46
2003-12-15,93.85,91.73
2003-12-16,91.98,92.86
2003-12-17,92.84,92.82
2003-12-18,92.6,93.19
2003-12-19,93.8,93.01
2003-12-22,93.21,93.45
2003-12-23,93.1,92.55
2003-12-24,92.55,94.15
2003-12-26,94.3,94.47
2003-12-29,94.58,95.04
2003-12-30,95.23,94.97
2003-12-31,94.97,95.6
2004-01-02,95.35,94.68
2004-01-05,94.5,95.09
2004-01-06,95.1,95.61
2004-01-07,95.61,96.52
2004-01-08,96.52,96.88
