date,open,close
2003-01-02,36.65,37.1
2003-01-03,38.0,38.48
2003-01-06,38.48,39.02
2003-01-07,38.29,38.23
2003-01-08,38.24,38.4
2003-01-09,38.4,38.66
2003-01-10,38.4,38.69
2003-01-13,38.69,38.46
2003-01-14,38.4,38.85
2003-01-15,38.3,38.0
2003-01-16,38.1,37.87
2003-01-17,37.7,37.74
2003-01-21,37.75,37.12
2003-01-22,36.87,36.82
2003-01-23,36.95,37.1
2003-01-24,37.12,36.36
2003-01-27,35.48,34.77
2003-01-28,34.4,34.54
2003-01-29,34.4,34.54
2003-01-30,37.2,36.5
2003-01-31,36.5,37.08
2003-02-03,36.52,36.59
2003-02-04,36.4,36.31
2003-02-05,36.32,36.25
2003-02-06,35.97,35.45
2003-02-07,35.71,35.78
2003-02-10,35.82,35.77
2003-02-11,36.4,36.2
2003-02-12,36.0,35.3
2003-02-13,35.5,35.58
2003-02-14,35.8,36.22
2003-02-18,35.75,35.83
2003-02-19,35.4,35.27
2003-02-20,35.75,35.19
2003-02-21,35.28,35.65
2003-02-24,35.25,35.25
2003-02-25,35.15,35.85
2003-02-26,35.58,36.04
2003-02-27,35.91,36.1
2003-02-28,36.19,36.58
2003-03-03,37.15,37.19
2003-03-04,36.58,36.18
2003-03-05,35.62,36.27
2003-03-06,35.68,35.73
2003-03-07,35.65,36.25
2003-03-10,36.0,35.17
2003-03-11,35.15,34.95
2003-03-12,34.52,34.88
2003-03-13,34.53,34.75
2003-03-14,34.97,35.05
2003-03-17,35.26,36.09
2003-03-18,36.3,36.09
2003-03-19,36.96,37.35
2003-03-20,38.0,38.37
2003-03-21,38.9,38.85
2003-03-24,37.96,37.47
2003-03-25,37.75,37.98
2003-03-26,37.45,37.43
2003-03-27,37.3,37.4
2003-03-28,37.55,37.72
2003-03-31,37.0,37.06
2003-04-01,36.67,36.71
2003-04-02,37.34,37.73
2003-04-03,37.8,37.76
2003-04-04,38.35,38.29
2003-04-07,38.89,38.65
2003-04-08,38.65,39.15
2003-04-09,39.2,38.9
2003-04-10,38.58,38.5
2003-04-11,38.65,38.4
2003-04-14,38.59,38.38
2003-04-15,38.56,39.4
2003-04-16,38.85,38.77
2003-04-17,38.9,39.07
2003-04-21,39.07,39.13
2003-04-22,38.93,39.85
2003-04-23,39.95,39.95
2003-04-24,39.72,39.65
2003-04-25,39.2,39.08
2003-04-28,39.3,39.78
2003-04-29,39.25,39.16
2003-04-30,39.25,39.48
2003-05-01,39.4,39.67
2003-05-02,39.33,39.73
2003-05-05,40.22,40.65
2003-05-06,40.9,41.01
2003-05-07,40.77,40.85
2003-05-08,40.65,40.3
2003-05-09,40.55,40.62
