date,open,close
2003-01-02,42.12,43.1
2003-01-03,43.29,43.4
2003-01-06,43.25,42.96
2003-01-07,42.7,42.18
2003-01-08,42.46,42.7
2003-01-09,42.95,43.14
2003-01-10,43.0,42.86
2003-01-13,42.86,43.24
2003-01-14,42.99,43.45
2003-01-15,43.81,42.94
2003-01-16,43.25,43.73
2003-01-17,43.77,43.65
2003-01-21,43.65,43.35
2003-01-22,43.21,42.8
2003-01-23,42.0,41.93
2003-01-24,41.94,41.06
2003-01-27,41.0,40.55
2003-01-28,40.54,40.53
2003-01-29,40.54,40.53
2003-01-30,40.52,38.71
2003-01-31,38.82,40.48
2003-02-03,40.28,40.74
2003-02-04,40.73,41.2
2003-02-05,41.75,41.08
2003-02-06,40.75,40.22
2003-02-07,40.22,39.01
2003-02-10,38.8,39.25
2003-02-11,39.35,38.39
2003-02-12,38.61,38.41
2003-02-13,38.29,38.9
2003-02-14,39.52,39.86
2003-02-18,40.21,40.24
2003-02-19,40.24,40.05
2003-02-20,40.05,39.36
2003-02-21,39.6,39.4
2003-02-24,39.4,38.83
2003-02-25,38.25,38.84
2003-02-26,38.84,38.24
2003-02-27,38.4,38.22
2003-02-28,38.35,38.32
2003-03-03,38.47,38.11
2003-03-04,37.8,38.05
2003-03-05,38.05,37.3
2003-03-06,37.05,37.65
2003-03-07,37.05,38.5
2003-03-10,38.4,37.77
2003-03-11,37.62,37.7
2003-03-12,37.25,37.73
2003-03-13,38.23,38.86
2003-03-14,39.02,39.0
2003-03-17,38.75,40.4
2003-03-18,40.4,40.21
2003-03-19,40.07,40.46
2003-03-20,39.95,40.15
2003-03-21,40.81,41.5
2003-03-24,40.84,40.08
2003-03-25,40.0,40.1
2003-03-26,40.07,39.82
2003-03-27,39.5,40.29
2003-03-28,39.85,39.9
2003-03-31,39.65,40.0
2003-04-01,40.0,39.98
2003-04-02,40.15,39.7
2003-04-03,39.51,38.17
2003-04-04,38.5,38.64
2003-04-07,39.08,38.92
2003-04-08,39.1,39.23
2003-04-09,40.06,39.39
2003-04-10,39.75,39.79
2003-04-11,40.15,40.27
2003-04-14,40.0,40.97
2003-04-15,41.0,40.57
2003-04-16,40.75,39.9
2003-04-17,40.751,42.54
2003-04-21,42.5,41.84
2003-04-22,41.96,42.3
2003-04-23,42.88,43.0
2003-04-24,42.8,43.33
2003-04-25,43.23,42.65
2003-04-28,42.94,43.45
2003-04-29,43.25,43.44
2003-04-30,42.95,43.28
2003-05-01,43.17,43.76
2003-05-02,43.28,43.43
2003-05-05,43.3,43.28
2003-05-06,43.16,43.39
2003-05-07,43.45,43.31
2003-05-08,43.47,43.1
2003-05-09,43.18,43.69
2003-05-12,43.6,43.68
2003-05-13,43.4,43.47
2003-05-14,43.45,43.37
2003-05-15,43.49,43.77
2003-05-16,43.77,43.3
2003-05-19,43.31,42.98
2003-05-20,42.98,43.0
2003-05-21,43.0,43.3
2003-05-22,43.0,43.73
2003-05-23,43.62,43.56
2003-05-27,43.5,44.18
2003-05-28,44.22,43.55
2003-05-29,43.65,43.74
2003-05-30,43.97,44.2
2003-06-02,44.72,44.1
2003-06-03,44.24,44.23
2003-06-04,44.2,44.87
2003-06-05,44.57,44.52
2003-06-06,44.52,44.3
2003-06-09,44.17,44.02
2003-06-10,44.02,44.38
2003-06-11,44.06,44.43
2003-06-12,44.49,44.6
2003-06-13,44.5,44.74
2003-06-16,44.6,45.5
2003-06-17,45.42,44.88
2003-06-18,44.46,44.96
2003-06-19,44.78,44.61
2003-06-20,44.7,44.43
2003-06-23,44.32,44.17
2003-06-24,44.01,43.94
2003-06-25,43.67,43.55
