date,open,close
2003-01-02,86.1,87.81
2003-01-03,87.65,86.85
2003-01-06,87.1,87.84
2003-01-07,87.07,86.49
2003-01-08,86.4,85.2
2003-01-09,85.4,85.78
2003-01-10,85.78,86.13
2003-01-13,86.13,86.19
2003-01-14,85.8,86.36
2003-01-15,86.28,85.9
2003-01-16,86.23,86.87
2003-01-17,86.87,87.04
2003-01-21,87.08,86.01
2003-01-22,85.79,85.13
2003-01-23,84.75,85.43
2003-01-24,85.0,84.22
2003-01-27,84.1,83.05
2003-01-28,84.24,85.0
2003-01-29,84.24,85.0
2003-01-30,85.45,84.5
2003-01-31,84.3,85.57
2003-02-03,85.56,85.72
2003-02-04,85.15,85.91
2003-02-05,85.91,85.3
2003-02-06,85.1,84.85
2003-02-07,84.86,83.98
2003-02-10,84.35,84.87
2003-02-11,84.88,83.19
2003-02-12,83.25,83.32
2003-02-13,83.1,82.7
2003-02-14,82.7,83.7
2003-02-18,83.9,84.61
2003-02-19,84.35,84.0
2003-02-20,83.9,83.45
2003-02-21,84.15,84.24
2003-02-24,83.7,82.89
2003-02-25,82.3,83.08
2003-02-26,82.9,82.55
2003-02-27,82.72,82.6
2003-02-28,82.6,81.86
2003-03-03,82.35,80.82
2003-03-04,81.0,79.89
2003-03-05,79.75,80.99
2003-03-06,80.31,80.15
2003-03-07,80.16,80.96
2003-03-10,80.76,79.79
2003-03-11,79.76,80.7
2003-03-12,80.71,81.95
2003-03-13,82.75,83.48
2003-03-14,83.69,83.4
2003-03-17,83.23,85.5
2003-03-18,85.5,86.62
2003-03-19,86.62,87.92
2003-03-20,87.51,88.0
2003-03-21,88.65,88.9
2003-03-24,88.0,87.56
2003-03-25,87.57,88.02
2003-03-26,88.03,88.33
2003-03-27,87.8,88.78
2003-03-28,88.78,88.64
2003-03-31,88.5,89.05
2003-04-01,89.05,89.52
2003-04-02,89.98,90.12
2003-04-03,90.11,89.44
2003-04-04,88.8,90.15
2003-04-07,90.41,89.41
2003-04-08,89.02,89.9
2003-04-09,89.2,89.29
2003-04-10,89.29,88.77
2003-04-11,89.15,89.2
2003-04-14,89.2,89.95
2003-04-15,89.4,89.88
2003-04-16,89.69,89.1
2003-04-17,89.1,89.26
2003-04-21,89.55,89.43
2003-04-22,88.85,91.13
2003-04-23,90.88,90.55
2003-04-24,89.2,89.87
2003-04-25,89.3,89.14
2003-04-28,89.38,90.69
2003-04-29,90.6,90.85
2003-04-30,89.91,89.85
2003-05-01,90.08,89.87
2003-05-02,89.4,90.15
2003-05-05,90.0,90.14
2003-05-06,89.84,89.7
2003-05-07,89.71,89.85
2003-05-08,89.15,89.12
2003-05-09,89.13,89.5
2003-05-12,89.25,88.88
2003-05-13,88.75,87.81
2003-05-14,88.49,88.6
2003-05-15,89.0,89.9
2003-05-16,89.97,90.32
2003-05-19,90.11,90.03
2003-05-20,89.97,89.35
2003-05-21,88.85,89.43
2003-05-22,89.43,89.58
2003-05-23,89.12,89.8
2003-05-27,89.8,91.11
2003-05-28,91.12,91.78
2003-05-29,91.65,91.13
2003-05-30,91.13,91.82
2003-06-02,91.83,91.32
2003-06-03,91.42,92.05
2003-06-04,92.05,92.37
2003-06-05,91.76,91.38
2003-06-06,91.2,90.8
2003-06-09,90.71,90.57
2003-06-10,90.58,90.6
2003-06-11,90.82,90.5
2003-06-12,90.95,90.82
2003-06-13,91.3,91.17
2003-06-16,91.6,92.4
2003-06-17,92.28,91.89
2003-06-18,91.89,91.54
2003-06-19,91.5,90.41
2003-06-20,90.85,91.23
2003-06-23,91.03,91.5
2003-06-24,91.0,92.38
2003-06-25,91.98,90.69
2003-06-26,90.69,90.28
2003-06-27,90.28,89.17
2003-06-30,89.42,89.18
2003-07-01,89.04,89.96
2003-07-02,89.98,90.11
2003-07-03,90.0,89.96
2003-07-07,90.1,90.79
2003-07-08,90.45,90.1
2003-07-09,89.95,88.5
2003-07-10,88.5,88.35
2003-07-11,88.34,88.56
2003-07-14,88.6,88.34
2003-07-15,88.19,88.75
2003-07-16,88.0,88.58
2003-07-17,88.5,88.14
2003-07-18,88.93,89.8
2003-07-21,89.55,89.16
2003-07-22,89.05,89.5
2003-07-23,89.93,88.9
2003-07-24,89.17,88.23
2003-07-25,87.95,89.55
2003-07-28,89.14,88.31
2003-07-29,88.05,87.1
2003-07-30,87.9,87.75
2003-07-31,88.95,87.87
2003-08-01,88.0,86.7
2003-08-04,86.95,87.84
2003-08-05,88.25,87.53
2003-08-06,87.7,88.8
2003-08-07,89.0,88.2
2003-08-08,88.8,89.08
2003-08-11,89.04,89.12
2003-08-12,89.5,89.41
2003-08-13,89.65,89.11
2003-08-14,89.46,88.97
2003-08-15,89.35,89.12
2003-08-18,89.65,88.4
2003-08-19,88.4,87.8
2003-08-20,87.84,87.38
2003-08-21,87.38,86.7
2003-08-22,87.06,86.71
2003-08-25,86.65,87.18
2003-08-26,86.88,87.67
2003-08-27,87.15,87.25
2003-08-28,87.12,87.4
2003-08-29,86.97,87.29
2003-09-02,87.16,88.08
2003-09-03,88.1,88.8
2003-09-04,90.0,91.43
2003-09-05,91.43,90.98
2003-09-08,90.6,91.62
2003-09-09,91.1,91.15
2003-09-10,91.16,90.96
2003-09-11,91.15,91.55
2003-09-12,91.25,91.91
2003-09-15,91.47,91.74
2003-09-16,91.5,92.59
2003-09-17,92.18,92.5
2003-09-18,92.3,93.25
2003-09-19,93.25,92.67
2003-09-22,92.0,92.19
2003-09-23,92.0,92.31
2003-09-24,92.6,92.37
2003-09-25,92.37,92.16
2003-09-26,92.0,91.72
2003-09-29,91.75,92.9
2003-09-30,92.75,92.82
2003-10-01,92.82,93.98
2003-10-02,93.55,94.48
2003-10-03,94.45,94.9
2003-10-06,94.7,94.01
2003-10-07,94.01,95.1
2003-10-08,94.6,94.98
2003-10-09,95.48,94.99
2003-10-10,94.8,95.59
2003-10-13,95.5,95.5
2003-10-14,95.28,95.99
2003-10-15,95.65,95.63
2003-10-16,95.64,96.29
2003-10-17,96.5,96.2
2003-10-20,96.0,95.98
2003-10-21,96.23,95.72
2003-10-22,94.73,95.26
2003-10-23,95.26,95.15
2003-10-24,94.69,96.06
2003-10-27,96.1,96.8
2003-10-28,97.25,97.5
2003-10-29,97.5,97.26
2003-10-30,97.26,97.93
2003-10-31,97.93,98.29
2003-11-03,97.85,97.5
2003-11-04,97.5,97.35
2003-11-05,97.1,97.31
2003-11-06,96.85,97.56
2003-11-07,97.56,96.81
2003-11-10,96.7,96.0
2003-11-11,96.01,95.93
2003-11-12,95.52,97.0
2003-11-13,96.0,96.35
2003-11-14,96.07,95.71
2003-11-17,95.44,96.04
