date,open,close
2003-01-02,22.15,22.7
2003-01-03,22.48,22.55
2003-01-06,22.6,22.97
2003-01-07,22.97,22.82
2003-01-08,22.82,22.68
2003-01-09,22.85,23.19
2003-01-10,23.25,23.13
2003-01-13,23.3,23.28
2003-01-14,23.3,23.25
2003-01-15,23.35,23.0
2003-01-16,23.15,23.24
2003-01-17,23.0,23.1
2003-01-21,23.25,22.69
2003-01-22,22.71,23.0
2003-01-23,23.1,23.01
2003-01-24,23.01,22.18
2003-01-27,22.19,21.8
2003-01-28,22.1,22.06
2003-01-29,21.9,22.02
2003-01-30,21.94,21.7
2003-01-31,21.7,22.53
2003-02-03,22.53,22.07
2003-02-04,22.08,21.93
2003-02-05,21.94,22.06
2003-02-06,22.55,22.34
2003-02-07,22.48,22.2
2003-02-10,22.2,22.29
2003-02-11,22.3,22.31
2003-02-12,22.43,22.27
2003-02-13,22.28,22.31
2003-02-14,22.3,22.91
2003-02-18,23.07,23.35
2003-02-19,23.15,22.8
2003-02-20,22.7,22.67
2003-02-21,22.8,23.02
2003-02-24,22.75,22.05
2003-02-25,21.9,22.32
2003-02-26,22.25,22.28
2003-02-27,22.32,22.64
2003-02-28,22.6,22.69
2003-03-03,23.05,22.73
2003-03-04,22.83,22.53
2003-03-05,22.33,22.45
2003-03-06,22.45,22.24
2003-03-07,22.13,22.35
2003-03-10,22.26,21.68
2003-03-11,21.28,20.85
2003-03-12,20.64,20.81
2003-03-13,21.3,21.52
2003-03-14,21.58,21.65
2003-03-17,21.63,22.39
2003-03-18,22.65,22.4
2003-03-19,22.6,22.75
2003-03-20,22.75,22.75
2003-03-21,22.95,23.32
2003-03-24,23.07,22.5
2003-03-25,22.4,22.33
2003-03-26,22.23,22.1
2003-03-27,22.11,21.91
2003-03-28,21.91,21.02
2003-03-31,20.7,20.51
2003-04-01,20.2,20.55
2003-04-02,20.85,21.02
2003-04-03,20.98,20.65
2003-04-04,20.57,20.68
2003-04-07,20.9,20.65
2003-04-08,20.72,20.18
