date,open,close
2003-01-02,31.1,31.58
2003-01-03,31.58,31.6
2003-01-06,31.7,31.99
2003-01-07,31.99,31.41
2003-01-08,31.1,31.52
2003-01-09,31.51,31.01
2003-01-10,30.6,31.42
2003-01-13,30.14,29.85
2003-01-14,29.9,29.94
2003-01-15,29.95,29.84
2003-01-16,30.0,30.16
2003-01-17,30.15,31.1
2003-01-21,31.0,30.3
2003-01-22,30.31,28.85
2003-01-23,29.15,28.55
2003-01-24,28.56,30.16
2003-01-27,29.8,29.22
2003-01-28,29.25,29.86
2003-01-29,29.25,29.86
2003-01-30,29.87,29.55
2003-01-31,29.9,30.09
2003-02-03,30.1,30.0
2003-02-04,29.99,30.18
2003-02-05,30.38,30.29
2003-02-06,30.04,29.71
2003-02-07,29.88,29.53
2003-02-10,29.57,29.73
2003-02-11,29.57,29.47
2003-02-12,29.22,28.79
2003-02-13,28.83,28.46
2003-02-14,28.53,28.98
2003-02-18,28.98,28.72
2003-02-19,28.76,29.0
2003-02-20,28.89,28.14
2003-02-21,28.07,27.94
2003-02-24,27.93,27.36
2003-02-25,27.03,27.6
2003-02-26,27.62,27.47
2003-02-27,27.47,27.45
2003-02-28,27.45,27.08
2003-03-03,27.09,27.37
2003-03-04,27.3,27.54
2003-03-05,27.18,26.91
2003-03-06,25.41,25.42
2003-03-07,24.77,25.2
2003-03-10,25.15,24.83
2003-03-11,24.83,24.55
2003-03-12,24.4,25.12
2003-03-13,25.35,25.88
2003-03-14,26.2,26.11
2003-03-17,26.5,27.68
2003-03-18,28.1,28.16
2003-03-19,28.45,28.35
2003-03-20,28.6,28.07
2003-03-21,28.57,27.79
2003-03-24,28.15,27.69
2003-03-25,27.8,28.07
2003-03-26,28.29,27.95
2003-03-27,27.75,28.85
2003-03-28,28.8,28.88
2003-03-31,28.1,28.37
2003-04-01,28.65,28.88
2003-04-02,29.64,28.96
2003-04-03,29.35,28.99
2003-04-04,28.98,28.76
2003-04-07,28.76,28.31
2003-04-08,28.31,28.55
2003-04-09,28.55,28.3
2003-04-10,28.25,27.98
2003-04-11,27.98,27.37
2003-04-14,27.45,27.96
2003-04-15,27.9,28.04
2003-04-16,28.35,27.99
2003-04-17,28.05,28.98
2003-04-21,29.0,28.83
2003-04-22,29.0,29.75
2003-04-23,29.74,30.3
2003-04-24,30.15,30.4
2003-04-25,30.32,29.91
2003-04-28,29.85,30.35
2003-04-29,30.22,30.19
2003-04-30,30.0,29.93
2003-05-01,29.8,29.51
2003-05-02,29.45,29.88
2003-05-05,29.76,29.5
2003-05-06,29.5,29.95
2003-05-07,29.85,30.15
2003-05-08,29.95,29.98
2003-05-09,29.98,30.51
2003-05-12,31.7,31.62
2003-05-13,31.72,31.67
2003-05-14,31.67,31.74
2003-05-15,31.69,32.17
2003-05-16,32.1,32.35
2003-05-19,32.25,31.75
2003-05-20,31.85,31.58
2003-05-21,31.5,31.45
2003-05-22,31.65,31.66
2003-05-23,31.82,31.86
2003-05-27,31.76,31.88
2003-05-28,31.88,31.73
2003-05-29,31.93,31.48
2003-05-30,31.7,32.04
2003-06-02,32.29,32.25
2003-06-03,32.2,31.71
2003-06-04,31.9,31.92
2003-06-05,31.62,32.11
2003-06-06,32.3,32.59
2003-06-09,32.29,31.81
2003-06-10,31.88,31.84
2003-06-11,32.0,32.21
2003-06-12,32.5,32.34
2003-06-13,32.24,31.73
2003-06-16,31.9,32.1
2003-06-17,32.1,32.7
2003-06-18,32.7,32.78
2003-06-19,32.6,32.41
2003-06-20,32.8,33.06
2003-06-23,33.09,32.72
2003-06-24,32.75,33.14
2003-06-25,33.1,33.22
2003-06-26,33.12,32.66
2003-06-27,32.9,32.6
2003-06-30,32.6,32.84
2003-07-01,32.65,33.25
2003-07-02,33.05,33.16
2003-07-03,33.16,32.86
2003-07-07,33.0,32.85
2003-07-08,32.5,32.59
2003-07-09,32.62,32.58
2003-07-10,32.58,32.53
2003-07-11,32.7,32.57
2003-07-14,32.9,32.28
2003-07-15,32.28,32.34
