date,open,close
2003-01-02,20.22,21.16
2003-01-03,21.99,22.16
2003-01-06,22.24,23.09
2003-01-07,23.0,23.25
2003-01-08,22.4,22.49
2003-01-09,23.77,24.15
2003-01-10,23.9,25.0
2003-01-13,25.06,24.1
2003-01-14,24.23,24.3
2003-01-15,24.42,24.1
2003-01-16,23.8,23.68
2003-01-17,22.5,22.68
2003-01-21,22.58,22.3
2003-01-22,22.14,22.7
2003-01-23,23.75,24.17
2003-01-24,23.59,22.62
2003-01-27,22.27,22.81
2003-01-28,22.49,23.4
2003-01-29,22.7,22.95
2003-01-30,22.79,22.91
2003-01-31,22.75,23.5
2003-02-03,23.34,23.66
2003-02-04,23.04,23.1
2003-02-05,23.15,23.29
2003-02-06,23.23,23.21
2003-02-07,23.56,23.16
2003-02-10,22.86,22.9
2003-02-11,23.13,23.05
2003-02-12,23.13,23.11
2003-02-13,23.19,23.27
2003-02-14,23.33,22.66
2003-02-18,23.02,23.35
2003-02-19,23.2,22.85
2003-02-20,22.91,23.17
2003-02-21,22.85,22.98
2003-02-24,22.9,22.87
2003-02-25,22.11,22.5
2003-02-26,21.97,21.7
2003-02-27,21.11,20.74
2003-02-28,21.17,20.9
2003-03-03,21.1,20.51
2003-03-04,19.89,19.4
2003-03-05,19.65,19.29
2003-03-06,19.2,19.61
2003-03-07,19.41,19.5
2003-03-10,19.08,18.46
2003-03-11,18.92,18.81
2003-03-12,18.87,18.85
2003-03-13,19.3,19.98
2003-03-14,20.6,20.53
2003-03-17,20.13,21.19
2003-03-18,21.27,21.05
2003-03-19,20.39,20.07
2003-03-20,20.13,20.84
2003-03-21,20.66,20.84
2003-03-24,19.85,19.6
2003-03-25,19.5,19.77
2003-03-26,20.05,19.78
2003-03-27,19.72,20.0
2003-03-28,19.6,19.39
2003-03-31,18.85,18.96
2003-04-01,19.1,19.18
2003-04-02,20.3,20.8
2003-04-03,20.629,20.56
2003-04-04,20.56,19.95
2003-04-07,20.7,20.75
2003-04-08,20.75,20.9
2003-04-09,21.28,21.05
2003-04-10,20.92,21.0
2003-04-11,21.96,22.0
2003-04-14,22.47,22.82
2003-04-15,23.53,24.03
2003-04-16,24.4,23.9
2003-04-17,24.2,25.72
2003-04-21,25.6,25.58
2003-04-22,25.0,25.99
2003-04-23,25.0,25.27
2003-04-24,24.61,24.85
2003-04-25,24.2,23.92
2003-04-28,24.06,24.93
2003-04-29,25.01,25.26
2003-04-30,25.46,25.51
2003-05-01,25.45,26.04
2003-05-02,25.8,27.0
2003-05-05,27.17,27.03
2003-05-06,26.67,27.5
2003-05-07,26.94,26.88
2003-05-08,26.25,26.35
2003-05-09,26.33,26.92
2003-05-12,26.1,26.43
2003-05-13,26.17,26.09
2003-05-14,26.08,26.21
2003-05-15,26.24,26.27
2003-05-16,26.27,26.1
2003-05-19,25.76,24.68
2003-05-20,25.35,24.95
2003-05-21,24.97,25.34
2003-05-22,25.4,25.8
2003-05-23,25.82,25.9
2003-05-27,25.86,26.75
2003-05-28,27.21,27.4
2003-05-29,27.65,27.58
2003-05-30,27.94,28.48
2003-06-02,28.68,28.63
