date,open,close
2003-01-02,41.42,42.4
2003-01-03,42.17,42.14
2003-01-06,42.19,42.79
2003-01-07,42.1,41.93
2003-01-08,41.63,41.56
2003-01-09,42.87,43.31
2003-01-10,42.56,42.88
2003-01-13,43.19,43.01
2003-01-14,42.98,42.95
2003-01-15,42.5,42.38
2003-01-16,42.26,42.39
2003-01-17,42.4,42.54
2003-01-21,42.7,42.61
2003-01-22,42.07,42.16
2003-01-23,42.87,42.93
2003-01-24,42.32,41.78
2003-01-27,41.0,41.05
2003-01-28,41.05,41.15
2003-01-29,40.5,40.81
2003-01-30,40.4,39.89
2003-01-31,39.43,39.95
2003-02-03,39.95,40.0
2003-02-04,39.45,39.39
2003-02-05,39.25,39.3
2003-02-06,38.98,38.7
2003-02-07,38.69,38.58
2003-02-10,38.38,38.58
2003-02-11,38.51,38.35
2003-02-12,38.55,38.55
2003-02-13,38.28,38.13
2003-02-14,38.43,39.17
2003-02-18,39.17,39.37
2003-02-19,39.6,39.36
2003-02-20,39.4,39.56
2003-02-21,38.96,39.07
2003-02-24,38.95,38.46
2003-02-25,38.0,38.2
2003-02-26,38.06,38.09
2003-02-27,38.1,38.11
2003-02-28,38.15,37.97
2003-03-03,38.14,37.94
2003-03-04,38.04,37.69
2003-03-05,37.55,37.88
2003-03-06,36.8,36.79
2003-03-07,36.0,36.42
2003-03-10,36.1,35.69
2003-03-11,35.03,34.86
2003-03-12,35.0,35.68
2003-03-13,35.18,36.0
2003-03-14,36.04,36.16
2003-03-17,36.16,36.84
2003-03-18,36.89,36.79
2003-03-19,36.42,36.86
2003-03-20,37.1,37.65
2003-03-21,37.4,38.17
2003-03-24,37.4,37.16
2003-03-25,36.91,37.31
2003-03-26,37.2,37.24
2003-03-27,37.25,37.36
2003-03-28,36.6,36.76
2003-03-31,35.4,35.13
2003-04-01,35.0,35.2
2003-04-02,35.63,35.51
2003-04-03,35.2,34.97
2003-04-04,34.74,34.79
2003-04-07,35.15,34.89
2003-04-08,34.45,34.16
2003-04-09,33.7,33.26
2003-04-10,32.86,32.99
2003-04-11,31.69,31.69
2003-04-14,31.85,32.38
2003-04-15,32.49,32.49
2003-04-16,32.69,32.74
2003-04-17,32.84,32.99
2003-04-21,32.5,32.35
2003-04-22,31.7,32.15
2003-04-23,30.97,31.33
2003-04-24,28.7,27.25
2003-04-25,27.26,23.92
2003-04-28,23.16,24.0
2003-04-29,24.5,24.53
2003-04-30,24.75,24.74
2003-05-01,24.36,24.35
2003-05-02,24.2,24.65
2003-05-05,24.8,24.85
2003-05-06,25.35,25.55
2003-05-07,25.39,25.09
2003-05-08,24.77,24.74
2003-05-09,24.24,24.53
2003-05-12,24.64,25.12
2003-05-13,25.23,25.52
2003-05-14,26.15,26.12
2003-05-15,25.64,25.62
2003-05-16,25.2,25.12
2003-05-19,24.55,24.99
2003-05-20,24.82,24.85
2003-05-21,24.75,24.88
2003-05-22,25.0,25.26
2003-05-23,25.8,26.01
2003-05-27,25.56,26.1
2003-05-28,25.75,26.35
2003-05-29,26.5,26.81
2003-05-30,27.11,27.34
2003-06-02,28.0,27.84
2003-06-03,27.88,28.24
2003-06-04,28.49,28.68
2003-06-05,28.75,29.27
2003-06-06,29.7,29.5
2003-06-09,29.76,29.3
2003-06-10,29.01,29.0
2003-06-11,29.16,29.64
2003-06-12,29.89,29.63
2003-06-13,29.42,29.0
2003-06-16,28.5,29.07
2003-06-17,29.6,29.5
2003-06-18,29.45,29.65
2003-06-19,29.66,29.49
2003-06-20,29.69,29.48
2003-06-23,29.09,28.76
2003-06-24,28.25,28.36
2003-06-25,27.9,28.11
2003-06-26,27.62,28.11
2003-06-27,28.07,27.99
2003-06-30,28.38,28.0
2003-07-01,28.4,29.23
2003-07-02,30.3,31.41
2003-07-03,31.41,31.55
2003-07-07,32.96,33.14
2003-07-08,33.02,33.13
2003-07-09,33.05,33.03
2003-07-10,32.28,32.07
2003-07-11,31.38,32.02
2003-07-14,33.6,33.89
2003-07-15,34.3,33.46
2003-07-16,33.57,33.47
2003-07-17,32.5,31.9
2003-07-18,32.0,32.18
2003-07-21,32.31,31.67
2003-07-22,31.52,32.16
2003-07-23,31.9,31.41
2003-07-24,31.07,31.61
2003-07-25,31.2,31.95
2003-07-28,32.0,32.21
2003-07-29,32.35,31.61
2003-07-30,31.16,30.78
2003-07-31,31.18,31.2
2003-08-01,31.18,30.74
2003-08-04,30.21,30.25
2003-08-05,30.13,29.79
2003-08-06,29.72,29.73
2003-08-07,29.73,29.77
2003-08-08,29.86,29.72
2003-08-11,29.9,30.02
2003-08-12,30.25,30.23
2003-08-13,30.55,30.57
2003-08-14,31.0,31.4
2003-08-15,31.25,31.3
2003-08-18,31.42,31.58
2003-08-19,31.8,31.99
2003-08-20,31.99,31.88
2003-08-21,32.35,32.88
2003-08-22,33.22,32.41
2003-08-25,32.46,32.58
2003-08-26,32.08,32.46
2003-08-27,32.05,32.12
2003-08-28,32.19,32.47
2003-08-29,32.75,32.95
2003-09-02,33.7,34.42
2003-09-03,34.31,34.55
2003-09-04,33.65,34.06
2003-09-05,34.06,33.75
2003-09-08,35.83,36.4
2003-09-09,37.05,36.93
2003-09-10,36.85,36.12
2003-09-11,36.12,36.17
2003-09-12,36.95,36.99
2003-09-15,37.1,36.92
2003-09-16,37.28,38.0
2003-09-17,38.1,37.52
2003-09-18,37.85,38.3
2003-09-19,38.0,37.39
2003-09-22,36.4,35.95
2003-09-23,36.08,36.39
2003-09-24,36.96,36.11
2003-09-25,35.69,35.15
2003-09-26,35.5,35.35
2003-09-29,35.13,35.39
2003-09-30,35.35,34.8
2003-10-01,34.84,35.8
2003-10-02,35.25,35.48
2003-10-03,36.75,36.55
2003-10-06,36.55,36.28
2003-10-07,35.97,35.95
2003-10-08,35.25,35.2
2003-10-09,35.22,35.64
2003-10-10,35.64,36.59
2003-10-13,36.83,36.75
2003-10-14,36.5,36.5
2003-10-15,36.4,36.2
2003-10-16,36.73,37.03
2003-10-17,38.0,37.4
2003-10-20,37.6,37.85
2003-10-21,37.9,37.96
2003-10-22,37.2,37.15
2003-10-23,34.75,34.49
2003-10-24,34.7,34.29
2003-10-27,35.06,35.43
2003-10-28,35.6,36.74
2003-10-29,36.7,35.92
2003-10-30,36.2,35.2
2003-10-31,35.0,35.2
2003-11-03,35.7,35.5
2003-11-04,35.82,35.7
2003-11-05,36.55,36.77
2003-11-06,35.9,35.92
2003-11-07,36.15,36.16
2003-11-10,36.69,36.52
2003-11-11,35.68,35.95
2003-11-12,35.93,36.35
2003-11-13,36.15,36.09
2003-11-14,35.66,35.05
2003-11-17,34.62,34.73
2003-11-18,35.23,35.0
2003-11-19,34.12,34.37
2003-11-20,34.15,33.65
2003-11-21,34.14,33.88
2003-11-24,34.17,34.7
2003-11-25,33.89,33.85
2003-11-26,33.96,34.36
2003-11-28,34.41,34.35
2003-12-01,34.0,34.02
2003-12-02,34.14,34.15
2003-12-03,34.35,34.37
2003-12-04,34.5,34.02
2003-12-05,34.02,33.59
2003-12-08,33.44,33.81
2003-12-09,33.6,33.08
2003-12-10,32.73,32.59
2003-12-11,32.65,33.19
2003-12-12,33.4,33.27
2003-12-15,34.0,33.52
2003-12-16,33.28,33.5
2003-12-17,33.17,33.35
2003-12-18,33.4,33.75
2003-12-19,34.06,34.05
2003-12-22,34.19,34.24
2003-12-23,34.19,34.35
2003-12-24,34.4,34.31
2003-12-26,34.26,34.3
2003-12-29,34.2,34.4
2003-12-30,34.45,34.71
2003-12-31,34.5,34.67
2004-01-02,34.89,34.98
2004-01-05,35.41,35.84
2004-01-06,35.85,35.54
2004-01-07,35.8,35.9
