date,open,close
2003-01-02,30.05,31.04
2003-01-03,30.26,30.25
2003-01-06,30.09,30.95
2003-01-07,30.04,29.9
2003-01-08,29.32,29.08
2003-01-09,29.28,29.99
2003-01-10,29.56,29.95
2003-01-13,29.95,29.65
2003-01-14,29.35,29.6
2003-01-15,29.15,28.98
2003-01-16,28.63,28.6
2003-01-17,28.09,27.78
2003-01-21,27.34,27.1
2003-01-22,26.85,26.7
2003-01-23,26.75,26.81
2003-01-24,26.27,25.6
2003-01-27,25.12,24.96
2003-01-28,24.6,24.85
2003-01-29,24.6,24.85
2003-01-30,26.39,26.54
2003-01-31,25.94,26.75
2003-02-03,26.2,26.26
2003-02-04,25.7,25.46
2003-02-05,25.07,25.13
2003-02-06,25.2,25.31
2003-02-07,24.65,24.06
2003-02-10,23.55,23.33
2003-02-11,23.47,23.2
2003-02-12,22.88,23.0
2003-02-13,22.82,22.8
2003-02-14,22.66,23.01
2003-02-18,25.66,26.23
2003-02-19,25.5,25.25
2003-02-20,25.7,25.58
2003-02-21,25.7,27.0
2003-02-24,26.34,26.2
2003-02-25,25.98,26.13
2003-02-26,25.71,25.7
2003-02-27,25.74,25.9
2003-02-28,26.46,26.7
2003-03-03,26.7,27.05
2003-03-04,25.8,25.92
2003-03-05,25.89,26.0
2003-03-06,25.46,25.89
2003-03-07,25.61,25.96
2003-03-10,25.6,24.86
2003-03-11,23.85,24.16
2003-03-12,23.07,23.72
2003-03-13,23.97,24.9
2003-03-14,24.58,25.22
2003-03-17,24.79,26.18
2003-03-18,26.1,25.61
2003-03-19,26.13,26.3
2003-03-20,26.49,26.64
2003-03-21,27.17,27.73
2003-03-24,26.99,26.01
2003-03-25,26.26,26.9
2003-03-26,26.46,26.64
2003-03-27,25.4,26.05
2003-03-28,26.04,26.45
2003-03-31,25.3,25.55
2003-04-01,25.79,26.02
2003-04-02,26.9,27.5
2003-04-03,27.2,27.3
2003-04-04,28.19,28.31
2003-04-07,29.12,28.55
2003-04-08,29.0,29.25
2003-04-09,28.88,28.75
2003-04-10,28.7,28.45
2003-04-11,28.63,28.26
2003-04-14,28.6,29.05
2003-04-15,29.41,29.99
2003-04-16,29.27,28.7
2003-04-17,29.3,29.83
2003-04-21,29.86,29.95
2003-04-22,29.35,29.74
2003-04-23,29.43,29.96
2003-04-24,28.7,28.91
2003-04-25,28.95,28.51
2003-04-28,28.21,29.21
2003-04-29,29.24,29.2
2003-04-30,29.73,30.01
2003-05-01,29.9,30.0
2003-05-02,29.99,30.31
2003-05-05,30.8,31.15
2003-05-06,31.15,31.79
2003-05-07,31.28,31.0
2003-05-08,30.6,30.35
2003-05-09,30.38,31.22
2003-05-12,30.93,31.4
2003-05-13,30.6,31.03
2003-05-14,30.81,30.71
