date,open,close
2003-01-02,53.0,53.81
2003-01-03,53.9,54.07
2003-01-06,54.6,55.16
2003-01-07,54.5,54.43
2003-01-08,52.9,52.98
2003-01-09,53.2,53.6
2003-01-10,52.9,53.1
2003-01-13,52.85,53.19
2003-01-14,52.5,52.86
2003-01-15,52.9,52.65
2003-01-16,52.75,52.7
2003-01-17,52.15,52.09
2003-01-21,52.0,51.13
2003-01-22,50.93,50.69
2003-01-23,51.0,51.5
2003-01-24,51.0,50.63
2003-01-27,50.2,50.02
2003-01-28,50.0,50.27
2003-01-29,50.0,50.27
2003-01-30,48.6,47.7
2003-01-31,47.65,47.8
2003-02-03,48.91,48.9
2003-02-04,49.39,49.5
2003-02-05,50.0,49.7
2003-02-06,49.6,49.38
2003-02-07,49.75,49.5
2003-02-10,49.25,49.15
2003-02-11,49.45,48.86
2003-02-12,48.61,48.87
2003-02-13,48.8,48.7
2003-02-14,49.0,49.52
2003-02-18,49.52,49.18
2003-02-19,49.35,49.36
2003-02-20,49.57,49.67
2003-02-21,48.9,49.04
2003-02-24,48.87,48.59
2003-02-25,48.0,48.46
2003-02-26,48.05,48.38
2003-02-27,48.02,48.19
2003-02-28,47.33,47.48
2003-03-03,48.45,48.48
2003-03-04,48.62,48.45
2003-03-05,48.2,48.66
2003-03-06,47.9,47.45
2003-03-07,47.25,47.51
2003-03-10,47.54,47.15
2003-03-11,46.55,46.15
2003-03-12,46.3,46.99
2003-03-13,46.85,46.82
2003-03-14,46.6,46.62
2003-03-17,46.1,47.18
2003-03-18,46.8,46.94
2003-03-19,46.77,46.91
2003-03-20,47.38,47.5
2003-03-21,47.15,48.02
2003-03-24,48.31,47.93
2003-03-25,47.0,47.52
2003-03-26,47.96,48.35
2003-03-27,47.95,47.81
2003-03-28,46.9,47.02
2003-03-31,44.9,44.95
2003-04-01,45.3,45.71
2003-04-02,45.55,45.86
2003-04-03,44.7,44.54
2003-04-04,44.5,44.35
2003-04-07,45.15,45.15
2003-04-08,44.5,44.19
2003-04-09,44.2,44.06
2003-04-10,43.65,43.63
2003-04-11,41.8,42.16
2003-04-14,41.3,41.96
2003-04-15,42.05,42.52
2003-04-16,42.77,42.38
2003-04-17,43.3,43.75
2003-04-21,44.4,43.95
2003-04-22,43.49,44.09
2003-04-23,44.09,44.31
2003-04-24,44.45,44.03
2003-04-25,42.9,42.82
2003-04-28,42.68,43.17
2003-04-29,43.35,43.61
2003-04-30,44.75,45.28
2003-05-01,44.6,44.71
2003-05-02,44.71,45.3
2003-05-05,47.5,46.3
2003-05-06,46.88,47.15
2003-05-07,47.5,47.53
2003-05-08,47.15,46.78
2003-05-09,47.25,47.22
2003-05-12,47.22,47.42
2003-05-13,47.08,46.84
2003-05-14,46.84,46.5
2003-05-15,46.2,46.15
2003-05-16,46.4,45.95
2003-05-19,45.9,45.53
2003-05-20,45.9,46.09
2003-05-21,45.95,45.65
2003-05-22,45.51,45.8
2003-05-23,45.88,46.0
2003-05-27,45.02,45.7
2003-05-28,45.05,45.18
2003-05-29,45.65,46.04
2003-05-30,47.6,47.68
2003-06-02,48.0,48.4
2003-06-03,48.55,48.45
2003-06-04,49.05,49.89
2003-06-05,49.99,50.22
2003-06-06,51.05,50.55
2003-06-09,51.6,51.67
2003-06-10,51.67,52.02
2003-06-11,52.1,52.97
2003-06-12,53.22,52.88
2003-06-13,52.37,51.88
2003-06-16,51.78,52.3
2003-06-17,52.55,52.82
2003-06-18,52.7,52.85
2003-06-19,52.95,52.86
2003-06-20,53.05,53.26
2003-06-23,53.75,53.08
2003-06-24,51.8,51.4
2003-06-25,51.6,51.4
2003-06-26,51.6,51.9
2003-06-27,51.9,52.03
2003-06-30,52.15,51.8
2003-07-01,52.09,52.23
2003-07-02,52.98,53.75
2003-07-03,54.1,54.31
2003-07-07,55.75,56.6
2003-07-08,56.68,57.38
2003-07-09,58.78,58.95
2003-07-10,58.2,57.92
2003-07-11,55.78,56.02
2003-07-14,55.4,55.64
2003-07-15,55.0,54.38
2003-07-16,53.75,53.35
2003-07-17,52.7,52.22
2003-07-18,52.0,53.4
2003-07-21,52.6,52.26
2003-07-22,52.26,52.5
2003-07-23,52.25,52.65
2003-07-24,52.65,52.27
2003-07-25,52.52,52.79
2003-07-28,52.55,52.38
2003-07-29,51.7,51.25
2003-07-30,51.0,50.82
2003-07-31,50.9,51.3
2003-08-01,50.6,50.6
2003-08-04,50.09,50.08
2003-08-05,50.42,50.3
2003-08-06,50.9,51.45
2003-08-07,51.9,52.18
2003-08-08,51.41,51.45
2003-08-11,52.0,52.25
2003-08-12,52.05,52.2
2003-08-13,53.2,53.3
2003-08-14,54.5,55.63
2003-08-15,55.3,55.42
2003-08-18,55.05,55.28
2003-08-19,55.05,55.3
2003-08-20,55.78,55.66
2003-08-21,57.7,57.55
2003-08-22,56.85,55.93
2003-08-25,55.24,55.45
2003-08-26,55.5,55.83
2003-08-27,55.68,56.5
2003-08-28,55.03,55.5
2003-08-29,55.6,55.39
2003-09-02,56.85,57.1
2003-09-03,57.95,58.52
2003-09-04,58.95,59.55
