date,open,close
2003-01-02,61.6,61.9
2003-01-03,61.18,61.24
2003-01-06,61.61,61.53
2003-01-07,61.14,60.79
2003-01-08,61.2,61.02
2003-01-09,61.05,61.3
2003-01-10,60.79,61.31
2003-01-13,61.45,61.36
2003-01-14,61.26,61.49
2003-01-15,60.25,60.0
2003-01-16,59.82,60.15
2003-01-17,59.5,59.37
2003-01-21,57.49,57.44
2003-01-22,56.79,56.64
2003-01-23,56.37,55.73
2003-01-24,57.48,56.89
2003-01-27,57.02,55.86
2003-01-28,56.97,57.06
2003-01-29,56.12,55.56
2003-01-30,55.71,55.6
2003-01-31,55.37,56.71
2003-02-03,56.14,56.4
2003-02-04,55.66,55.19
2003-02-05,55.51,55.47
2003-02-06,54.69,54.18
2003-02-07,54.36,53.99
2003-02-10,53.1,53.37
2003-02-11,53.68,53.55
2003-02-12,53.24,53.58
2003-02-13,54.61,54.88
2003-02-14,55.74,56.34
2003-02-18,56.95,56.78
2003-02-19,56.4,55.47
2003-02-20,56.2,55.55
2003-02-21,56.11,56.86
2003-02-24,56.99,56.28
2003-02-25,55.46,55.77
2003-02-26,55.72,55.25
2003-02-27,55.6,55.82
2003-02-28,56.82,56.68
2003-03-03,56.86,56.49
2003-03-04,57.78,56.82
2003-03-05,57.21,57.33
2003-03-06,57.0,56.9
2003-03-07,55.09,55.5
2003-03-10,54.09,53.83
2003-03-11,54.03,54.27
2003-03-12,53.09,52.95
2003-03-13,54.01,55.4
2003-03-14,54.57,54.95
2003-03-17,54.58,56.9
2003-03-18,57.81,57.4
2003-03-19,57.68,58.18
2003-03-20,58.0,58.24
2003-03-21,59.4,60.3
2003-03-24,57.29,56.4
2003-03-25,58.21,58.33
2003-03-26,59.4,59.55
2003-03-27,58.97,59.53
2003-03-28,60.0,59.89
2003-03-31,59.61,59.44
2003-04-01,60.0,60.4
2003-04-02,60.9,61.44
2003-04-03,59.9,59.69
2003-04-04,60.61,60.69
2003-04-07,62.0,60.97
2003-04-08,61.61,61.67
2003-04-09,62.21,61.77
2003-04-10,61.96,61.95
2003-04-11,62.51,62.08
2003-04-14,62.31,62.88
2003-04-15,63.06,63.46
2003-04-16,63.33,62.75
2003-04-17,63.11,63.42
2003-04-21,63.26,63.08
2003-04-22,62.48,63.6
2003-04-23,62.3,62.0
2003-04-24,61.62,61.46
2003-04-25,61.37,61.22
2003-04-28,62.01,62.84
2003-04-29,62.48,62.08
2003-04-30,63.75,62.97
2003-05-01,62.77,63.29
2003-05-02,58.1,57.07
2003-05-05,59.08,59.19
2003-05-06,60.26,60.37
