date,open,close
2003-01-02,47.15,48.57
2003-01-03,48.05,47.89
2003-01-06,47.8,48.84
2003-01-07,48.85,48.54
2003-01-08,48.55,47.85
2003-01-09,48.1,48.3
2003-01-10,48.31,48.07
2003-01-13,48.5,48.35
2003-01-14,48.3,48.62
2003-01-15,48.65,47.69
2003-01-16,47.8,47.0
2003-01-17,47.0,47.27
2003-01-21,47.2,47.12
2003-01-22,47.13,47.03
2003-01-23,47.1,47.73
2003-01-24,47.74,47.05
2003-01-27,46.75,46.75
2003-01-28,46.9,46.6
2003-01-29,46.9,46.6
2003-01-30,46.87,46.35
2003-01-31,46.36,47.37
2003-02-03,47.38,47.74
2003-02-04,47.75,47.03
2003-02-05,46.9,45.32
2003-02-06,45.65,45.86
2003-02-07,46.15,45.45
2003-02-10,45.4,45.82
2003-02-11,45.83,45.6
2003-02-12,45.6,45.34
2003-02-13,45.34,45.6
2003-02-14,45.6,46.33
2003-02-18,46.55,46.72
2003-02-19,46.75,46.42
2003-02-20,46.42,46.08
2003-02-21,46.45,46.42
2003-02-24,45.95,45.24
2003-02-25,44.92,45.59
2003-02-26,45.52,45.08
2003-02-27,45.22,45.47
2003-02-28,45.57,45.35
2003-03-03,45.86,45.35
2003-03-04,45.48,45.0
2003-03-05,44.85,45.64
2003-03-06,45.26,45.03
2003-03-07,45.04,45.55
2003-03-10,45.21,44.27
2003-03-11,44.45,44.34
2003-03-12,44.16,44.15
2003-03-13,45.05,45.75
2003-03-14,45.84,45.75
2003-03-17,45.75,46.85
2003-03-18,46.98,46.68
2003-03-19,46.68,47.08
2003-03-20,47.08,46.85
2003-03-21,46.85,47.26
2003-03-24,46.6,45.75
2003-03-25,45.82,46.46
2003-03-26,46.6,45.9
2003-03-27,45.9,45.57
2003-03-28,45.57,45.67
2003-03-31,45.0,44.99
2003-04-01,45.15,46.3
2003-04-02,47.0,47.33
2003-04-03,47.44,46.8
2003-04-04,47.0,47.08
2003-04-07,47.95,46.83
2003-04-08,46.83,47.45
2003-04-09,46.63,46.38
2003-04-10,46.38,46.91
2003-04-11,47.0,46.24
2003-04-14,46.6,46.8
2003-04-15,46.5,47.45
2003-04-16,47.58,46.74
2003-04-17,46.95,47.5
2003-04-21,47.7,46.95
2003-04-22,46.85,47.83
2003-04-23,47.75,48.17
2003-04-24,48.17,47.58
2003-04-25,47.75,47.42
2003-04-28,47.5,47.93
2003-04-29,48.13,48.13
2003-04-30,47.95,48.26
2003-05-01,48.26,48.38
2003-05-02,48.38,49.0
2003-05-05,48.8,48.05
2003-05-06,48.28,48.39
2003-05-07,48.22,47.75
2003-05-08,47.3,47.08
2003-05-09,47.35,47.42
2003-05-12,47.62,48.1
2003-05-13,47.99,47.92
2003-05-14,48.15,47.75
2003-05-15,48.08,48.13
2003-05-16,48.13,48.39
2003-05-19,48.39,47.56
2003-05-20,47.4,47.38
2003-05-21,47.4,47.3
2003-05-22,47.45,47.08
2003-05-23,47.25,47.3
2003-05-27,47.1,48.24
2003-05-28,48.24,47.75
2003-05-29,47.65,47.57
2003-05-30,47.68,48.3
