date,open,close
2003-01-02,50.65,51.6
2003-01-03,51.61,50.0
2003-01-06,50.2,50.19
2003-01-07,50.32,50.46
2003-01-08,50.4,49.99
2003-01-09,50.75,51.92
2003-01-10,51.92,51.62
2003-01-13,51.62,51.28
2003-01-14,51.0,51.41
2003-01-15,51.45,50.59
2003-01-16,51.1,50.3
2003-01-17,50.3,49.97
2003-01-21,50.07,49.01
2003-01-22,49.02,48.07
2003-01-23,48.07,48.57
2003-01-24,48.4,47.3
2003-01-27,47.05,47.1
2003-01-28,47.1,48.18
2003-01-29,47.1,48.18
2003-01-30,48.11,47.57
2003-01-31,47.2,47.8
2003-02-03,47.77,48.07
2003-02-04,48.08,47.15
2003-02-05,47.6,46.74
2003-02-06,48.5,46.79
2003-02-07,47.5,46.79
2003-02-10,46.8,47.02
2003-02-11,47.15,47.25
2003-02-12,47.42,47.85
2003-02-13,47.65,47.64
2003-02-14,47.64,49.15
2003-02-18,49.65,49.08
2003-02-19,49.07,48.77
2003-02-20,48.77,48.08
2003-02-21,48.45,48.9
2003-02-24,48.7,47.64
2003-02-25,47.65,48.43
2003-02-26,48.43,47.83
2003-02-27,48.05,48.16
2003-02-28,48.3,48.06
2003-03-03,48.6,47.79
2003-03-04,48.0,46.9
2003-03-05,46.91,47.88
2003-03-06,47.46,47.4
2003-03-07,46.9,48.12
2003-03-10,47.79,47.13
2003-03-11,47.4,46.8
2003-03-12,46.81,47.5
2003-03-13,48.5,49.55
2003-03-14,49.5,49.36
2003-03-17,49.5,51.97
2003-03-18,51.71,52.25
2003-03-19,52.56,53.05
2003-03-20,52.72,53.11
2003-03-21,53.32,54.67
2003-03-24,54.36,52.52
2003-03-25,52.62,53.47
2003-03-26,53.31,53.33
2003-03-27,53.0,53.54
2003-03-28,53.03,53.13
2003-03-31,51.67,52.03
2003-04-01,52.1,52.42
2003-04-02,53.03,54.07
2003-04-03,53.8,54.05
2003-04-04,53.8,54.6
2003-04-07,55.71,54.32
2003-04-08,54.4,54.56
2003-04-09,54.55,53.7
2003-04-10,53.54,54.58
2003-04-11,54.1,52.98
2003-04-14,52.98,54.17
2003-04-15,54.3,55.29
2003-04-16,55.29,54.54
2003-04-17,54.54,55.41
2003-04-21,55.42,54.98
2003-04-22,54.48,55.99
2003-04-23,55.4,55.98
2003-04-24,55.98,55.11
2003-04-25,55.11,55.0
2003-04-28,55.0,56.09
2003-04-29,56.09,56.58
2003-04-30,57.51,56.32
2003-05-01,56.32,55.94
2003-05-02,55.94,56.15
2003-05-05,55.87,55.58
2003-05-06,55.58,55.91
2003-05-07,55.91,55.08
2003-05-08,54.63,55.01
2003-05-09,55.45,55.8
2003-05-12,55.71,56.7
2003-05-13,55.76,55.49
2003-05-14,55.88,53.9
2003-05-15,53.85,53.76
2003-05-16,53.1,52.92
2003-05-19,52.64,52.47
2003-05-20,52.48,52.81
2003-05-21,52.8,52.59
2003-05-22,52.65,52.9
2003-05-23,52.75,52.0
2003-05-27,52.0,52.5
2003-05-28,52.6,53.35
2003-05-29,53.35,52.81
2003-05-30,52.71,52.61
2003-06-02,52.96,52.46
2003-06-03,52.67,52.85
2003-06-04,52.97,53.86
2003-06-05,53.1,54.62
2003-06-06,54.96,53.82
2003-06-09,53.95,53.79
2003-06-10,54.4,54.76
2003-06-11,54.76,55.39
2003-06-12,55.58,55.03
2003-06-13,55.01,54.08
2003-06-16,54.47,55.25
2003-06-17,54.39,55.06
2003-06-18,54.85,55.24
2003-06-19,55.25,54.49
2003-06-20,54.75,54.26
2003-06-23,54.05,53.74
2003-06-24,54.0,54.68
2003-06-25,54.75,54.18
2003-06-26,53.8,54.39
2003-06-27,54.5,53.8
2003-06-30,54.0,53.67
2003-07-01,53.5,54.35
2003-07-02,54.76,55.73
2003-07-03,55.5,54.96
2003-07-07,55.6,56.55
2003-07-08,56.5,56.7
2003-07-09,56.7,55.76
2003-07-10,55.23,55.63
2003-07-11,55.75,56.53
2003-07-14,57.3,56.65
2003-07-15,57.08,57.32
2003-07-16,57.23,56.65
2003-07-17,56.6,55.8
2003-07-18,56.4,57.0
2003-07-21,56.85,55.96
2003-07-22,56.05,56.9
2003-07-23,56.92,56.5
2003-07-24,57.0,55.63
2003-07-25,55.52,56.19
2003-07-28,56.19,56.16
2003-07-29,56.16,55.49
2003-07-30,55.75,55.9
2003-07-31,56.25,55.91
2003-08-01,55.72,55.27
2003-08-04,54.78,55.83
2003-08-05,55.4,55.3
2003-08-06,55.01,55.74
2003-08-07,56.48,57.0
2003-08-08,57.32,57.77
2003-08-11,57.88,57.7
2003-08-12,58.05,58.8
2003-08-13,58.5,58.07
2003-08-14,58.07,57.93
2003-08-15,58.05,58.1
2003-08-18,58.5,58.92
2003-08-19,59.05,58.88
2003-08-20,58.45,58.78
2003-08-21,58.76,59.19
2003-08-22,59.24,58.4
2003-08-25,58.4,59.1
2003-08-26,58.73,59.1
2003-08-27,59.25,59.11
2003-08-28,59.25,59.3
2003-08-29,59.05,59.17
2003-09-02,58.96,59.92
2003-09-03,59.95,59.98
2003-09-04,60.05,60.08
2003-09-05,59.1,58.89
2003-09-08,58.55,58.59
2003-09-09,58.57,57.06
2003-09-10,56.56,56.85
2003-09-11,57.1,57.5
2003-09-12,57.18,57.48
2003-09-15,57.5,57.75
2003-09-16,57.97,58.42
2003-09-17,58.17,57.59
2003-09-18,57.61,58.49
2003-09-19,57.54,58.14
2003-09-22,57.69,57.07
2003-09-23,57.29,57.62
2003-09-24,57.22,56.62
2003-09-25,56.59,56.89
2003-09-26,56.7,56.8
2003-09-29,57.27,57.23
2003-09-30,56.88,55.85
2003-10-01,56.02,57.06
2003-10-02,56.97,57.06
2003-10-03,57.95,57.48
2003-10-06,57.57,57.99
2003-10-07,57.74,58.9
2003-10-08,59.0,58.52
