date,open,close
2003-01-02,16.59,17.6
2003-01-03,17.5,18.1
2003-01-06,17.85,18.94
2003-01-07,17.87,19.15
2003-01-08,18.88,18.75
2003-01-09,18.92,19.44
2003-01-10,18.8,20.0
2003-01-13,20.33,19.67
2003-01-14,19.56,19.7
2003-01-15,19.97,19.58
2003-01-16,18.3,18.75
2003-01-17,18.6,18.37
2003-01-21,18.21,17.92
2003-01-22,17.89,18.48
2003-01-23,18.85,19.08
2003-01-24,19.06,18.78
2003-01-27,18.18,18.11
2003-01-28,18.35,18.63
2003-01-29,18.35,18.63
2003-01-30,18.67,18.09
2003-01-31,17.82,18.2
2003-02-03,18.05,17.97
2003-02-04,17.83,17.75
2003-02-05,17.83,17.79
2003-02-06,17.72,17.93
2003-02-07,17.77,17.54
2003-02-10,17.57,17.92
2003-02-11,18.0,18.29
2003-02-12,18.2,18.17
2003-02-13,18.69,18.05
2003-02-14,18.31,18.9
2003-02-18,18.85,19.49
2003-02-19,19.1,19.38
2003-02-20,19.41,19.72
2003-02-21,19.5,19.83
2003-02-24,19.52,19.67
2003-02-25,19.45,20.0
2003-02-26,19.58,19.71
2003-02-27,19.81,20.08
2003-02-28,20.03,20.85
2003-03-03,20.79,19.92
2003-03-04,19.92,19.87
2003-03-05,19.98,19.9
2003-03-06,19.83,19.44
2003-03-07,19.25,19.62
2003-03-10,19.39,19.19
2003-03-11,19.26,18.96
2003-03-12,18.94,19.19
2003-03-13,19.69,20.25
2003-03-14,20.5,20.69
2003-03-17,20.12,22.38
2003-03-18,21.85,21.97
2003-03-19,22.05,22.21
2003-03-20,22.03,22.85
2003-03-21,23.59,23.97
2003-03-24,22.83,23.35
2003-03-25,23.36,23.62
2003-03-26,24.49,24.76
2003-03-27,24.7,24.41
2003-03-28,24.28,24.38
2003-03-31,23.82,24.02
2003-04-01,23.3,22.79
2003-04-02,23.04,23.74
2003-04-03,24.05,24.34
2003-04-04,24.05,24.05
2003-04-07,25.02,24.0
2003-04-08,24.18,23.81
2003-04-09,23.81,22.87
2003-04-10,23.72,24.27
2003-04-11,24.35,24.43
2003-04-14,23.79,24.35
2003-04-15,24.12,24.81
2003-04-16,25.01,24.67
2003-04-17,24.71,25.09
2003-04-21,25.0,25.41
2003-04-22,25.12,25.66
2003-04-23,25.76,25.6
2003-04-24,25.19,25.45
2003-04-25,25.8,24.96
2003-04-28,25.2,25.29
2003-04-29,25.23,25.01
2003-04-30,24.92,24.77
2003-05-01,24.79,24.55
2003-05-02,24.75,25.15
2003-05-05,25.34,25.03
2003-05-06,25.149,25.15
2003-05-07,25.011,24.76
2003-05-08,24.65,25.08
2003-05-09,25.13,25.04
2003-05-12,24.98,26.17
2003-05-13,25.96,27.22
2003-05-14,27.21,27.09
2003-05-15,27.08,27.51
2003-05-16,27.42,27.75
2003-05-19,27.47,25.95
2003-05-20,26.34,26.58
2003-05-21,26.58,26.18
2003-05-22,26.3,26.89
2003-05-23,27.0,28.49
2003-05-27,27.88,29.97
2003-05-28,30.01,29.9
2003-05-29,29.95,30.15
2003-05-30,30.3,29.84
2003-06-02,30.31,28.66
2003-06-03,28.93,28.55
2003-06-04,28.45,29.59
2003-06-05,29.5,29.39
2003-06-06,30.01,27.95
2003-06-09,28.55,27.5
2003-06-10,27.6,27.9
2003-06-11,28.32,29.6
2003-06-12,29.73,29.7
2003-06-13,29.63,28.72
2003-06-16,29.85,30.66
2003-06-17,30.95,31.42
2003-06-18,30.98,32.3
2003-06-19,32.11,31.63
2003-06-20,32.304,32.14
2003-06-23,31.9,31.52
2003-06-24,31.44,31.36
2003-06-25,31.2,31.35
2003-06-26,31.7,32.9
2003-06-27,33.1,32.22
2003-06-30,32.66,32.7
2003-07-01,32.86,33.64
2003-07-02,33.72,34.35
2003-07-03,33.6,34.85
2003-07-07,35.5,35.27
2003-07-08,35.24,35.1
2003-07-09,35.07,35.29
2003-07-10,32.465,32.56
2003-07-11,32.84,32.19
2003-07-14,32.55,32.2
2003-07-15,32.32,32.36
2003-07-16,32.75,31.85
2003-07-17,31.65,30.61
2003-07-18,30.9899,29.9
2003-07-21,30.7,31.05
2003-07-22,31.28,31.25
2003-07-23,31.86,32.12
2003-07-24,32.65,33.2
2003-07-25,32.55,32.8
2003-07-28,32.925,32.56
2003-07-29,32.57,31.56
2003-07-30,31.71,30.79
2003-07-31,31.19,31.13
2003-08-01,31.63,31.46
2003-08-04,31.09,30.78
2003-08-05,30.66,29.82
2003-08-06,29.64,29.46
2003-08-07,29.3,28.87
2003-08-08,29.12,29.0
2003-08-11,28.9,28.9
2003-08-12,29.15,29.85
2003-08-13,29.93,29.53
2003-08-14,29.75,29.77
2003-08-15,29.89,29.88
2003-08-18,29.97,31.29
2003-08-19,31.55,32.03
2003-08-20,31.49,31.99
2003-08-21,32.3,32.82
2003-08-22,33.02,31.82
2003-08-25,31.89,32.06
2003-08-26,31.84,32.06
2003-08-27,31.89,32.4
2003-08-28,32.4,32.35
2003-08-29,32.4,33.39
2003-09-02,33.34,34.19
2003-09-03,34.0,33.57
2003-09-04,33.619,34.83
2003-09-05,34.35,34.89
2003-09-08,34.65,35.54
2003-09-09,35.26,34.99
2003-09-10,34.49,34.43
2003-09-11,34.75,34.59
2003-09-12,34.38,34.82
2003-09-15,34.9,34.63
2003-09-16,34.75,35.82
2003-09-17,35.71,36.0
2003-09-18,35.8,37.58
2003-09-19,37.15,37.24
2003-09-22,36.69,36.58
2003-09-23,36.7,37.82
2003-09-24,37.84,36.61
2003-09-25,36.12,36.53
2003-09-26,36.58,35.08
2003-09-29,35.42,36.19
2003-09-30,36.03,35.39
2003-10-01,36.1,36.4
2003-10-02,36.51,37.91
2003-10-03,38.96,39.24
2003-10-06,39.35,39.78
2003-10-07,39.38,38.93
2003-10-08,39.06,38.79
2003-10-09,41.35,42.75
2003-10-10,42.61,43.16
2003-10-13,42.9,42.9
2003-10-14,42.3,42.3
2003-10-15,42.81,41.43
2003-10-16,41.63,42.21
2003-10-17,42.53,42.24
2003-10-20,42.5,42.37
2003-10-21,42.1,42.82
2003-10-22,42.15,41.77
2003-10-23,41.01,40.4
2003-10-24,39.96,40.528
2003-10-27,40.8,41.17
2003-10-28,41.49,43.02
2003-10-29,42.94,43.08
2003-10-30,43.8,43.78
2003-10-31,43.46,43.71
2003-11-03,43.74,43.93
2003-11-04,43.9,43.43
2003-11-05,43.0,44.04
2003-11-06,43.0,42.97
2003-11-07,43.19,42.35
2003-11-10,42.3,41.24
2003-11-11,41.25,40.62
2003-11-12,40.57,42.53
2003-11-13,42.36,43.3
2003-11-14,42.88,41.63
2003-11-17,40.92,40.36
2003-11-18,40.75,38.01
2003-11-19,38.48,39.27
2003-11-20,38.907,38.69
2003-11-21,39.29,39.48
2003-11-24,40.2,41.78
2003-11-25,41.86,42.05
2003-11-26,42.77,43.08
2003-11-28,42.85,42.99
2003-12-01,43.419,44.21
2003-12-02,43.86,43.51
2003-12-03,43.67,42.5
2003-12-04,42.95,43.13
2003-12-05,42.79,42.85
2003-12-08,42.78,42.78
2003-12-09,43.04,41.57
2003-12-10,41.56,41.16
2003-12-11,41.07,42.78
2003-12-12,43.0,42.98
2003-12-15,43.84,42.25
2003-12-16,41.94,40.7
2003-12-17,40.58,40.73
2003-12-18,41.06,41.89
2003-12-19,41.93,42.11
2003-12-22,41.83,42.6
2003-12-23,42.35,43.68
2003-12-24,43.46,44.77
2003-12-26,44.8,44.29
2003-12-29,44.45,44.97
2003-12-30,44.93,44.93
2003-12-31,45.05,45.03
2004-01-02,45.5,45.4
2004-01-05,45.76,46.9
2004-01-06,46.44,47.24
2004-01-07,46.9,47.67
2004-01-08,48.0,48.58
2004-01-09,48.04,48.12
2004-01-12,48.3,49.74
2004-01-13,49.95,48.8
2004-01-14,49.39,48.39
2004-01-15,46.56,48.09
2004-01-16,48.42,48.11
